,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
0,1174,36,55,173,36,0,5,13,566,490,1547,41,336,0,2,251,70,403,183,14,17,305,700,475,178,438,89,15,240,207,248,489,10,88,26,18,57,127,502,88,487,203,114,2,1592,3190,330,1128,0,0,1317,44,5674,0,60,49,143,227,0,0,0,566,3283,146,13,167,65
1,2029,1164,452,1740,2054,1,184,270,732,6035,450,262,2032,1,0,4146,53,674,1614,30,3506,994,585,1106,462,1298,1761,1361,594,3254,198,561,152,528,531,1045,1170,155,1939,1155,612,4113,969,2786,1757,5839,834,4060,149,0,800,4055,110161,0,3571,82,7832,1737,0,0,0,1671,880,1746,739,477,1157
2,284,0,24,159,120,0,0,2,115,1087,182,0,32,0,1,1051,74,0,0,0,0,1373,1025,2277,403,1279,226,9,20,2,42,290,1,42,76,132,207,0,388,91,51,677,151,0,266,616,0,175,1,0,706,91,1972,0,216,159,52,107,0,0,0,140,641,218,0,119,117
3,1204,0,125,199,277,1,347,0,1239,5582,835,0,1330,0,0,3833,292,678,948,59,1,2679,3110,4705,404,3580,188,261,652,2,202,690,37,1201,7,96,0,22,904,27,324,1318,1670,462,4284,4003,1060,2056,1,0,188,1446,86807,0,374,0,1736,882,0,0,0,485,1099,36,339,138,801
4,4075,4112,1,402,7,1,543,2173,626,15587,2806,411,1895,0,1,1896,410,3628,4628,168,2470,5891,5373,5431,1883,5457,1796,3246,551,2,1364,525,1298,1792,2209,3079,363,1,2112,2722,8376,8562,2609,488,16986,17139,2900,13449,39,0,1524,16020,119606,0,1694,904,21808,6930,0,0,0,3585,2408,2594,1420,918,9584
5,3270,4057,965,1466,3221,0,566,47,1628,15102,1667,393,589,0,301,7849,225,1565,7516,6,1125,5019,2480,6768,1594,4508,3144,4508,2221,7063,473,1690,478,990,1594,3393,980,2132,1982,2870,2229,7679,3940,11237,5844,9610,2795,6257,0,0,1,10696,459992,0,2378,0,6070,2716,0,0,0,3034,1240,2593,3626,1942,3282
6,11760,4721,2200,381,8170,0,12,2575,6070,22847,1546,1034,0,0,2,10443,485,1841,0,1,2050,8389,3879,20996,1855,5258,6055,3238,1718,0,11609,3553,2435,1320,1476,10200,2759,696,8131,1802,6049,32300,1072,0,12810,8247,3662,13745,122,0,5423,11314,527318,0,4038,0,22694,1192,0,0,1,8776,6418,4729,2292,1643,3127
7,784,214,195,7,190,0,44,75,774,4310,975,0,177,0,57,1060,125,127,69,0,11,2810,1162,2921,1123,1475,710,627,376,1,3,425,7,13,261,372,107,1,183,106,413,1917,468,0,1739,1659,460,4,62,0,334,1109,3754,0,194,66,173,135,0,0,0,589,2240,566,412,203,46
8,5327,3059,3792,2325,4223,0,1129,1998,8422,21160,5923,732,3969,0,95,17271,1297,6182,4485,1090,5677,2405,1611,2447,940,2272,5090,7938,3209,1377,4634,5171,3344,2444,3345,21908,3563,561,5122,965,8468,2940,5007,4823,20063,37618,11198,21613,402,0,5472,13166,45088,0,4640,568,23748,6165,0,0,0,7225,2928,6398,994,2407,4820
9,28792,22743,229,1609,1393,0,1013,4566,8934,10250,11002,2512,6573,0,9235,5608,1151,7442,565,0,6340,11740,3101,10586,3379,8026,3401,5377,3138,4211,1371,2261,1618,5462,2743,13304,2080,392,6057,2375,3198,2182,6505,1383,40724,37926,8985,16866,716,0,4324,7937,351589,0,1915,3171,3098,15969,0,0,0,4467,3117,6294,6514,1866,1322
10,6999,1931,1,623,1061,0,385,292,726,18761,1156,785,1068,0,4,2504,421,1519,5132,0,68,6617,3788,11965,1686,4586,2992,3498,2138,0,518,1436,445,1267,926,1887,781,273,2338,1225,3387,6820,1383,475,5461,12469,1669,6649,0,0,2213,5922,24397,0,5050,5,8129,4261,0,0,0,2844,2537,2149,1963,595,4069
11,7323,2808,2267,3756,3453,0,1990,0,384,18955,5536,2311,2523,0,390,16536,1608,1590,5889,2,1903,20836,5139,17996,4528,16756,7111,0,3869,19027,1719,217,1206,1812,1362,5231,2175,910,5688,8436,4713,16484,2379,9687,4443,9917,3292,12403,7,0,4323,12158,559542,0,6404,0,13373,6400,0,0,0,4156,4007,10076,1,2748,7699
