,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
0,1174,36,0,22,146,173,36,13,566,490,1547,0,35,2,251,0,403,183,14,17,305,149,121,167,700,475,67,178,438,8,79,89,0,15,240,207,248,489,16,33,0,18,502,88,487,203,114,2,1,1592,3190,330,0,54,1128,0,0,1317,0,44,6,0,0,5674,60,18,143,227,566,3283,0,146,13,0,65
1,2029,1164,0,79,287,1740,2054,270,732,6035,450,282,222,0,4146,1,674,1614,30,3506,994,99,1,13,585,1106,359,462,1298,82,87,1761,1,1361,594,3254,198,561,984,437,1,1045,1939,1155,612,4113,969,2786,642,1757,5839,834,1,388,4060,0,0,800,2,4055,46,0,1,110161,3571,113,7832,1737,1671,880,0,1746,739,2,1157
2,284,0,0,176,103,159,120,2,115,1087,182,121,138,1,1051,0,0,0,0,0,1373,232,0,263,1025,2277,0,403,1279,68,132,226,0,9,20,2,42,290,0,0,0,132,388,91,51,677,151,0,1,266,616,0,0,37,175,0,1,706,0,91,0,0,0,1972,216,135,52,107,140,641,3,218,0,12,117
3,1204,0,0,0,302,199,277,0,1239,5582,835,250,81,0,3833,0,678,948,59,1,2679,250,288,448,3110,4705,899,404,3580,914,290,188,0,261,652,2,202,690,185,1,0,96,904,27,324,1318,1670,462,17,4284,4003,1060,0,300,2056,0,0,188,0,1446,1,0,0,86807,374,0,1736,882,485,1099,0,36,339,0,801
4,4075,4112,2,1,2482,402,7,2173,626,15587,2806,0,3842,1,1896,2,3628,4628,168,2470,5891,1007,0,1514,5373,5431,50,1883,5457,853,477,1796,1123,3246,551,2,1364,525,1,2895,0,3079,2112,2722,8376,8562,2609,488,609,16986,17139,2900,2,2011,13449,2,2,1524,4,16020,1292,1,0,119606,1694,2,21808,6930,3585,2408,1,2594,1420,3,9584
5,3270,4057,459,33,690,1466,3221,47,1628,15102,1667,0,1259,301,7849,0,1565,7516,6,1125,5019,1041,298,548,2480,6768,713,1594,4508,998,347,3144,813,4508,2221,7063,473,1690,2389,1479,0,3393,1982,2870,2229,7679,3940,11237,1418,5844,9610,2795,0,1491,6257,0,0,1,0,10696,1395,2,603,459992,2378,4,6070,2716,3034,1240,1,2593,3626,0,3282
6,11760,4721,2,1392,9,381,8170,2575,6070,22847,1546,620,418,2,10443,0,1841,0,1,2050,8389,574,0,325,3879,20996,0,1855,5258,0,856,6055,498,3238,1718,0,11609,3553,1972,364,0,10200,8131,1802,6049,32300,1072,0,1681,12810,8247,3662,1,1263,13745,2,0,5423,5,11314,3041,0,1853,527318,4038,1,22694,1192,8776,6418,2,4729,2292,1,3127
7,784,214,0,123,81,7,190,75,774,4310,975,0,63,57,1060,0,127,69,0,11,2810,339,22,197,1162,2921,206,1123,1475,165,175,710,0,627,376,1,3,425,24,11,0,372,183,106,413,1917,468,0,29,1739,1659,460,0,0,4,0,0,334,0,1109,2,0,0,3754,194,0,173,135,589,2240,0,566,412,0,46
8,5327,3059,1,51,439,2325,4223,1998,8422,21160,5923,12,5695,95,17271,1,6182,4485,1090,5677,2405,236,528,332,1611,2447,1373,940,2272,614,254,5090,359,7938,3209,1377,4634,5171,101,3767,0,21908,5122,965,8468,2940,5007,4823,2377,20063,37618,11198,0,2748,21613,0,2,5472,1,13166,2148,1,423,45088,4640,0,23748,6165,7225,2928,0,6398,994,0,4820
9,28792,22743,1,678,2,1609,1393,4566,8934,10250,11002,0,8447,9235,5608,0,7442,565,0,6340,11740,755,0,641,3101,10586,1487,3379,8026,2978,375,3401,325,5377,3138,4211,1371,2261,0,2162,0,13304,6057,2375,3198,2182,6505,1383,2493,40724,37926,8985,1,1837,16866,1,0,4324,1,7937,2833,3,0,351589,1915,0,3098,15969,4467,3117,0,6294,6514,0,1322
10,6999,1931,2,0,2472,623,1061,292,726,18761,1156,79,1094,4,2504,0,1519,5132,0,68,6617,499,1047,1063,3788,11965,2571,1686,4586,756,441,2992,0,3498,2138,0,518,1436,481,391,0,1887,2338,1225,3387,6820,1383,475,897,5461,12469,1669,0,695,6649,0,0,2213,0,5922,742,0,732,24397,5050,377,8129,4261,2844,2537,0,2149,1963,0,4069
11,7323,2808,0,0,4755,3756,3453,0,384,18955,5536,3,4016,390,16536,0,1590,5889,2,1903,20836,1896,2018,845,5139,17996,1973,4528,16756,3462,2066,7111,1,0,3869,19027,1719,217,66,646,0,5231,5688,8436,4713,16484,2379,9687,1446,4443,9917,3292,0,114,12403,0,0,4323,1,12158,4223,0,0,559542,6404,0,13373,6400,4156,4007,0,10076,1,1,7699
12,1699,168,0,2,541,343,2479,362,2695,3976,942,1,1010,0,5286,0,527,146,130,1125,1901,308,370,327,933,5097,260,797,2558,257,189,1540,0,2579,3002,4654,454,1380,83,7,0,4132,343,262,1736,5566,1404,74,92,4733,9165,1667,0,1467,3000,1,1,818,5,3737,258,0,7,139340,1529,0,2581,1999,4520,1186,1,1497,361,1,1561
13,1198,516,1,0,145,729,143,1,496,2460,638,0,308,0,1527,2,143,26,68,7,2439,284,176,491,1784,3506,374,977,2258,202,220,574,0,352,308,0,59,339,137,34,0,282,430,413,537,1376,248,21,0,2611,2163,5,1,0,2872,1,1,1340,6,1196,1,0,0,36871,217,0,496,502,157,1241,5,521,104,1,256
14,9090,1232,0,535,2286,515,1185,1383,4017,12893,928,373,51,0,10243,1,644,0,168,1849,3852,457,5,727,2441,6471,369,1204,3010,669,316,5740,0,3057,3423,2629,6075,1258,85,212,4,8113,4328,1468,3073,11104,2704,5145,746,15905,13404,4799,0,1122,4759,0,0,648,0,9559,1476,0,353,104351,3571,0,10538,183,3727,3975,0,4541,80,0,2258
15,55,128,0,12,72,71,38,2,493,434,392,0,0,0,402,0,0,11,0,40,1158,69,266,332,1778,2828,37,896,1779,78,104,129,0,326,746,1,318,77,0,0,0,58,315,163,0,179,50,0,43,160,903,92,0,3,40,0,0,218,1,251,1,0,0,3140,18,0,499,178,417,819,0,210,73,0,15
16,2040,49,0,0,80,563,415,41,623,1806,673,0,2,0,1120,0,217,19,141,411,2511,448,683,183,1672,4341,416,1395,2134,153,85,584,0,177,252,1647,321,368,0,90,1,458,309,349,101,1153,260,166,1,292,1428,183,0,39,3469,1,1,552,1,1103,11,0,0,67146,214,179,419,320,3,1107,4,586,208,0,0
17,14,289,0,0,3,295,132,213,598,1511,496,1,283,69,454,1,443,124,0,38,1971,462,137,368,1677,2622,1,706,1802,336,118,91,0,0,88,152,89,412,27,217,0,1120,289,129,509,247,117,0,2,2064,1248,525,0,101,5,0,0,799,1,1367,15,0,0,5628,293,0,236,78,866,335,5,1091,71,0,30
18,508,25,0,0,258,740,36,58,669,1301,1048,0,54,1,1291,1,387,33,58,15,1850,213,470,197,1487,1472,327,285,1453,191,115,51,104,90,515,0,161,267,5,52,1,702,37,136,612,677,107,0,70,1578,3079,478,3,374,3429,3,0,135,5,332,150,0,0,3823,328,27,485,349,386,1158,0,385,254,0,132
19,3429,558,0,0,559,391,1044,394,494,3597,522,0,435,1,1158,0,729,892,227,133,984,110,117,87,766,1682,0,311,595,0,106,633,0,487,693,1076,363,257,164,1181,0,885,1378,742,538,3741,313,574,332,1512,2929,588,0,104,2530,1,0,278,1,1986,306,0,68,49079,952,1,4298,322,738,579,0,906,307,0,3174
