,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0,1165,3215,0,625,1,2377,3391,2383,3459,2459,1895,0,217,156,1461,6480,443,1052,5147,3562,79,400,692,1810,6548,858,589,2320,300,123,1680,376,287,4535,215,13,15,2000,3026,1588,2802,2,0,0,4501,0,2171,1445,0,0,2090,0,193,21890,2553,252,1481,1052,1306,3826,540,0,1175,317,1414
1,5988,3332,1,2,4,2263,5206,603,14311,5741,2917,2,1,2373,2648,6367,948,5696,187,9713,604,1388,707,5349,14980,0,3859,8512,1,542,533,1525,1413,8179,2,302,0,5892,5810,5033,5829,1,3,2,25208,3,9183,2148,0,18,910,7,118,316502,9502,5,2443,3793,4784,4117,1594,8,88,1471,4671
2,520,863,409,0,234,5,0,1129,1606,522,1180,1,0,570,346,2186,0,472,191,1553,151,431,73,865,2933,644,786,1662,84,101,350,0,109,568,0,8,501,499,406,746,466,0,0,0,2162,0,393,273,0,0,333,0,0,32490,1147,214,151,0,1347,0,116,0,213,521,107
3,1049,2638,0,139,3,1004,1679,340,4869,740,946,1,470,442,408,2108,70,899,1813,1384,165,515,142,811,1822,0,701,1153,151,98,540,603,332,1881,0,0,205,938,482,1186,1075,171,1,0,2293,0,1176,1478,0,2,365,1,0,16530,1398,0,877,511,602,897,138,0,477,427,306
4,5996,8024,0,681,0,7850,6779,7275,15832,6978,3667,0,2055,1399,4479,10454,678,4585,10537,2437,619,0,369,1873,4912,597,1226,3958,252,219,1007,20,990,6920,0,0,10,5949,3355,4725,4739,2120,0,0,25385,6,6253,10026,0,1,4491,1,926,358869,4110,0,2534,4044,6957,15123,1163,3,2412,1917,3201
5,2729,6721,0,737,1,5100,2939,526,5334,2299,1466,0,317,760,2079,4644,626,2075,849,2990,229,0,591,2127,4610,8,969,2490,343,156,1833,896,447,4435,0,0,654,3859,2457,2767,1522,1,0,0,9022,0,3564,1683,0,1,1964,0,155,287482,4764,0,1482,341,3488,3293,634,0,129,547,1238
6,4628,8172,0,1056,678,3333,4783,698,3470,3396,3717,0,787,3958,1785,4191,0,5803,8091,5621,983,0,509,5180,9674,96,2023,7124,46,899,1309,451,1892,3736,0,0,0,2789,5898,2146,1664,1,0,0,34451,1074,5020,6537,0,0,2964,0,3,48087,4165,0,973,1540,13751,3071,1203,0,70,1277,2908
7,6992,12536,0,2324,3,3861,16998,4003,17050,6600,2650,0,2808,1374,5763,24498,1,13272,58,13084,1818,2205,1374,5108,25242,397,1991,12547,3,380,2357,6,2642,7321,0,0,0,7673,7237,10115,5561,45,0,0,10634,1042,8208,4184,0,1,2005,0,2712,193087,8780,0,3693,6304,4842,5976,1,0,9386,224,2853
8,211,1742,1478,0,2,1358,655,0,309,2375,123,1,0,594,67,587,0,521,557,277,378,0,0,679,610,0,0,350,0,137,7,1,580,1151,0,0,0,276,1435,951,966,475,0,0,3724,0,1226,1281,0,1,1377,0,0,35211,1538,0,558,1286,109,2639,59,1,326,0,219
9,1706,2095,425,198,5,1441,3550,1425,4057,1895,2039,0,287,428,821,4614,7,1733,1799,1742,261,174,209,1139,4021,70,936,1928,357,93,1480,5,447,2499,0,0,4,1917,1963,1687,1734,250,0,0,5057,0,3545,1600,0,0,1046,0,152,60206,2883,0,800,2755,3184,1303,182,1,697,597,941
