,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
0,1707,1699,238,398,5161,13198,0,1822,494,1437,53,578,0,975,3573,0,7213,1282,217,5729,1,0,1860,1455,3075,400,1406,274,0,0,0,1038,994,3211,2704,4,1482,998,1508,168,0,870,651,3087,0,824,68,1440,0,1,46384,3622,534,166,792,1598,0,2826,1245,1108,1050,209043,807,343,4650,3328,23,0,74,3718,7,135,2507,0
1,2,335,1,0,1697,15276,0,1284,3,523,77,23,0,488,1386,0,4932,1343,0,9426,0,0,5107,2794,11183,2445,8341,291,0,0,1,38,272,2835,495,1,3086,1362,825,88,2,2305,0,122,0,87,0,14,0,0,30908,850,555,0,913,83,0,3676,11,3065,502,518128,2693,244,5812,2698,19,0,205,2312,72,0,1649,1228
2,1019,656,829,1748,6988,12974,0,1582,1325,838,496,320,0,2523,2744,0,5348,2164,192,4762,0,1,1184,738,1919,101,1507,218,0,0,0,348,1558,1364,846,310,621,414,2901,1958,12,627,318,755,0,662,229,1778,0,0,17104,7306,871,119,1535,1098,0,3674,1216,2268,753,106329,507,364,2361,962,0,0,0,2131,2,396,1384,0
3,2414,1672,994,1933,16768,48044,0,4044,3389,1772,921,826,0,4085,8236,0,32534,11184,324,15783,0,0,1959,838,2004,506,2092,1654,0,0,173,1734,5754,5454,6918,61,4980,3747,8579,4254,1,2519,809,2812,0,998,60,3699,0,0,9106,12370,9976,160,3281,3789,0,5461,3201,5265,4851,178621,1290,1635,7546,4990,575,0,1129,12465,40,95,4958,0
4,2948,732,759,3148,25678,35769,0,4191,1556,3424,210,903,0,4473,6780,0,22433,11910,190,16515,0,440,3742,1255,4520,742,2862,814,0,0,0,2010,7061,2797,5194,408,1951,1436,4935,3896,1,999,969,2730,0,2029,0,2204,0,1,9739,11366,6321,146,4176,3695,0,6329,5978,4130,3726,161421,2100,2885,7918,3697,1263,0,3285,20084,41,1050,3757,509
5,47,1975,2086,2125,18316,32761,0,6625,5598,2734,552,1124,0,2665,3081,0,21170,23390,0,13849,0,2,9776,4716,9512,3391,11770,1710,0,0,1,890,6759,6,10653,2764,1278,9127,248,2850,1,951,32,913,0,894,0,798,0,0,726,5560,9885,0,1756,908,0,2857,2225,4827,4139,461455,4656,13,17062,791,0,0,2,4163,0,0,5747,0
6,1991,430,224,1034,8630,12525,0,2711,1627,1236,204,306,1,228,4719,0,6081,2126,62,4378,0,52,1173,1060,2386,435,1344,627,0,0,0,501,1741,1388,1204,496,542,634,5588,1127,204,192,217,3638,1,302,439,1228,0,0,31734,6673,388,183,1479,1802,0,3491,2641,1283,1012,90145,1120,488,5228,1343,199,0,2,2603,3,0,2052,0
7,264,94,95,111,1755,4150,0,168,139,48,60,190,0,341,531,0,1808,1058,48,1962,0,2,429,539,824,218,430,658,0,0,1,197,346,278,384,44,104,422,174,269,2,114,110,121,0,260,0,396,0,0,6,490,1121,0,707,155,39,292,497,272,175,1609,59,331,330,391,61,0,507,560,9,45,72,0
8,2498,2320,26,1700,7834,24850,0,4305,2,2761,480,454,0,1644,4822,0,12038,6627,0,5971,0,0,1454,1331,3205,1476,2437,371,0,0,3,1968,2135,1860,2266,210,1505,916,7211,2203,3,250,1028,1995,0,187,0,855,0,0,21650,4591,839,94,2528,820,1,3403,2249,1310,3625,23725,921,1388,4456,4501,378,0,0,4334,2,1,2455,0
9,1049,1431,470,784,9626,13920,0,1923,1451,1242,256,743,0,1119,5530,0,9781,3044,494,6710,1,1,789,977,2433,826,1414,2,0,0,16,924,1199,455,5076,682,2103,1149,800,1671,1,418,1391,428,0,808,18,1494,1,2,139,2211,1472,2,1820,1541,0,1120,1920,1436,1780,113434,235,682,8759,1558,219,0,206,5046,68,0,1853,146
10,34,187,163,0,1097,4395,0,742,5,678,118,10,0,187,625,0,1318,200,0,1549,0,1,994,725,945,366,819,111,0,0,2,209,321,164,354,0,225,10,269,479,1,53,127,132,0,697,0,89,0,0,11926,731,38,2,283,3,0,1008,433,399,362,23178,188,169,1269,392,0,0,0,688,0,0,218,0
11,823,602,599,486,15010,22768,0,1632,2133,611,205,593,0,457,3128,0,6782,2018,0,6329,0,0,3545,2791,5884,2013,2670,815,0,0,0,1928,1552,406,1276,358,597,1260,1190,1474,1,766,343,275,0,1090,0,1875,0,0,3,1178,3450,308,1121,795,0,1793,2237,408,629,117407,29,83,4455,1141,731,0,661,5684,7,0,2056,0
12,5011,3251,2849,3815,12940,29550,0,5257,2177,2654,358,768,0,2835,7348,0,20006,5307,0,11018,0,404,2248,1474,3777,505,2662,718,0,0,0,1835,3722,5770,5538,381,2409,731,7711,1762,327,1037,1487,3758,0,2089,1,2171,0,1,22747,11914,8625,0,3852,4144,0,7282,2092,4295,3850,174436,3054,1686,6057,2653,91,0,475,5342,114,252,2238,0
13,458,315,6,2,2797,8710,0,633,354,448,89,197,0,289,1175,0,1292,695,0,1387,0,0,2172,1640,2844,372,1606,94,0,0,1,168,403,246,1149,31,831,221,238,316,19,151,145,192,0,0,321,340,0,1,619,371,694,19,681,196,0,747,525,597,137,69487,37,2,5601,1206,0,0,1,2031,1,1,392,0
14,194,3668,422,632,2011,8566,0,763,1320,568,268,294,0,1901,2323,0,4235,1757,5,4171,0,86,1106,563,932,548,605,965,0,0,0,4808,1448,395,2448,261,498,1036,1450,1280,117,975,446,249,0,1684,0,872,1,0,8639,3703,761,234,1804,687,0,2487,593,1081,843,112111,445,1850,1355,427,152,0,152,2233,347,34,949,0
15,0,101,0,1,5,902,0,13,6,0,3,143,0,4,42,0,713,43,4,137,0,9,679,931,3558,426,2492,5,0,0,2022,40,19,5,1,258,14,49,124,307,0,828,24,0,0,535,284,10,0,0,2413,0,5,0,0,70,1,5,68,56,253,178776,0,11,15,1,15,0,30,82,48,64,0,0
16,8390,6708,1424,3898,28896,32457,0,5892,4509,3461,316,1630,0,1478,15757,0,13618,20660,479,13786,0,0,5468,1266,9180,3325,3063,1588,0,0,1,1514,8134,14,17540,2688,3958,4455,2915,4802,0,2377,1378,1469,0,2003,1,4342,1,0,288,2007,14127,0,1415,1990,0,2387,3367,3789,1435,664401,500,1119,20057,4615,0,150,0,23003,1,0,6975,0
17,0,337,2,288,837,3426,0,81,89,67,27,136,0,443,1263,0,702,969,148,2526,0,0,1485,578,1043,495,701,227,0,0,74,336,486,363,73,113,79,473,196,477,0,334,169,74,48,686,0,175,1,1,5966,562,244,1,133,406,17,771,377,549,22,39320,10,15,408,704,101,0,270,434,94,0,287,0
18,223,453,4,8,3149,18626,0,1544,831,242,55,0,0,2483,2313,0,4549,1055,0,6477,0,0,6849,2980,6164,2229,4929,109,0,0,1,699,1402,1862,1320,135,224,1279,1413,553,2,46,291,570,0,968,0,57,1,1,21800,3174,1772,0,2081,1511,230,5220,730,2535,108,111731,1321,746,1884,2361,0,0,723,4404,85,151,1749,0
