,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
0,1707,1699,398,5161,683,13198,0,1822,494,1437,308,975,3573,0,7213,24,1282,112,5729,20,239,1860,1455,3075,400,1406,274,16,191,1038,994,0,3211,2704,1482,998,1508,168,870,651,3087,824,23,1440,0,0,46384,0,3622,0,0,534,792,1598,2,0,2826,1245,1108,1050,36,0,618,209043,545,585,343,0,573,0,4650,3328,3718,312,0,2507,632,0
1,2,335,0,1697,42,15276,0,1284,3,523,0,488,1386,0,4932,156,1343,67,9426,0,35,5107,2794,11183,2445,8341,291,0,0,38,272,0,2835,495,3086,1362,825,88,2305,0,122,87,373,14,0,0,30908,0,850,0,0,555,913,83,0,0,3676,11,3065,502,0,124,914,518128,132,612,244,0,31,0,5812,2698,2312,1176,1,1649,25,1
2,1019,656,1748,6988,295,12974,0,1582,1325,838,854,2523,2744,0,5348,371,2164,474,4762,123,432,1184,738,1919,101,1507,218,0,378,348,1558,0,1364,846,621,414,2901,1958,627,318,755,662,586,1778,0,0,17104,0,7306,0,0,871,1535,1098,13,3,3674,1216,2268,753,1,0,189,106329,81,255,364,0,150,1,2361,962,2131,114,1,1384,463,0
3,2414,1672,1933,16768,1127,48044,76,4044,3389,1772,913,4085,8236,0,32534,222,11184,980,15783,354,522,1959,838,2004,506,2092,1654,25,5,1734,5754,23,5454,6918,4980,3747,8579,4254,2519,809,2812,998,2518,3699,0,1,9106,0,12370,0,0,9976,3281,3789,382,78,5461,3201,5265,4851,0,0,1285,178621,1175,1137,1635,0,1051,0,7546,4990,12465,751,0,4958,601,0
4,2948,732,3148,25678,957,35769,0,4191,1556,3424,1682,4473,6780,0,22433,972,11910,1011,16515,0,120,3742,1255,4520,742,2862,814,0,489,2010,7061,11,2797,5194,1951,1436,4935,3896,999,969,2730,2029,2884,2204,0,0,9739,385,11366,0,0,6321,4176,3695,2010,0,6329,5978,4130,3726,0,431,1180,161421,0,1252,2885,0,954,0,7918,3697,20084,506,0,3757,1730,0
5,47,1975,2125,18316,10,32761,0,6625,5598,2734,1868,2665,3081,0,21170,1,23390,530,13849,13,2,9776,4716,9512,3391,11770,1710,0,4,890,6759,0,6,10653,1278,9127,248,2850,951,32,913,894,3334,798,1,0,726,0,5560,0,0,9885,1756,908,0,1,2857,2225,4827,4139,0,0,17,461455,0,5098,13,0,127,0,17062,791,4163,1,0,5747,2901,0
6,1991,430,1034,8630,197,12525,91,2711,1627,1236,563,228,4719,0,6081,311,2126,395,4378,129,231,1173,1060,2386,435,1344,627,1,67,501,1741,0,1388,1204,542,634,5588,1127,192,217,3638,302,103,1228,0,0,31734,527,6673,0,0,388,1479,1802,199,2,3491,2641,1283,1012,0,215,150,90145,220,410,488,151,231,0,5228,1343,2603,130,1,2052,7,2
7,264,94,111,1755,0,4150,14,168,139,48,240,341,531,0,1808,0,1058,70,1962,0,0,429,539,824,218,430,658,0,15,197,346,0,278,384,104,422,174,269,114,110,121,260,22,396,0,0,6,0,490,0,0,1121,707,155,237,0,292,497,272,175,0,0,37,1609,14,5,331,0,25,0,330,391,560,0,0,72,121,0
8,2498,2320,1700,7834,1103,24850,0,4305,2,2761,1699,1644,4822,0,12038,421,6627,254,5971,187,527,1454,1331,3205,1476,2437,371,96,216,1968,2135,1,1860,2266,1505,916,7211,2203,250,1028,1995,187,1701,855,0,2,21650,0,4591,0,0,839,2528,820,506,4,3403,2249,1310,3625,0,0,317,23725,30,538,1388,1,75,0,4456,4501,4334,523,0,2455,890,729
9,1049,1431,784,9626,92,13920,1,1923,1451,1242,1213,1119,5530,1,9781,124,3044,261,6710,385,67,789,977,2433,826,1414,2,0,0,924,1199,0,455,5076,2103,1149,800,1671,418,1391,428,808,497,1494,0,0,139,4,2211,0,0,1472,1820,1541,773,8,1120,1920,1436,1780,2,1,221,113434,541,694,682,37,226,0,8759,1558,5046,116,1,1853,58,1
10,34,187,0,1097,140,4395,0,742,5,678,99,187,625,0,1318,2,200,5,1549,0,0,994,725,945,366,819,111,0,0,209,321,128,164,354,225,10,269,479,53,127,132,697,21,89,1,0,11926,0,731,0,0,38,283,3,0,2,1008,433,399,362,0,1,105,23178,75,87,169,0,10,0,1269,392,688,176,2,218,0,1
11,823,602,486,15010,985,22768,45,1632,2133,611,916,457,3128,88,6782,615,2018,95,6329,40,639,3545,2791,5884,2013,2670,815,1,0,1928,1552,552,406,1276,597,1260,1190,1474,766,343,275,1090,123,1875,0,2,3,41,1178,243,0,3450,1121,795,2226,1168,1793,2237,408,629,293,503,263,117407,679,1402,83,370,1123,0,4455,1141,5684,4,0,2056,483,0
12,5011,3251,3815,12940,1862,29550,0,5257,2177,2654,831,2835,7348,0,20006,32,5307,164,11018,231,519,2248,1474,3777,505,2662,718,1,24,1835,3722,181,5770,5538,2409,731,7711,1762,1037,1487,3758,2089,1381,2171,0,0,22747,0,11914,0,0,8625,3852,4144,316,0,7282,2092,4295,3850,0,343,612,174436,157,1088,1686,201,998,0,6057,2653,5342,423,0,2238,2683,0
13,458,315,2,2797,28,8710,5,633,354,448,501,289,1175,2,1292,170,695,5,1387,4,4,2172,1640,2844,372,1606,94,0,0,168,403,397,246,1149,831,221,238,316,151,145,192,0,152,340,0,1,619,149,371,3,4,694,681,196,21,25,747,525,597,137,4,3,59,69487,104,922,2,2,105,0,5601,1206,2031,147,7,392,9,2
14,194,3668,632,2011,4552,8566,1484,763,1320,568,2794,1901,2323,1019,4235,4016,1757,622,4171,1583,1162,1106,563,932,548,605,965,689,1110,4808,1448,1267,395,2448,498,1036,1450,1280,975,446,249,1684,1243,872,2491,802,8639,4700,3703,1057,515,761,1804,687,939,14971,2487,593,1081,843,105,1619,675,112111,555,778,1850,1321,1155,151,1355,427,2233,1258,10136,949,1319,2894
