,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
0,1224,382,0,234,645,98,374,3017,174,0,533,358,1,0,2570,0,320,10,0,0,151,785,922,797,1551,261,740,583,0,962,263,241,207,178,262,96,1,917,73,191,1058,388,2582,682,173,130,933,2020,0,111,1542,1,0,0,453,103,0,2418,162,1,2,91,33908,0,567,19,18,2363,189,696,1348,564,0,761,0,1471,355,0,884
1,903,390,0,4,187,36,94,3689,456,1,167,64,0,0,783,0,262,6,165,0,84,797,421,493,1744,118,743,209,5,394,193,1022,133,521,7,5,0,511,124,24,172,51,744,315,120,199,845,564,0,11,2238,34,0,0,518,93,1,1360,9,3,59,0,16575,0,79,48,13,317,57,181,347,75,0,464,2,822,182,0,135
2,2550,123,0,659,36,1102,905,7898,1391,543,2032,160,0,0,3394,3,940,72,987,0,152,195,1627,946,2820,764,1470,1589,0,812,3185,3,951,1154,845,268,0,1882,774,259,941,393,3365,2042,5,562,3801,5042,0,140,10268,0,0,0,860,322,1,7432,351,1,0,229,184361,0,3628,389,196,3135,1076,712,1585,1723,100,2043,1,1194,568,0,1002
3,14056,3644,1,459,3897,2219,1629,13051,1746,196,5856,1525,0,0,11156,0,2343,221,2865,225,1,13096,2077,555,3700,635,1446,1866,0,3957,3558,6075,787,1038,1686,1225,0,2775,2141,641,1774,2547,9402,1125,8900,2213,4665,7423,0,1214,6701,0,0,0,1394,256,0,10956,456,0,179,547,643123,25,2786,264,245,13545,3517,2981,8307,2215,0,1898,469,1337,1479,0,4121
4,5193,2372,0,190,2041,580,1214,9037,980,534,3721,1695,0,0,8981,1,921,14,944,0,137,1665,1590,744,1938,562,1740,1469,0,3870,2235,165,415,1044,435,541,0,1093,527,211,1494,1335,5892,2018,2672,353,4034,5067,0,42,7899,1,0,0,1205,582,1,8307,41,1,437,367,106611,328,1175,1,1,7182,2243,1746,3625,917,0,1379,2,3719,1171,1,1484
5,543,97,3,133,231,3,43,2234,158,0,429,0,0,0,631,1,235,0,84,0,125,882,479,513,1083,168,877,145,0,110,114,107,65,133,44,2,0,179,139,50,178,64,655,245,459,1,443,1012,0,105,1598,0,0,0,178,20,0,1039,6,0,59,1,18014,0,100,0,4,166,29,225,251,133,0,226,0,464,179,0,114
6,414,118,1,162,57,132,135,1626,221,94,373,80,0,0,525,0,136,0,129,0,140,103,355,314,628,80,425,241,1,141,138,0,135,141,25,27,0,101,39,85,140,94,591,238,34,54,565,798,0,6,1047,0,0,0,93,23,0,670,4,0,38,1,19243,1,151,48,1,157,9,124,439,208,0,429,1,548,90,0,158
7,1457,88,4,1,537,447,623,4603,314,0,791,834,0,0,2712,0,716,7,0,6,23,1192,660,619,1511,255,731,941,20,768,506,3757,131,351,78,198,0,970,231,340,383,577,2237,464,1111,196,1364,856,0,291,1828,0,1,0,282,0,0,2771,174,0,73,101,48121,0,976,143,22,2390,1141,691,2446,288,2,1214,1,1277,32,1,1249
8,7400,1609,0,2,2259,642,40,4376,420,0,1980,1728,0,0,6770,0,1125,244,926,0,0,2952,3695,1266,5188,848,3301,1757,0,1221,3126,1391,86,387,774,118,0,3473,910,870,1778,2367,4786,1397,10629,1580,1110,3362,0,1,3718,0,0,0,492,63,0,7289,1538,0,0,77,542072,76,1495,10,1079,8447,0,720,5673,2817,0,1748,0,3981,266,0,4747
9,6239,2586,266,2594,2129,2912,1377,15456,1886,468,2492,606,38,0,11129,78,1906,313,4819,0,19,4481,2002,1399,1952,661,1127,4130,290,1783,4388,8560,657,1019,1749,810,7,2839,1129,497,4851,2827,12036,1773,7158,904,4343,8331,0,530,9070,1,0,0,2359,735,0,14513,1839,0,25,305,575357,132,7196,533,0,15474,827,1887,5580,6876,1,3341,0,6317,474,2,4911
10,1526,509,0,341,390,172,156,3564,609,42,400,211,63,0,1371,1,494,13,364,0,134,1109,535,587,1263,281,711,467,1,162,234,1192,140,300,42,110,0,918,71,203,336,141,1965,574,46,46,1251,2195,0,37,4345,0,0,0,474,119,2,1291,49,2,65,25,30738,1,320,30,1,181,384,649,794,474,0,789,1,755,184,0,248
11,485,0,2,104,3,149,25,1323,304,1,69,18,0,0,157,0,57,0,207,0,1,7,822,547,1049,188,1033,152,0,177,137,0,24,65,2,0,0,89,74,11,238,18,342,88,1,27,583,701,1,22,662,1,0,1,57,78,3,390,0,1,0,40,11430,16,11,0,0,149,207,308,146,185,1,275,1,106,72,0,44
12,301,239,0,131,26,220,146,2272,316,155,220,105,0,0,750,1,314,47,222,0,144,217,606,883,1185,306,800,387,0,235,85,1,86,105,19,44,0,609,62,113,188,13,2256,412,27,61,438,1816,0,15,1443,1,0,0,351,168,0,1251,141,1,134,17,26039,0,170,114,0,390,208,98,624,203,0,705,2,875,245,0,329
13,528,253,0,24,60,38,108,1953,108,46,353,334,0,0,329,1,278,0,75,0,64,621,418,445,672,367,694,222,0,155,145,2740,97,478,22,179,0,298,120,23,248,36,526,61,210,12,230,522,0,17,1710,3,0,0,142,96,2,1254,7,1,60,7,11297,0,79,0,1,111,72,289,354,39,1,398,1,514,152,0,101
14,753,201,0,240,0,59,68,3627,302,24,752,310,2,0,1451,1,565,0,36,0,114,17,498,494,1145,122,733,91,4,349,220,14,105,232,111,2,4,321,94,33,279,46,1586,298,43,46,442,1591,1,0,1408,0,0,0,204,168,0,1818,12,1,46,64,14881,1,199,58,0,155,5,168,732,313,1,716,2,496,118,1,97
15,1338,720,0,257,456,5,103,3161,310,0,199,30,31,0,528,0,55,5,157,0,75,215,727,445,1193,232,504,211,0,204,189,480,146,162,5,12,0,98,152,119,544,52,830,170,134,40,679,1537,0,0,1330,0,0,0,422,137,0,1318,28,0,0,15,12401,0,225,0,8,89,88,180,434,611,0,410,2,800,169,0,282
16,839,210,0,117,307,147,153,2935,512,0,242,125,0,0,1465,1,329,14,181,0,154,170,469,335,533,152,492,434,0,279,694,285,234,222,50,66,0,132,165,68,226,181,740,346,421,36,696,1209,0,22,2121,0,0,0,157,30,0,760,13,0,1,62,39226,17,369,177,37,310,141,285,224,260,0,800,1,585,248,0,190
17,3330,1039,0,0,1654,997,443,7738,479,215,1421,829,0,0,3071,0,985,201,1805,0,22,5394,1156,617,1684,598,1305,869,0,591,1466,2326,314,399,737,127,0,855,636,232,557,645,3673,694,1938,420,1814,2360,0,50,5223,1,0,0,883,149,0,5804,646,0,334,651,112981,1,1140,0,213,4078,694,460,1154,1622,0,903,0,2052,32,0,1018
18,4638,2676,0,696,844,3755,1022,8051,3244,0,0,1034,3,1,5919,10,2273,3,7265,0,260,4791,4757,2588,5059,963,4478,2639,3,1501,7298,5404,910,194,413,1397,0,2172,552,134,2583,2069,5543,2607,3128,680,7781,20344,0,2286,12133,0,0,0,2641,881,1,7531,3430,0,0,124,802623,0,4302,0,523,8535,2477,3445,2464,1659,0,1143,2,7026,2961,0,4311
19,12722,1905,0,2,0,1365,765,13514,559,947,6957,2104,0,0,7660,1,1378,144,1166,0,3,3056,2766,922,4077,565,2343,3738,0,4553,3065,147,219,1163,2770,474,0,4467,1014,874,3788,2790,11790,2591,5849,2986,6430,7801,0,2192,3444,1,0,0,979,438,0,18730,1087,0,413,190,587846,0,806,323,761,13532,6671,1610,7466,858,0,1586,2,2873,2266,0,3830
20,587,113,0,78,415,3,47,1377,158,25,539,104,0,1,804,1,244,3,85,0,58,436,543,422,1139,50,422,93,0,74,123,53,66,74,56,0,0,87,46,13,161,32,774,217,18,15,775,117,1,22,1002,1,0,0,234,19,3,223,7,1,0,4,815,0,49,0,0,144,11,233,214,173,0,407,2,180,249,1,124
21,2517,1450,0,303,1251,498,614,4910,832,90,1377,276,43,0,3148,0,481,0,198,0,158,3410,680,341,895,334,880,1056,1,600,843,6323,304,443,212,165,0,853,136,69,582,1171,2149,564,2030,57,918,3196,0,45,1988,0,0,0,1164,109,0,3034,535,0,59,28,88556,0,292,0,150,2947,373,1068,1370,669,0,684,0,1718,659,0,851
22,9362,2480,0,1582,1307,2508,991,18676,1714,335,3858,1900,125,0,7611,0,851,4,11989,0,0,2567,4452,1193,5302,1438,2374,2071,1,2297,3580,8516,530,67,1281,1415,0,1928,1572,27,1395,5558,5806,3807,2000,503,1651,5643,0,247,10266,1,0,0,255,308,2,20169,536,0,0,37,597763,1,950,1192,1193,17739,2323,1573,3973,3939,0,488,1,2881,2267,0,8288
23,1310,989,0,0,492,344,0,1324,295,0,41,179,0,0,714,0,164,0,137,0,20,1177,1116,1106,1789,755,1699,836,104,248,467,3708,209,100,0,472,0,520,217,118,482,366,3258,557,2196,195,809,1641,0,0,2669,1,0,0,934,4,0,1162,152,0,0,4,83409,0,145,0,152,960,1202,395,163,318,0,252,0,453,0,0,0
24,5652,3816,281,1382,1077,2855,2314,20092,3388,0,3493,3072,592,0,7054,0,2591,0,5390,402,2112,2406,3243,1062,3304,417,2743,3412,0,4589,1922,2,796,1529,2203,304,0,2498,1364,1259,6688,1916,4092,4209,2678,1304,5865,10264,0,1931,7881,0,0,0,1070,799,0,10891,1455,0,44,6,189653,13,2890,1888,0,20497,2997,1684,4452,3600,267,2954,1,5503,1740,777,4835
25,539,433,0,16,84,201,124,979,603,0,1,219,0,0,2176,0,739,25,0,45,237,221,712,486,1021,139,600,947,3,533,79,80,295,350,0,97,0,2121,436,68,209,275,27,610,99,190,1618,2663,0,39,2221,0,0,0,150,123,0,982,90,0,0,0,8008,1,325,0,8,69,247,624,179,1,0,427,0,812,38,0,0
26,501,183,1,183,0,68,105,2518,206,103,740,57,0,0,1202,40,134,0,0,0,86,2690,839,501,850,183,739,636,1,260,121,1435,97,142,67,4,0,275,380,48,212,104,1432,144,642,64,362,550,0,12,1167,0,0,0,730,0,1,939,21,3,2,6,15656,0,304,0,0,205,24,113,646,143,0,689,0,849,149,0,259
