,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
0,4484,803,237,0,124,529,564,0,288,5348,406,0,0,375,0,0,2788,0,372,66,0,0,194,5014,2669,4161,1256,4833,1036,0,676,1222,781,851,710,503,0,1092,0,568,640,78,971,88,268,1577,3496,1195,231,553,140,3085,3756,1967,0,151,7877,0,0,0,2098,0,572,0,3385,15,0,0,94026,1647,0,276,0,880,2,259,822,0,1072,0,917,12,0,647,562
1,2665,104,275,0,175,983,16,80,846,5524,704,1,0,1124,0,0,2350,0,1852,0,0,0,1080,1450,811,726,742,1504,55,0,495,701,1951,505,183,45,0,341,0,1256,371,160,1074,894,170,387,2063,473,2984,327,12,2415,994,234,0,2,5193,1284,0,0,2681,0,538,0,3120,16,0,171,50665,127,255,0,1,542,399,127,554,0,1047,0,537,209,0,473,699
2,4050,3089,1,0,0,3099,165,600,6166,21962,4378,0,3072,2024,1,0,10720,1,5004,0,0,2,6545,7291,5814,9734,4938,8539,7076,0,4730,2587,2779,1006,2890,4,3655,878,1,4412,678,294,2361,3015,6192,2590,8336,3833,1018,1638,542,8220,10787,2970,0,663,6508,0,0,0,3554,0,1149,0,8397,0,0,0,125653,2452,0,62,331,4011,2839,5050,340,0,5211,0,10391,5397,0,2056,4237
3,6304,171,579,0,1684,1038,345,586,1958,3734,84,0,0,1246,0,0,1247,1,3,65,0,0,2661,1272,1044,2348,518,1949,2033,0,1040,827,14220,7404,849,142,217,393,0,3322,1956,418,1345,760,426,1274,1412,1082,3094,1528,540,3197,5597,1025,0,542,13080,298,0,0,9684,242,0,0,3832,90,0,608,129407,760,14,115,14,204,0,861,6,0,2561,0,2202,147,0,898,89
4,12743,3635,1424,0,0,7922,2431,2551,5928,37071,6258,574,5181,2970,0,0,19127,329,3665,114,0,435,13495,4184,2677,5488,495,2966,2133,0,3477,3616,1199,1887,2679,604,4092,1988,1,7997,1677,344,6459,2972,3245,5484,11314,5159,1854,416,587,11997,17308,2469,0,2002,15229,1,0,0,7292,0,791,0,9660,1427,0,416,342753,7798,305,756,283,16649,6809,4390,1940,210,8085,0,17353,1966,0,1713,7910
5,6849,3183,184,0,0,374,1291,1530,3947,18558,2172,444,797,473,0,0,8014,1,1925,297,96,0,18481,7290,4559,6639,1726,5576,1751,0,1528,1760,3865,1018,3569,846,274,438,0,7013,649,45,3322,1938,2507,2231,12754,2905,13723,6120,366,2744,3144,790,0,447,12898,0,0,0,5683,0,955,4,8920,490,0,812,243043,653,0,241,7,7080,1460,5249,2733,0,6041,0,1766,685,0,1373,5859
6,4302,2138,1161,0,0,780,524,476,440,9699,936,2,673,16,0,0,6752,1,1923,168,0,263,868,2900,3222,4627,538,1982,1207,0,269,773,4,340,431,481,336,681,0,772,112,186,541,930,903,831,6773,1745,2,0,487,4002,6210,653,0,855,1859,0,0,0,792,0,203,0,7817,1190,0,31,43613,2220,0,671,0,4320,1061,2991,233,0,1612,0,977,762,0,334,337
7,8234,2763,725,0,192,1842,570,2820,3166,16811,2700,936,1178,1706,0,0,16729,167,1937,84,0,145,7229,2179,1432,2944,535,2023,2936,0,3052,2411,5229,1166,2036,508,294,1688,0,6278,2235,654,2815,2376,2343,1662,9749,3969,8818,2812,557,6872,8955,1887,0,494,15585,5,0,0,3197,0,1249,0,10864,295,0,337,206394,4140,0,404,0,2282,2549,3927,4000,0,7158,0,5378,1544,1,1851,3844
8,5565,1316,1,0,0,501,1716,183,330,5883,928,582,1036,67,0,0,5447,0,686,0,0,303,11813,3236,2828,6045,1241,4589,2197,662,1332,1159,9700,351,2336,9,1017,319,0,1162,1069,546,2585,1478,1884,141,2860,837,1865,1399,0,749,1687,194,0,640,7193,0,0,0,6188,0,724,1,3735,460,0,6,151098,1411,0,0,559,2183,561,1600,2168,0,1397,0,2341,981,0,580,1628
9,9573,1245,981,0,130,1044,658,728,577,8002,850,70,542,2026,0,0,6349,0,1864,0,151,68,4718,1198,929,2645,366,872,1491,0,305,1488,11406,990,861,1060,14,1525,0,7,827,620,1344,2556,792,577,2252,1191,6063,985,32,1688,5243,586,0,92,5010,131,0,0,2158,0,332,0,6430,237,0,195,107635,807,301,136,92,4798,617,2366,1494,0,1153,0,2343,947,0,838,1138
10,1555,1278,392,0,0,1137,1322,1648,1000,18613,2505,353,2438,229,622,0,8670,0,2143,0,0,523,585,5204,3151,7049,1340,5011,2112,0,658,3037,2,793,2162,1292,2886,632,0,3044,1750,456,1965,1188,1314,785,12816,1865,266,1,678,1811,10085,2437,0,944,3756,1137,319,0,1278,0,231,0,7455,2066,0,539,72606,1909,0,0,1,6529,4226,2236,2102,0,2025,1,7563,578,0,563,3207
11,5171,2013,1191,0,0,1734,741,1260,2853,17187,1819,202,1051,2377,183,0,10398,2,3000,0,0,1192,9407,2643,2029,3461,662,2847,1979,0,2462,2170,3428,966,2841,293,814,1872,0,3133,1708,151,1726,1259,3146,1210,6475,2533,5376,3638,769,2772,8304,670,1,455,21982,1,0,0,3821,0,161,0,8049,946,2,144,160878,1724,573,40,522,2496,2484,2451,4080,0,3603,2,8512,1670,0,1421,1980
12,3260,904,369,0,0,397,724,195,972,8789,1038,0,0,1448,0,0,4795,1,1583,108,0,14,1488,2731,1242,2960,926,2775,645,0,2039,410,5011,1315,300,169,534,889,0,3020,74,644,334,275,399,1801,2859,355,3268,344,164,2318,7635,1715,0,22,7207,1769,0,0,236,2,81,7,3056,111,0,125,59130,423,0,234,0,2388,338,1398,1062,0,792,0,1585,615,0,773,685
13,3840,3793,316,0,0,1567,1969,2207,486,5620,1746,10,307,1024,131,0,5463,2,708,52,0,154,5968,2882,2699,4542,431,1537,2731,484,977,2705,14002,744,910,30,976,701,0,733,2215,1246,2335,2505,485,1776,5719,923,5540,3689,0,1665,5661,1094,0,86,8313,0,0,0,5855,0,219,0,9291,1366,0,0,249021,2538,218,34,5732,6314,260,2367,822,0,1106,0,3535,0,0,736,2238
14,343,237,256,0,0,974,92,388,1211,5763,856,0,51,247,0,0,2912,0,871,0,0,65,632,3982,2234,3589,903,4095,878,58,385,56,4,525,2,112,0,13,0,984,645,9,12,155,1938,0,4506,1188,0,1,124,1353,3076,536,0,259,1461,0,0,0,1010,0,413,0,2151,370,0,0,38224,437,1,213,0,66,1,840,672,0,3327,0,1006,1,0,321,523
15,6870,2664,496,256,0,2757,1024,1800,5877,21375,3965,0,4237,1744,47,1,16428,9,3806,3,2,831,4900,4037,3182,4459,950,3362,3204,1,4485,2072,0,1324,2008,408,2583,2603,0,7870,2238,404,2771,2840,2271,4413,7363,4366,466,55,456,9031,17033,4299,3,457,14036,7,2,0,2323,0,1201,32,9559,1206,4,2,70523,8112,1,948,189,10860,4051,2043,1321,1,3539,6,9330,2292,4,1552,4907
16,7352,3888,1397,0,313,8131,1111,2838,5935,22293,3401,659,2073,845,1,0,20632,0,5985,201,0,296,9795,2530,1900,3555,557,2272,4519,0,5479,2340,8983,2230,4952,1059,234,1874,11,12534,2809,187,5652,2893,3506,1657,26607,5869,7899,2217,1819,10915,11993,2343,0,938,25476,0,0,0,6641,0,1231,2,16766,814,4,516,279732,2990,218,634,28,5727,2791,9318,3260,0,11799,3,8484,1693,1,2424,4084
