,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0,2304,2439,349,60,692,1364,4860,787,161,463,0,2164,694,1015,11,2497,436,235,751,157,587,1969,1315,523,306,5624,1695,1057,531,289,2019,589,317,1199,481,178,3088,745,656,1334,5857,6129,2476,43,0,2229,0,850,0,151,4125,0,5,63313,0,330,731,3313,866,0,1305,0,1301,1419,199,943,180,398,845,198
1,1972,1249,0,0,730,716,2663,1135,1,128,0,6368,243,167,123,5245,2845,1870,4037,854,2986,1102,1482,410,98,2614,279,182,48,875,1138,765,208,1078,300,488,2347,662,2151,1,1278,4572,4785,196,0,1369,0,867,0,153,4011,0,62,67367,0,579,1,728,1571,0,1046,0,874,1005,421,625,137,531,94,39
2,3227,2419,89,0,12,1284,2947,999,433,0,178,840,14,294,453,720,2884,4010,4957,1298,3873,2329,1224,49,159,4891,816,2316,0,214,1612,1068,0,1590,130,260,1098,1264,568,901,1288,3224,4848,0,0,1131,0,0,0,272,683,0,0,46570,0,208,9,518,565,0,332,0,358,1585,1,671,0,1225,0,19
3,2024,969,164,71,681,661,3472,313,260,616,0,2947,396,1026,116,2854,2014,1313,2299,605,1350,1220,330,0,103,3130,153,540,137,670,824,359,220,629,634,945,1524,840,1337,191,2786,3262,3638,0,0,807,0,291,0,128,3598,0,97,36599,0,344,155,628,897,0,1565,0,1051,365,1166,515,442,514,181,37
4,6713,1147,0,5,834,863,19579,4267,1290,8941,299,5837,1550,3247,5112,4360,5327,4805,7920,1812,3657,741,2281,1451,1592,7350,1014,3599,552,1522,4289,1693,24,3863,1394,5154,8841,2020,7496,1191,6192,10688,12978,0,0,1858,0,2516,0,890,12385,0,78,116488,0,731,1589,3340,4653,0,3563,0,5523,12919,2684,1434,941,1333,6034,952
5,3799,1819,1260,115,1499,1560,16007,2717,549,921,188,5881,1099,3420,2681,4916,3230,1590,3128,686,1674,2330,1376,59,1358,2593,844,1464,471,932,3644,1416,565,893,1313,1073,4849,1466,740,962,3376,7943,7847,0,0,3152,0,1015,0,913,5879,0,0,84100,0,1058,1082,2152,2255,0,2838,0,1170,2552,2056,1482,554,1504,573,374
6,3506,1334,377,42,465,1558,16931,2171,67,1005,1,8833,583,1312,1965,2552,1455,1404,1782,480,2368,1784,2196,400,1531,2442,592,2032,450,966,2226,1418,134,1179,853,1717,4030,1530,825,2014,3628,9101,5505,162,0,1012,0,1766,0,403,8854,0,47,104390,0,1108,322,3548,1251,0,2802,0,2582,3363,1506,267,701,948,2141,449
7,4935,1080,2117,104,1146,851,9823,2140,144,516,412,2337,937,2910,1670,155,2066,1129,3537,586,1469,1486,3403,486,622,348,846,1201,838,802,2812,521,446,1495,2004,586,3202,909,291,416,5192,13848,1869,127,0,469,0,697,0,406,6562,0,2,38036,0,1770,218,8356,3922,0,3034,0,1229,2477,629,1312,667,604,2862,261
8,2886,1006,1036,39,1249,1187,10458,1300,587,2483,0,6810,766,1586,145,1432,1853,1108,2018,444,2363,2571,832,185,338,2158,586,2252,433,1069,2727,1294,298,1147,938,656,13698,2477,2261,329,4098,3704,3888,131,0,1625,2,1564,0,476,6823,0,68,98910,0,1617,313,1885,228,0,3058,0,4577,1844,358,463,313,936,168,342
9,651,823,122,0,589,801,16011,1810,207,1118,0,6999,405,1454,253,1420,2706,1515,3922,446,2635,874,2436,0,421,0,400,678,176,1158,951,720,122,413,233,776,6042,1589,625,486,3283,3728,2160,1,0,354,0,963,0,0,4753,0,84,56784,0,836,302,1069,81,0,2675,0,2442,2128,509,780,1146,532,688,517
