,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
0,2304,2439,349,1,268,473,164,692,1364,4860,787,5,463,1014,0,0,2164,1,1015,233,317,11,43,2,2497,436,57,26,235,751,130,157,587,1969,0,1315,306,5624,1695,1057,97,80,289,0,2019,589,317,1199,481,178,3088,745,656,326,5857,6129,0,602,2476,0,0,0,2229,0,227,1,4125,0,54,63313,330,0,156,47,3313,866,1305,34,1301,0,1419,943,1,398,845,64
1,1972,1249,0,0,0,1,2,730,716,2663,1135,42,128,426,0,0,6368,0,167,0,245,123,177,255,5245,2845,695,738,1870,4037,311,854,2986,1102,0,1482,98,2614,279,182,168,271,875,0,1138,765,208,1078,300,488,2347,662,2151,1,1278,4572,0,0,4785,1,0,0,1369,0,180,1,4011,0,0,67367,579,0,249,99,728,1571,1046,0,874,1,1005,625,0,531,94,85
2,3227,2419,89,1,0,2,9,12,1284,2947,999,0,0,0,178,0,840,0,294,0,330,453,0,1,720,2884,551,702,4010,4957,0,1298,3873,2329,1,1224,159,4891,816,2316,0,27,214,0,1612,1068,0,1590,130,260,1098,1264,568,466,1288,3224,0,140,4848,1,0,0,1131,0,0,1,683,1,0,46570,208,0,91,0,518,565,332,1,358,0,1585,671,0,1225,0,0
3,2024,969,164,2,0,0,573,681,661,3472,313,305,616,188,0,0,2947,3,1026,0,158,116,0,564,2854,2014,244,318,1313,2299,295,605,1350,1220,1,330,103,3130,153,540,0,163,670,0,824,359,220,629,634,945,1524,840,1337,291,2786,3262,1,46,3638,0,0,1,807,0,191,3,3598,3,162,36599,344,2,115,87,628,897,1565,0,1051,3,365,515,3,514,181,193
4,6713,1147,0,171,1,3000,1075,834,863,19579,4267,883,8941,1902,299,0,5837,0,3247,0,1644,5112,0,715,4360,5327,1242,881,4805,7920,1624,1812,3657,741,0,2281,1592,7350,1014,3599,491,905,1522,0,4289,1693,24,3863,1394,5154,8841,2020,7496,799,6192,10688,0,175,12978,0,0,0,1858,0,491,1,12385,0,1,116488,731,308,124,0,3340,4653,3563,0,5523,0,12919,1434,0,1333,6034,719
5,3799,1819,1260,26,0,542,68,1499,1560,16007,2717,119,921,842,188,0,5881,0,3420,0,764,2681,0,657,4916,3230,518,384,1590,3128,280,686,1674,2330,0,1376,1358,2593,844,1464,20,1136,932,0,3644,1416,565,893,1313,1073,4849,1466,740,371,3376,7943,0,0,7847,1,0,0,3152,0,726,0,5879,0,377,84100,1058,0,243,91,2152,2255,2838,0,1170,1,2552,1482,0,1504,573,554
6,3506,1334,377,0,254,152,746,465,1558,16931,2171,0,1005,1937,1,0,8833,1,1312,0,600,1965,0,1360,2552,1455,351,290,1404,1782,177,480,2368,1784,0,2196,1531,2442,592,2032,462,795,966,1,2226,1418,134,1179,853,1717,4030,1530,825,345,3628,9101,0,326,5505,1,0,0,1012,0,816,1,8854,0,2,104390,1108,132,180,0,3548,1251,2802,0,2582,0,3363,267,0,948,2141,541
7,4935,1080,2117,483,163,289,1300,1146,851,9823,2140,270,516,1169,412,146,2337,661,2910,58,74,1670,68,274,155,2066,291,245,1129,3537,599,586,1469,1486,113,3403,622,348,846,1201,111,784,802,63,2812,521,446,1495,2004,586,3202,909,291,1066,5192,13848,367,3068,1869,769,95,117,469,121,545,1250,6562,211,171,38036,1770,235,56,249,8356,3922,3034,121,1229,712,2477,1312,741,604,2862,23
8,2886,1006,1036,0,15,2045,384,1249,1187,10458,1300,1,2483,695,0,0,6810,1,1586,3,1547,145,1,151,1432,1853,258,322,1108,2018,0,444,2363,2571,0,832,338,2158,586,2252,537,95,1069,0,2727,1294,298,1147,938,656,13698,2477,2261,467,4098,3704,0,551,3888,1,0,0,1625,0,397,2,6823,0,66,98910,1617,225,183,1,1885,228,3058,21,4577,0,1844,463,0,936,168,161
9,651,823,122,2,286,366,480,589,801,16011,1810,546,1118,162,0,0,6999,0,1454,0,1251,253,0,586,1420,2706,361,324,1515,3922,100,446,2635,874,1,2436,421,0,400,678,358,239,1158,0,951,720,122,413,233,776,6042,1589,625,337,3283,3728,0,300,2160,0,0,0,354,0,926,2,4753,5,204,56784,836,394,93,180,1069,81,2675,0,2442,1,2128,780,0,532,688,418
