,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
0,1645,155,515,41,0,0,17,404,252,411,670,1080,0,99,1068,0,0,108,0,40,20,120,122,350,30,153,171,0,50,171,162,659,0,0,66,2,59,36,142,118,49,22,265,0,1,3389,0,504,403,0,0,643,3827,0,1,311,353,78,0,0,4986,506,1,0,6,119,145,0,78,1,206,1,130,42,377,10
1,3408,1293,2096,768,0,4,531,1598,1212,2772,3184,8202,0,170,3185,0,0,638,0,56,840,534,295,1526,178,639,1765,0,504,1025,375,1884,0,0,706,3,209,282,1272,1516,818,1,1311,0,0,24273,4,1515,1316,0,0,1590,0,0,11,1957,2884,490,0,0,15489,1790,21,0,155,790,2473,0,424,4752,604,1,930,464,1059,271
2,2264,368,896,95,0,0,354,1101,842,420,2017,1394,0,2,1236,0,0,477,0,24,296,493,406,1151,28,434,780,0,45,693,566,851,0,0,5,1,212,635,1667,328,158,106,383,0,0,8249,0,1028,1163,2,1,523,8525,0,1,940,704,226,0,0,19388,1000,0,66,111,367,704,0,114,0,329,51,385,181,403,33
3,8269,2831,3385,1438,1,0,434,3314,757,7219,8648,11753,1,742,7495,0,1,2094,0,802,735,2254,1658,3043,319,2801,4725,0,893,2172,779,5163,0,0,1623,2,2026,2464,5082,5479,1069,250,2615,0,0,20477,373,3123,3169,0,0,2782,8965,0,0,4496,1291,1667,0,225,21452,4582,0,0,100,2183,4100,587,1208,4725,1416,0,1801,341,2278,356
4,18972,4518,0,1249,0,282,219,0,5,1988,2757,2530,2,1167,417,0,2,1007,1,0,2631,2102,2307,5616,978,2830,7547,715,813,525,1103,3081,1,621,416,0,6043,1873,3470,6216,1877,1,686,1,0,15949,0,335,0,0,0,0,0,0,13,0,255,600,1,291,415561,3191,867,0,139,368,0,5396,1642,0,3453,0,14419,347,4246,1788
5,3052,599,1041,474,0,1,838,783,1842,730,2624,2577,0,121,2509,0,0,423,0,86,319,375,215,429,225,489,554,0,142,399,590,1117,0,0,64,1,77,541,843,653,365,51,804,0,0,13732,46,850,1165,0,0,879,6528,0,0,1572,1326,494,0,0,46078,1389,4,0,291,513,1559,0,288,57,330,1,127,1,604,110
6,3235,744,2074,515,0,1,611,1026,2914,1835,3189,4675,0,94,4517,0,23,749,0,95,142,295,292,667,167,341,881,0,88,544,380,2222,0,0,429,6,159,744,1083,1003,308,132,911,0,0,22203,14,996,2089,0,0,5171,0,0,0,2122,2546,370,0,0,15086,1495,13,0,277,1144,1848,14,521,1544,407,1,361,75,1113,158
7,1404,381,606,215,0,0,117,720,579,77,1364,1170,35,48,276,0,0,319,0,4,118,857,557,809,191,1084,406,2,225,368,250,341,0,1,69,1,53,192,417,260,16,1,406,0,0,13894,20,918,740,1,0,1172,6632,0,2,595,451,377,0,1,3537,733,0,1,209,212,481,0,32,0,104,2,193,0,311,66
8,1872,1096,2338,503,0,0,248,1916,1642,1767,4629,12333,0,188,2642,0,0,929,0,269,1147,1104,866,1250,342,927,2171,0,338,1421,811,1899,0,18,507,3,429,800,1612,1950,447,5,1400,0,0,8859,0,2086,3784,0,0,6260,0,0,0,3024,2363,567,0,65,14302,2408,0,0,141,1890,3051,0,691,1317,1159,0,821,0,1612,371
9,1580,894,1630,182,0,2,332,1387,1959,1720,5276,21435,0,207,3858,0,29,1109,0,336,436,1521,2084,3299,540,3234,1441,0,120,503,613,1824,0,0,118,5,463,533,1349,1466,602,2,3741,0,0,7910,0,2732,892,0,0,12622,0,1,0,2511,1450,101,0,0,11263,1793,0,0,258,1951,2992,0,385,8728,1650,0,425,74,1900,112
