,mouse.sex,cell_ontology_class
0,F,endothelial cell
1,M,endothelial cell
2,F,endothelial cell
3,M,endothelial cell
4,M,endothelial cell
5,M,endothelial cell
6,M,endothelial cell
7,F,endothelial cell
8,M,endothelial cell
9,M,endothelial cell
10,M,endothelial cell
11,M,endothelial cell
12,M,endothelial cell
13,F,endothelial cell
14,M,endothelial cell
15,F,endothelial cell
16,F,endothelial cell
17,F,endothelial cell
18,F,endothelial cell
19,M,endothelial cell
20,F,endothelial cell
21,M,endothelial cell
22,M,endothelial cell
23,F,endothelial cell
24,M,endothelial cell
25,M,endothelial cell
26,F,endothelial cell
27,M,endothelial cell
28,M,endothelial cell
29,F,endothelial cell
30,F,endothelial cell
31,F,endothelial cell
32,F,endothelial cell
33,F,endothelial cell
34,F,endothelial cell
35,F,endothelial cell
36,M,endothelial cell
37,M,endothelial cell
38,M,endothelial cell
39,M,endothelial cell
40,M,endothelial cell
41,M,endothelial cell
42,M,endothelial cell
43,M,endothelial cell
44,F,endothelial cell
45,M,endothelial cell
46,M,endothelial cell
47,F,endothelial cell
48,F,endothelial cell
49,F,endothelial cell
50,F,endothelial cell
51,F,endothelial cell
52,F,endothelial cell
53,M,endothelial cell
54,F,endothelial cell
55,M,endothelial cell
56,M,endothelial cell
57,M,endothelial cell
58,M,endothelial cell
59,M,endothelial cell
60,M,endothelial cell
61,F,endothelial cell
62,F,endothelial cell
63,F,endothelial cell
64,F,endothelial cell
65,M,endothelial cell
66,M,endothelial cell
67,M,endothelial cell
68,M,endothelial cell
69,M,endothelial cell
70,M,endothelial cell
71,M,endothelial cell
72,F,endothelial cell
73,F,endothelial cell
74,F,endothelial cell
75,M,endothelial cell
76,M,endothelial cell
77,M,endothelial cell
78,M,endothelial cell
79,M,endothelial cell
80,M,endothelial cell
81,M,endothelial cell
82,M,endothelial cell
83,M,endothelial cell
84,M,endothelial cell
85,F,endothelial cell
86,M,endothelial cell
87,M,endothelial cell
88,M,endothelial cell
89,M,endothelial cell
90,M,endothelial cell
91,M,endothelial cell
92,M,endothelial cell
93,F,endothelial cell
94,M,endothelial cell
95,M,endothelial cell
96,F,endothelial cell
97,M,endothelial cell
98,M,endothelial cell
99,M,endothelial cell
100,F,oligodendrocyte
101,M,oligodendrocyte
102,F,oligodendrocyte
103,M,oligodendrocyte
104,M,oligodendrocyte
105,F,oligodendrocyte
106,M,oligodendrocyte
107,M,oligodendrocyte
108,M,oligodendrocyte
109,M,oligodendrocyte
110,F,oligodendrocyte
111,M,oligodendrocyte
112,F,oligodendrocyte
113,M,oligodendrocyte
114,M,oligodendrocyte
115,M,oligodendrocyte
116,M,oligodendrocyte
117,M,oligodendrocyte
118,M,oligodendrocyte
119,M,oligodendrocyte
120,M,oligodendrocyte
121,M,oligodendrocyte
122,M,oligodendrocyte
123,F,oligodendrocyte
124,M,oligodendrocyte
125,M,oligodendrocyte
126,M,oligodendrocyte
127,M,oligodendrocyte
128,M,oligodendrocyte
129,M,oligodendrocyte
130,F,oligodendrocyte
131,M,oligodendrocyte
132,M,oligodendrocyte
133,M,oligodendrocyte
134,M,oligodendrocyte
135,M,oligodendrocyte
136,M,oligodendrocyte
137,F,oligodendrocyte
138,M,oligodendrocyte
139,M,oligodendrocyte
140,M,oligodendrocyte
141,M,oligodendrocyte
142,M,oligodendrocyte
143,F,oligodendrocyte
144,M,oligodendrocyte
145,M,oligodendrocyte
146,M,oligodendrocyte
147,M,oligodendrocyte
148,M,oligodendrocyte
149,M,oligodendrocyte
150,M,oligodendrocyte
151,M,oligodendrocyte
152,M,oligodendrocyte
153,M,oligodendrocyte
154,M,oligodendrocyte
155,M,oligodendrocyte
156,M,oligodendrocyte
157,M,oligodendrocyte
158,M,oligodendrocyte
159,M,oligodendrocyte
160,M,oligodendrocyte
161,M,oligodendrocyte
162,F,oligodendrocyte
163,M,oligodendrocyte
164,F,oligodendrocyte
165,M,oligodendrocyte
166,M,oligodendrocyte
167,M,oligodendrocyte
168,F,oligodendrocyte
169,M,oligodendrocyte
170,F,oligodendrocyte
171,M,oligodendrocyte
172,F,oligodendrocyte
173,F,oligodendrocyte
174,M,oligodendrocyte
175,M,oligodendrocyte
176,F,oligodendrocyte
177,F,oligodendrocyte
178,M,oligodendrocyte
179,M,oligodendrocyte
180,F,oligodendrocyte
181,M,oligodendrocyte
182,M,oligodendrocyte
183,M,oligodendrocyte
184,M,oligodendrocyte
185,M,oligodendrocyte
186,M,oligodendrocyte
187,F,oligodendrocyte
188,M,oligodendrocyte
189,M,oligodendrocyte
190,M,oligodendrocyte
191,M,oligodendrocyte
192,M,oligodendrocyte
193,M,oligodendrocyte
194,F,oligodendrocyte
195,M,oligodendrocyte
196,M,oligodendrocyte
197,M,oligodendrocyte
198,M,oligodendrocyte
199,M,oligodendrocyte
