,mouse.sex,cell_ontology_class
0,M,neuron
1,M,neuron
2,M,neuron
3,M,neuron
4,M,neuron
5,M,neuron
6,F,neuron
7,M,neuron
8,M,neuron
9,M,neuron
10,F,neuron
11,M,neuron
12,M,neuron
13,M,neuron
14,F,neuron
15,F,neuron
16,M,neuron
17,M,neuron
18,F,neuron
19,M,neuron
20,M,neuron
21,M,neuron
22,M,neuron
23,M,neuron
24,M,neuron
25,M,neuron
26,M,neuron
27,M,neuron
28,M,neuron
29,M,neuron
30,M,neuron
31,M,neuron
32,M,neuron
33,M,neuron
34,F,neuron
35,M,neuron
36,M,neuron
37,M,neuron
38,F,neuron
39,M,neuron
40,F,neuron
41,M,neuron
42,F,neuron
43,F,neuron
44,M,neuron
45,M,neuron
46,M,neuron
47,M,neuron
48,M,neuron
49,M,neuron
50,M,neuron
51,M,neuron
52,M,neuron
53,M,neuron
54,F,neuron
55,F,neuron
56,F,neuron
57,M,neuron
58,M,neuron
59,M,neuron
60,M,neuron
61,M,neuron
62,M,neuron
63,M,neuron
64,M,neuron
65,M,neuron
66,M,neuron
67,M,neuron
68,M,neuron
69,M,neuron
70,M,neuron
71,M,neuron
72,M,neuron
73,M,neuron
74,M,neuron
75,M,neuron
76,M,neuron
77,M,neuron
78,M,neuron
79,M,neuron
80,F,neuron
81,M,neuron
82,M,neuron
83,M,neuron
84,M,neuron
85,M,neuron
86,M,neuron
87,M,neuron
88,M,neuron
89,M,neuron
90,M,neuron
91,M,neuron
92,M,neuron
93,M,neuron
94,M,neuron
95,M,neuron
96,M,neuron
97,M,neuron
98,F,neuron
99,F,neuron
100,F,oligodendrocyte
101,M,oligodendrocyte
102,F,oligodendrocyte
103,M,oligodendrocyte
104,M,oligodendrocyte
105,F,oligodendrocyte
106,M,oligodendrocyte
107,M,oligodendrocyte
108,M,oligodendrocyte
109,M,oligodendrocyte
110,F,oligodendrocyte
111,M,oligodendrocyte
112,F,oligodendrocyte
113,M,oligodendrocyte
114,M,oligodendrocyte
115,M,oligodendrocyte
116,M,oligodendrocyte
117,M,oligodendrocyte
118,M,oligodendrocyte
119,M,oligodendrocyte
120,M,oligodendrocyte
121,M,oligodendrocyte
122,M,oligodendrocyte
123,F,oligodendrocyte
124,M,oligodendrocyte
125,M,oligodendrocyte
126,M,oligodendrocyte
127,M,oligodendrocyte
128,M,oligodendrocyte
129,M,oligodendrocyte
130,F,oligodendrocyte
131,M,oligodendrocyte
132,M,oligodendrocyte
133,M,oligodendrocyte
134,M,oligodendrocyte
135,M,oligodendrocyte
136,M,oligodendrocyte
137,F,oligodendrocyte
138,M,oligodendrocyte
139,M,oligodendrocyte
140,M,oligodendrocyte
141,M,oligodendrocyte
142,M,oligodendrocyte
143,F,oligodendrocyte
144,M,oligodendrocyte
145,M,oligodendrocyte
146,M,oligodendrocyte
147,M,oligodendrocyte
148,M,oligodendrocyte
149,M,oligodendrocyte
150,M,oligodendrocyte
151,M,oligodendrocyte
152,M,oligodendrocyte
153,M,oligodendrocyte
154,M,oligodendrocyte
155,M,oligodendrocyte
156,M,oligodendrocyte
157,M,oligodendrocyte
158,M,oligodendrocyte
159,M,oligodendrocyte
160,M,oligodendrocyte
161,M,oligodendrocyte
162,F,oligodendrocyte
163,M,oligodendrocyte
164,F,oligodendrocyte
165,M,oligodendrocyte
166,M,oligodendrocyte
167,M,oligodendrocyte
168,F,oligodendrocyte
169,M,oligodendrocyte
170,F,oligodendrocyte
171,M,oligodendrocyte
172,F,oligodendrocyte
173,F,oligodendrocyte
174,M,oligodendrocyte
175,M,oligodendrocyte
176,F,oligodendrocyte
177,F,oligodendrocyte
178,M,oligodendrocyte
179,M,oligodendrocyte
180,F,oligodendrocyte
181,M,oligodendrocyte
182,M,oligodendrocyte
183,M,oligodendrocyte
184,M,oligodendrocyte
185,M,oligodendrocyte
186,M,oligodendrocyte
187,F,oligodendrocyte
188,M,oligodendrocyte
189,M,oligodendrocyte
190,M,oligodendrocyte
191,M,oligodendrocyte
192,M,oligodendrocyte
193,M,oligodendrocyte
194,F,oligodendrocyte
195,M,oligodendrocyte
196,M,oligodendrocyte
197,M,oligodendrocyte
198,M,oligodendrocyte
199,M,oligodendrocyte
