,mouse.sex,cell_ontology_class
0,M,astrocyte
1,M,astrocyte
2,M,astrocyte
3,M,astrocyte
4,M,astrocyte
5,M,astrocyte
6,M,astrocyte
7,F,astrocyte
8,M,astrocyte
9,M,astrocyte
10,M,astrocyte
11,M,astrocyte
12,M,astrocyte
13,M,astrocyte
14,M,astrocyte
15,M,astrocyte
16,M,astrocyte
17,F,astrocyte
18,M,astrocyte
19,M,astrocyte
20,M,astrocyte
21,M,astrocyte
22,M,astrocyte
23,M,astrocyte
24,M,astrocyte
25,M,astrocyte
26,F,astrocyte
27,M,astrocyte
28,M,astrocyte
29,M,astrocyte
30,M,astrocyte
31,M,astrocyte
32,M,astrocyte
33,M,astrocyte
34,M,astrocyte
35,M,astrocyte
36,M,astrocyte
37,M,astrocyte
38,M,astrocyte
39,M,astrocyte
40,M,astrocyte
41,M,astrocyte
42,M,astrocyte
43,M,astrocyte
44,F,astrocyte
45,M,astrocyte
46,M,astrocyte
47,M,astrocyte
48,F,astrocyte
49,M,astrocyte
50,F,astrocyte
51,M,astrocyte
52,F,astrocyte
53,M,astrocyte
54,M,astrocyte
55,M,astrocyte
56,M,astrocyte
57,F,astrocyte
58,M,astrocyte
59,M,astrocyte
60,M,astrocyte
61,M,astrocyte
62,M,astrocyte
63,M,astrocyte
64,M,astrocyte
65,M,astrocyte
66,M,astrocyte
67,M,astrocyte
68,M,astrocyte
69,M,astrocyte
70,M,astrocyte
71,M,astrocyte
72,M,astrocyte
73,M,astrocyte
74,M,astrocyte
75,F,astrocyte
76,M,astrocyte
77,F,astrocyte
78,M,astrocyte
79,M,astrocyte
80,M,astrocyte
81,M,astrocyte
82,M,astrocyte
83,M,astrocyte
84,M,astrocyte
85,F,astrocyte
86,M,astrocyte
87,M,astrocyte
88,M,astrocyte
89,M,astrocyte
90,M,astrocyte
91,M,astrocyte
92,M,astrocyte
93,M,astrocyte
94,M,astrocyte
95,M,astrocyte
96,M,astrocyte
97,M,astrocyte
98,M,astrocyte
99,M,astrocyte
100,F,endothelial cell
101,F,endothelial cell
102,M,endothelial cell
103,M,endothelial cell
104,M,endothelial cell
105,F,endothelial cell
106,F,endothelial cell
107,M,endothelial cell
108,M,endothelial cell
109,M,endothelial cell
110,F,endothelial cell
111,F,endothelial cell
112,F,endothelial cell
113,F,endothelial cell
114,F,endothelial cell
115,F,endothelial cell
116,F,endothelial cell
117,M,endothelial cell
118,M,endothelial cell
119,M,endothelial cell
120,F,endothelial cell
121,M,endothelial cell
122,M,endothelial cell
123,M,endothelial cell
124,M,endothelial cell
125,F,endothelial cell
126,F,endothelial cell
127,F,endothelial cell
128,F,endothelial cell
129,M,endothelial cell
130,M,endothelial cell
131,F,endothelial cell
132,M,endothelial cell
133,M,endothelial cell
134,M,endothelial cell
135,F,endothelial cell
136,F,endothelial cell
137,F,endothelial cell
138,F,endothelial cell
139,M,endothelial cell
140,M,endothelial cell
141,M,endothelial cell
142,M,endothelial cell
143,M,endothelial cell
144,M,endothelial cell
145,F,endothelial cell
146,M,endothelial cell
147,F,endothelial cell
148,M,endothelial cell
149,F,endothelial cell
150,F,endothelial cell
151,F,endothelial cell
152,F,endothelial cell
153,F,endothelial cell
154,F,endothelial cell
155,F,endothelial cell
156,M,endothelial cell
157,M,endothelial cell
158,M,endothelial cell
159,M,endothelial cell
160,M,endothelial cell
161,F,endothelial cell
162,F,endothelial cell
163,M,endothelial cell
164,F,endothelial cell
165,M,endothelial cell
166,F,endothelial cell
167,F,endothelial cell
168,M,endothelial cell
169,F,endothelial cell
170,M,endothelial cell
171,F,endothelial cell
172,F,endothelial cell
173,F,endothelial cell
174,M,endothelial cell
175,F,endothelial cell
176,M,endothelial cell
177,M,endothelial cell
178,F,endothelial cell
179,F,endothelial cell
180,F,endothelial cell
181,F,endothelial cell
182,F,endothelial cell
183,M,endothelial cell
184,M,endothelial cell
185,M,endothelial cell
186,M,endothelial cell
187,M,endothelial cell
188,M,endothelial cell
189,M,endothelial cell
190,M,endothelial cell
191,M,endothelial cell
192,M,endothelial cell
193,F,endothelial cell
194,M,endothelial cell
195,M,endothelial cell
196,M,endothelial cell
197,M,endothelial cell
198,M,endothelial cell
199,M,endothelial cell
