,mouse.sex,cell_ontology_class
0,F,endothelial cell
1,F,endothelial cell
2,M,endothelial cell
3,M,endothelial cell
4,M,endothelial cell
5,F,endothelial cell
6,F,endothelial cell
7,M,endothelial cell
8,M,endothelial cell
9,M,endothelial cell
10,F,endothelial cell
11,F,endothelial cell
12,F,endothelial cell
13,F,endothelial cell
14,F,endothelial cell
15,F,endothelial cell
16,F,endothelial cell
17,M,endothelial cell
18,M,endothelial cell
19,M,endothelial cell
20,F,endothelial cell
21,M,endothelial cell
22,M,endothelial cell
23,M,endothelial cell
24,M,endothelial cell
25,F,endothelial cell
26,F,endothelial cell
27,F,endothelial cell
28,F,endothelial cell
29,M,endothelial cell
30,M,endothelial cell
31,F,endothelial cell
32,M,endothelial cell
33,M,endothelial cell
34,M,endothelial cell
35,F,endothelial cell
36,F,endothelial cell
37,F,endothelial cell
38,F,endothelial cell
39,M,endothelial cell
40,M,endothelial cell
41,M,endothelial cell
42,M,endothelial cell
43,M,endothelial cell
44,M,endothelial cell
45,F,endothelial cell
46,M,endothelial cell
47,F,endothelial cell
48,M,endothelial cell
49,F,endothelial cell
50,F,endothelial cell
51,F,endothelial cell
52,F,endothelial cell
53,F,endothelial cell
54,F,endothelial cell
55,F,endothelial cell
56,M,endothelial cell
57,M,endothelial cell
58,M,endothelial cell
59,M,endothelial cell
60,M,endothelial cell
61,F,endothelial cell
62,F,endothelial cell
63,M,endothelial cell
64,F,endothelial cell
65,M,endothelial cell
66,F,endothelial cell
67,F,endothelial cell
68,M,endothelial cell
69,F,endothelial cell
70,M,endothelial cell
71,F,endothelial cell
72,F,endothelial cell
73,F,endothelial cell
74,M,endothelial cell
75,F,endothelial cell
76,M,endothelial cell
77,M,endothelial cell
78,F,endothelial cell
79,F,endothelial cell
80,F,endothelial cell
81,F,endothelial cell
82,F,endothelial cell
83,M,endothelial cell
84,M,endothelial cell
85,M,endothelial cell
86,M,endothelial cell
87,M,endothelial cell
88,M,endothelial cell
89,M,endothelial cell
90,M,endothelial cell
91,M,endothelial cell
92,M,endothelial cell
93,F,endothelial cell
94,M,endothelial cell
95,M,endothelial cell
96,M,endothelial cell
97,M,endothelial cell
98,M,endothelial cell
99,M,endothelial cell
100,M,oligodendrocyte
101,M,oligodendrocyte
102,M,oligodendrocyte
103,M,oligodendrocyte
104,M,oligodendrocyte
105,M,oligodendrocyte
106,M,oligodendrocyte
107,M,oligodendrocyte
108,M,oligodendrocyte
109,M,oligodendrocyte
110,M,oligodendrocyte
111,M,oligodendrocyte
112,M,oligodendrocyte
113,M,oligodendrocyte
114,M,oligodendrocyte
115,M,oligodendrocyte
116,M,oligodendrocyte
117,M,oligodendrocyte
118,F,oligodendrocyte
119,F,oligodendrocyte
120,M,oligodendrocyte
121,M,oligodendrocyte
122,F,oligodendrocyte
123,M,oligodendrocyte
124,M,oligodendrocyte
125,M,oligodendrocyte
126,M,oligodendrocyte
127,M,oligodendrocyte
128,M,oligodendrocyte
129,M,oligodendrocyte
130,M,oligodendrocyte
131,M,oligodendrocyte
132,M,oligodendrocyte
133,M,oligodendrocyte
134,M,oligodendrocyte
135,M,oligodendrocyte
136,F,oligodendrocyte
137,M,oligodendrocyte
138,F,oligodendrocyte
139,M,oligodendrocyte
140,M,oligodendrocyte
141,M,oligodendrocyte
142,M,oligodendrocyte
143,M,oligodendrocyte
144,M,oligodendrocyte
145,M,oligodendrocyte
146,M,oligodendrocyte
147,F,oligodendrocyte
148,M,oligodendrocyte
149,M,oligodendrocyte
150,F,oligodendrocyte
151,M,oligodendrocyte
152,F,oligodendrocyte
153,M,oligodendrocyte
154,M,oligodendrocyte
155,M,oligodendrocyte
156,M,oligodendrocyte
157,F,oligodendrocyte
158,F,oligodendrocyte
159,M,oligodendrocyte
160,F,oligodendrocyte
161,M,oligodendrocyte
162,F,oligodendrocyte
163,M,oligodendrocyte
164,M,oligodendrocyte
165,M,oligodendrocyte
166,M,oligodendrocyte
167,M,oligodendrocyte
168,M,oligodendrocyte
169,M,oligodendrocyte
170,M,oligodendrocyte
171,M,oligodendrocyte
172,M,oligodendrocyte
173,M,oligodendrocyte
174,M,oligodendrocyte
175,M,oligodendrocyte
176,M,oligodendrocyte
177,M,oligodendrocyte
178,M,oligodendrocyte
179,M,oligodendrocyte
180,M,oligodendrocyte
181,F,oligodendrocyte
182,M,oligodendrocyte
183,M,oligodendrocyte
184,M,oligodendrocyte
185,M,oligodendrocyte
186,M,oligodendrocyte
187,M,oligodendrocyte
188,M,oligodendrocyte
189,M,oligodendrocyte
190,M,oligodendrocyte
191,F,oligodendrocyte
192,M,oligodendrocyte
193,M,oligodendrocyte
194,M,oligodendrocyte
195,M,oligodendrocyte
196,M,oligodendrocyte
197,M,oligodendrocyte
198,M,oligodendrocyte
199,M,oligodendrocyte
