,mouse.sex,cell_ontology_class
0,M,endothelial cell
1,M,endothelial cell
2,F,endothelial cell
3,M,endothelial cell
4,F,endothelial cell
5,F,endothelial cell
6,M,endothelial cell
7,F,endothelial cell
8,M,endothelial cell
9,M,endothelial cell
10,M,endothelial cell
11,F,endothelial cell
12,M,endothelial cell
13,M,endothelial cell
14,F,endothelial cell
15,F,endothelial cell
16,F,endothelial cell
17,M,endothelial cell
18,M,endothelial cell
19,M,endothelial cell
20,M,endothelial cell
21,F,endothelial cell
22,M,endothelial cell
23,F,endothelial cell
24,M,endothelial cell
25,F,endothelial cell
26,M,endothelial cell
27,F,endothelial cell
28,M,endothelial cell
29,F,endothelial cell
30,M,endothelial cell
31,F,endothelial cell
32,F,endothelial cell
33,F,endothelial cell
34,F,endothelial cell
35,F,endothelial cell
36,M,endothelial cell
37,F,endothelial cell
38,M,endothelial cell
39,F,endothelial cell
40,M,endothelial cell
41,M,endothelial cell
42,M,endothelial cell
43,M,endothelial cell
44,F,endothelial cell
45,M,endothelial cell
46,M,endothelial cell
47,M,endothelial cell
48,F,endothelial cell
49,M,endothelial cell
50,M,endothelial cell
51,M,endothelial cell
52,F,endothelial cell
53,F,endothelial cell
54,F,endothelial cell
55,M,endothelial cell
56,F,endothelial cell
57,M,endothelial cell
58,M,endothelial cell
59,M,endothelial cell
60,M,endothelial cell
61,F,endothelial cell
62,M,endothelial cell
63,M,endothelial cell
64,M,endothelial cell
65,M,endothelial cell
66,M,endothelial cell
67,M,endothelial cell
68,M,endothelial cell
69,F,endothelial cell
70,F,endothelial cell
71,M,endothelial cell
72,F,endothelial cell
73,M,endothelial cell
74,F,endothelial cell
75,F,endothelial cell
76,F,endothelial cell
77,M,endothelial cell
78,M,endothelial cell
79,F,endothelial cell
80,F,endothelial cell
81,M,endothelial cell
82,M,endothelial cell
83,F,endothelial cell
84,F,endothelial cell
85,M,endothelial cell
86,M,endothelial cell
87,M,endothelial cell
88,F,endothelial cell
89,F,endothelial cell
90,M,endothelial cell
91,M,endothelial cell
92,F,endothelial cell
93,F,endothelial cell
94,F,endothelial cell
95,M,endothelial cell
96,M,endothelial cell
97,F,endothelial cell
98,F,endothelial cell
99,M,endothelial cell
100,M,oligodendrocyte
101,M,oligodendrocyte
102,M,oligodendrocyte
103,M,oligodendrocyte
104,M,oligodendrocyte
105,F,oligodendrocyte
106,F,oligodendrocyte
107,F,oligodendrocyte
108,M,oligodendrocyte
109,F,oligodendrocyte
110,F,oligodendrocyte
111,M,oligodendrocyte
112,M,oligodendrocyte
113,M,oligodendrocyte
114,F,oligodendrocyte
115,M,oligodendrocyte
116,F,oligodendrocyte
117,F,oligodendrocyte
118,M,oligodendrocyte
119,M,oligodendrocyte
120,M,oligodendrocyte
121,M,oligodendrocyte
122,M,oligodendrocyte
123,M,oligodendrocyte
124,F,oligodendrocyte
125,M,oligodendrocyte
126,M,oligodendrocyte
127,M,oligodendrocyte
128,M,oligodendrocyte
129,M,oligodendrocyte
130,M,oligodendrocyte
131,M,oligodendrocyte
132,M,oligodendrocyte
133,M,oligodendrocyte
134,M,oligodendrocyte
135,M,oligodendrocyte
136,F,oligodendrocyte
137,M,oligodendrocyte
138,M,oligodendrocyte
139,M,oligodendrocyte
140,M,oligodendrocyte
141,M,oligodendrocyte
142,M,oligodendrocyte
143,M,oligodendrocyte
144,M,oligodendrocyte
145,M,oligodendrocyte
146,M,oligodendrocyte
147,F,oligodendrocyte
148,M,oligodendrocyte
149,M,oligodendrocyte
150,M,oligodendrocyte
151,M,oligodendrocyte
152,M,oligodendrocyte
153,M,oligodendrocyte
154,M,oligodendrocyte
155,F,oligodendrocyte
156,M,oligodendrocyte
157,M,oligodendrocyte
158,F,oligodendrocyte
159,M,oligodendrocyte
160,M,oligodendrocyte
161,F,oligodendrocyte
162,M,oligodendrocyte
163,M,oligodendrocyte
164,M,oligodendrocyte
165,F,oligodendrocyte
166,M,oligodendrocyte
167,F,oligodendrocyte
168,M,oligodendrocyte
169,M,oligodendrocyte
170,F,oligodendrocyte
171,M,oligodendrocyte
172,M,oligodendrocyte
173,M,oligodendrocyte
174,M,oligodendrocyte
175,M,oligodendrocyte
176,M,oligodendrocyte
177,M,oligodendrocyte
178,M,oligodendrocyte
179,M,oligodendrocyte
180,M,oligodendrocyte
181,F,oligodendrocyte
182,M,oligodendrocyte
183,F,oligodendrocyte
184,F,oligodendrocyte
185,M,oligodendrocyte
186,M,oligodendrocyte
187,M,oligodendrocyte
188,F,oligodendrocyte
189,M,oligodendrocyte
190,M,oligodendrocyte
191,M,oligodendrocyte
192,M,oligodendrocyte
193,M,oligodendrocyte
194,M,oligodendrocyte
195,M,oligodendrocyte
196,M,oligodendrocyte
197,M,oligodendrocyte
198,M,oligodendrocyte
199,M,oligodendrocyte
