,mouse.sex,cell_ontology_class
0,M,endothelial cell
1,F,endothelial cell
2,F,endothelial cell
3,F,endothelial cell
4,F,endothelial cell
5,F,endothelial cell
6,F,endothelial cell
7,M,endothelial cell
8,F,endothelial cell
9,F,endothelial cell
10,M,endothelial cell
11,F,endothelial cell
12,F,endothelial cell
13,F,endothelial cell
14,F,endothelial cell
15,F,endothelial cell
16,F,endothelial cell
17,F,endothelial cell
18,F,endothelial cell
19,F,endothelial cell
20,F,endothelial cell
21,F,endothelial cell
22,F,endothelial cell
23,F,endothelial cell
24,M,endothelial cell
25,F,endothelial cell
26,F,endothelial cell
27,F,endothelial cell
28,F,endothelial cell
29,M,endothelial cell
30,F,endothelial cell
31,F,endothelial cell
32,F,endothelial cell
33,F,endothelial cell
34,F,endothelial cell
35,F,endothelial cell
36,F,endothelial cell
37,F,endothelial cell
38,F,endothelial cell
39,F,endothelial cell
40,F,endothelial cell
41,M,endothelial cell
42,F,endothelial cell
43,F,endothelial cell
44,F,endothelial cell
45,M,endothelial cell
46,F,endothelial cell
47,F,endothelial cell
48,F,endothelial cell
49,F,endothelial cell
50,F,endothelial cell
51,F,endothelial cell
52,F,endothelial cell
53,F,endothelial cell
54,F,endothelial cell
55,F,endothelial cell
56,F,endothelial cell
57,F,endothelial cell
58,M,endothelial cell
59,F,endothelial cell
60,M,endothelial cell
61,F,endothelial cell
62,M,endothelial cell
63,F,endothelial cell
64,F,endothelial cell
65,F,endothelial cell
66,F,endothelial cell
67,F,endothelial cell
68,F,endothelial cell
69,F,endothelial cell
70,F,endothelial cell
71,F,endothelial cell
72,M,endothelial cell
73,F,endothelial cell
74,F,endothelial cell
75,F,endothelial cell
76,M,endothelial cell
77,F,endothelial cell
78,F,endothelial cell
79,F,endothelial cell
80,M,endothelial cell
81,F,endothelial cell
82,F,endothelial cell
83,M,endothelial cell
84,M,endothelial cell
85,M,endothelial cell
86,M,endothelial cell
87,M,endothelial cell
88,M,endothelial cell
89,M,endothelial cell
90,M,endothelial cell
91,M,endothelial cell
92,M,endothelial cell
93,M,endothelial cell
94,M,endothelial cell
95,M,endothelial cell
96,M,endothelial cell
97,M,endothelial cell
98,M,endothelial cell
99,M,endothelial cell
100,M,oligodendrocyte
101,F,oligodendrocyte
102,F,oligodendrocyte
103,M,oligodendrocyte
104,M,oligodendrocyte
105,F,oligodendrocyte
106,M,oligodendrocyte
107,F,oligodendrocyte
108,F,oligodendrocyte
109,M,oligodendrocyte
110,M,oligodendrocyte
111,M,oligodendrocyte
112,M,oligodendrocyte
113,M,oligodendrocyte
114,M,oligodendrocyte
115,F,oligodendrocyte
116,F,oligodendrocyte
117,M,oligodendrocyte
118,M,oligodendrocyte
119,M,oligodendrocyte
120,M,oligodendrocyte
121,M,oligodendrocyte
122,F,oligodendrocyte
123,M,oligodendrocyte
124,M,oligodendrocyte
125,F,oligodendrocyte
126,F,oligodendrocyte
127,M,oligodendrocyte
128,M,oligodendrocyte
129,F,oligodendrocyte
130,M,oligodendrocyte
131,M,oligodendrocyte
132,M,oligodendrocyte
133,M,oligodendrocyte
134,M,oligodendrocyte
135,M,oligodendrocyte
136,M,oligodendrocyte
137,F,oligodendrocyte
138,F,oligodendrocyte
139,F,oligodendrocyte
140,M,oligodendrocyte
141,M,oligodendrocyte
142,M,oligodendrocyte
143,M,oligodendrocyte
144,M,oligodendrocyte
145,M,oligodendrocyte
146,M,oligodendrocyte
147,M,oligodendrocyte
148,F,oligodendrocyte
149,M,oligodendrocyte
150,M,oligodendrocyte
151,M,oligodendrocyte
152,M,oligodendrocyte
153,M,oligodendrocyte
154,M,oligodendrocyte
155,M,oligodendrocyte
156,F,oligodendrocyte
157,M,oligodendrocyte
158,M,oligodendrocyte
159,M,oligodendrocyte
160,M,oligodendrocyte
161,M,oligodendrocyte
162,M,oligodendrocyte
163,M,oligodendrocyte
164,F,oligodendrocyte
165,M,oligodendrocyte
166,M,oligodendrocyte
167,M,oligodendrocyte
168,M,oligodendrocyte
169,M,oligodendrocyte
170,M,oligodendrocyte
171,F,oligodendrocyte
172,M,oligodendrocyte
173,M,oligodendrocyte
174,F,oligodendrocyte
175,F,oligodendrocyte
176,M,oligodendrocyte
177,M,oligodendrocyte
178,M,oligodendrocyte
179,M,oligodendrocyte
180,M,oligodendrocyte
181,F,oligodendrocyte
182,M,oligodendrocyte
183,F,oligodendrocyte
184,M,oligodendrocyte
185,F,oligodendrocyte
186,M,oligodendrocyte
187,M,oligodendrocyte
188,M,oligodendrocyte
189,M,oligodendrocyte
190,M,oligodendrocyte
191,M,oligodendrocyte
192,F,oligodendrocyte
193,M,oligodendrocyte
194,M,oligodendrocyte
195,M,oligodendrocyte
196,M,oligodendrocyte
197,F,oligodendrocyte
198,M,oligodendrocyte
199,M,oligodendrocyte
