,mouse.sex,cell_ontology_class
0,M,neuron
1,M,neuron
2,M,neuron
3,M,neuron
4,M,neuron
5,M,neuron
6,M,neuron
7,M,neuron
8,F,neuron
9,F,neuron
10,M,neuron
11,M,neuron
12,M,neuron
13,M,neuron
14,M,neuron
15,M,neuron
16,F,neuron
17,M,neuron
18,M,neuron
19,F,neuron
20,F,neuron
21,M,neuron
22,M,neuron
23,M,neuron
24,M,neuron
25,M,neuron
26,M,neuron
27,M,neuron
28,M,neuron
29,F,neuron
30,M,neuron
31,M,neuron
32,M,neuron
33,M,neuron
34,M,neuron
35,M,neuron
36,M,neuron
37,M,neuron
38,F,neuron
39,F,neuron
40,M,neuron
41,M,neuron
42,M,neuron
43,M,neuron
44,M,neuron
45,M,neuron
46,M,neuron
47,M,neuron
48,M,neuron
49,M,neuron
50,F,neuron
51,F,neuron
52,M,neuron
53,M,neuron
54,M,neuron
55,M,neuron
56,F,neuron
57,M,neuron
58,M,neuron
59,M,neuron
60,M,neuron
61,M,neuron
62,M,neuron
63,F,neuron
64,M,neuron
65,M,neuron
66,M,neuron
67,M,neuron
68,M,neuron
69,M,neuron
70,M,neuron
71,M,neuron
72,M,neuron
73,M,neuron
74,M,neuron
75,M,neuron
76,M,neuron
77,M,neuron
78,M,neuron
79,M,neuron
80,M,neuron
81,M,neuron
82,M,neuron
83,M,neuron
84,M,neuron
85,M,neuron
86,M,neuron
87,M,neuron
88,M,neuron
89,M,neuron
90,M,neuron
91,M,neuron
92,M,neuron
93,M,neuron
94,M,neuron
95,M,neuron
96,M,neuron
97,M,neuron
98,M,neuron
99,M,neuron
100,M,oligodendrocyte
101,F,oligodendrocyte
102,F,oligodendrocyte
103,M,oligodendrocyte
104,M,oligodendrocyte
105,F,oligodendrocyte
106,M,oligodendrocyte
107,F,oligodendrocyte
108,F,oligodendrocyte
109,M,oligodendrocyte
110,M,oligodendrocyte
111,M,oligodendrocyte
112,M,oligodendrocyte
113,M,oligodendrocyte
114,M,oligodendrocyte
115,F,oligodendrocyte
116,F,oligodendrocyte
117,M,oligodendrocyte
118,M,oligodendrocyte
119,M,oligodendrocyte
120,M,oligodendrocyte
121,M,oligodendrocyte
122,F,oligodendrocyte
123,M,oligodendrocyte
124,M,oligodendrocyte
125,F,oligodendrocyte
126,F,oligodendrocyte
127,M,oligodendrocyte
128,M,oligodendrocyte
129,F,oligodendrocyte
130,M,oligodendrocyte
131,M,oligodendrocyte
132,M,oligodendrocyte
133,M,oligodendrocyte
134,M,oligodendrocyte
135,M,oligodendrocyte
136,M,oligodendrocyte
137,F,oligodendrocyte
138,F,oligodendrocyte
139,F,oligodendrocyte
140,M,oligodendrocyte
141,M,oligodendrocyte
142,M,oligodendrocyte
143,M,oligodendrocyte
144,M,oligodendrocyte
145,M,oligodendrocyte
146,M,oligodendrocyte
147,M,oligodendrocyte
148,F,oligodendrocyte
149,M,oligodendrocyte
150,M,oligodendrocyte
151,M,oligodendrocyte
152,M,oligodendrocyte
153,M,oligodendrocyte
154,M,oligodendrocyte
155,M,oligodendrocyte
156,F,oligodendrocyte
157,M,oligodendrocyte
158,M,oligodendrocyte
159,M,oligodendrocyte
160,M,oligodendrocyte
161,M,oligodendrocyte
162,M,oligodendrocyte
163,M,oligodendrocyte
164,F,oligodendrocyte
165,M,oligodendrocyte
166,M,oligodendrocyte
167,M,oligodendrocyte
168,M,oligodendrocyte
169,M,oligodendrocyte
170,M,oligodendrocyte
171,F,oligodendrocyte
172,M,oligodendrocyte
173,M,oligodendrocyte
174,F,oligodendrocyte
175,F,oligodendrocyte
176,M,oligodendrocyte
177,M,oligodendrocyte
178,M,oligodendrocyte
179,M,oligodendrocyte
180,M,oligodendrocyte
181,F,oligodendrocyte
182,M,oligodendrocyte
183,F,oligodendrocyte
184,M,oligodendrocyte
185,F,oligodendrocyte
186,M,oligodendrocyte
187,M,oligodendrocyte
188,M,oligodendrocyte
189,M,oligodendrocyte
190,M,oligodendrocyte
191,M,oligodendrocyte
192,F,oligodendrocyte
193,M,oligodendrocyte
194,M,oligodendrocyte
195,M,oligodendrocyte
196,M,oligodendrocyte
197,F,oligodendrocyte
198,M,oligodendrocyte
199,M,oligodendrocyte
