,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,1165,3215,1590,2377,1012,3391,2383,3459,2459,1895,156,1461,6480,1052,1701,5147,3562,1810,6548,589,2320,1680,4535,923,1880,1076,2181,2000,3026,1588,3190,2802,3703,855,4501,2171,1348,1445,1077,960,2238,2718,2090,21890,2553,4157,1239,1349,1481,709,1052,1306,3826,932,1621,753,970,1378,1432,1175,1414
1,5988,3332,333,2263,939,5206,603,14311,5741,2917,2373,2648,6367,5696,6000,187,9713,5349,14980,3859,8512,533,8179,4249,2656,2275,2899,5892,5810,5033,2230,5829,1656,5848,25208,9183,3757,2148,3842,5061,3214,4027,910,316502,9502,3652,1947,1158,2443,1014,3793,4784,4117,174,962,4504,1900,5054,4096,88,4671
2,520,863,542,5,74,0,1129,1606,522,1180,570,346,2186,472,169,191,1553,865,2933,786,1662,350,568,235,156,397,346,499,406,746,0,466,272,192,2162,393,253,273,227,305,0,854,333,32490,1147,0,127,539,151,9,0,1347,0,0,1284,448,71,129,138,213,107
3,1049,2638,205,1004,812,1679,340,4869,740,946,442,408,2108,899,92,1813,1384,811,1822,701,1153,540,1881,436,819,449,928,938,482,1186,109,1075,812,933,2293,1176,272,1478,1317,748,451,452,365,16530,1398,942,705,534,877,36,511,602,897,1375,638,419,847,438,379,477,306
4,5996,8024,4174,7850,4310,6779,7275,15832,6978,3667,1399,4479,10454,4585,3216,10537,2437,1873,4912,1226,3958,1007,6920,3733,5016,2695,980,5949,3355,4725,2570,4739,6271,5595,25385,6253,2832,10026,3932,3696,6985,6744,4491,358869,4110,14029,6254,1961,2534,2310,4044,6957,15123,6462,483,2331,2707,3277,5129,2412,3201
5,2729,6721,912,5100,3637,2939,526,5334,2299,1466,760,2079,4644,2075,839,849,2990,2127,4610,969,2490,1833,4435,1301,753,1401,874,3859,2457,2767,847,1522,1527,1438,9022,3564,580,1683,2124,1045,2675,579,1964,287482,4764,2985,2925,1383,1482,655,341,3488,3293,1490,58,699,676,760,2029,129,1238
6,4628,8172,1054,3333,835,4783,698,3470,3396,3717,3958,1785,4191,5803,1432,8091,5621,5180,9674,2023,7124,1309,3736,2252,2590,2152,3785,2789,5898,2146,8401,1664,507,4775,34451,5020,806,6537,3508,1779,3,57,2964,48087,4165,1946,451,212,973,492,1540,13751,3071,14488,2551,1414,803,1131,4062,70,2908
7,6992,12536,946,3861,3406,16998,4003,17050,6600,2650,1374,5763,24498,13272,4237,58,13084,5108,25242,1991,12547,2357,7321,4162,2070,1947,1270,7673,7237,10115,3156,5561,5773,10070,10634,8208,2901,4184,1882,953,3116,4799,2005,193087,8780,6837,3179,6028,3693,1224,6304,4842,5976,617,601,5292,1760,3134,201,9386,2853
8,211,1742,539,1358,433,655,0,309,2375,123,594,67,587,521,29,557,277,679,610,0,350,7,1151,0,14,17,2158,276,1435,951,496,966,1,617,3724,1226,340,1281,519,642,214,1400,1377,35211,1538,0,0,1,558,0,1286,109,2639,35,0,272,956,868,51,326,219
9,1706,2095,1306,1441,1801,3550,1425,4057,1895,2039,428,821,4614,1733,1287,1799,1742,1139,4021,936,1928,1480,2499,1200,641,690,620,1917,1963,1687,528,1734,954,1781,5057,3545,1455,1600,1326,870,886,912,1046,60206,2883,1118,1247,978,800,673,2755,3184,1303,1375,617,755,461,263,463,697,941
10,1635,3557,864,1005,193,2438,1532,4811,2853,2609,79,2166,4852,2649,1442,5016,2211,2390,2817,589,2410,394,3484,930,1477,280,1138,1338,1633,1637,1956,2805,388,1980,6577,3808,1332,1299,1479,1840,799,412,412,22926,4238,1098,383,674,1640,1249,2082,2666,2726,2095,958,1322,749,2055,1091,625,1778
11,4,762,642,696,454,0,337,1728,1290,1464,358,739,4024,235,8,0,2489,2159,4735,678,2386,583,999,579,93,1884,748,1585,1236,2220,231,237,1044,736,9039,797,334,18,1280,8,1124,2,1033,41260,2311,446,82,571,701,0,0,5024,266,0,571,294,170,512,524,571,439
12,1349,2891,49,2027,484,1638,870,3241,1193,1207,1179,666,2461,3331,718,780,1794,1186,3309,331,2838,481,2693,596,569,429,223,817,157,724,39,1546,45,1190,4642,2079,0,604,1736,323,543,130,926,38153,2312,232,528,382,999,456,2603,1794,1309,1606,250,1521,958,474,95,1453,924
13,1344,6711,624,2640,2770,2046,2100,4346,1278,2812,48,4587,8375,1083,2442,1307,3366,2689,4864,1639,2940,1413,2374,1562,965,1823,2485,2784,2095,3130,3188,2061,1755,1652,4794,2527,1524,5051,3996,1081,2950,851,2096,12015,3167,6070,1474,824,1322,383,1819,5255,2154,1961,1594,741,2089,1286,2815,755,1048
14,238,1696,2,195,98,1108,578,2624,1175,507,0,0,3967,45,342,365,4015,3069,4006,819,2352,867,1510,208,56,304,807,921,1165,516,1080,3,187,1089,3128,600,909,3815,59,195,859,710,795,12557,525,0,397,320,843,757,0,778,0,4017,410,392,72,330,473,126,524
15,1024,2788,216,1051,480,1280,1051,2200,1595,1050,61,975,1830,781,682,626,1580,1051,1974,736,1635,1108,1387,246,576,116,543,1395,1053,785,818,731,276,714,10587,1485,575,1380,556,353,594,459,276,155801,661,727,173,664,846,290,1790,1554,1568,1124,495,338,354,392,828,205,1133
16,3509,8258,3022,1470,3000,6690,4017,7853,5386,1458,689,73,9269,2111,3421,996,6188,2166,7136,1225,5175,836,8362,450,2378,1731,2623,3566,5105,4896,714,1606,1816,2787,5724,8558,1535,3446,872,2326,6151,4650,2935,273526,5133,359,1528,1956,4948,2246,0,4507,0,585,369,2002,0,473,1954,1261,1964
17,3259,9304,91,4202,2163,8821,5808,17447,3533,2056,2181,5634,10716,6946,4247,220,10759,4882,15594,2960,10575,3648,10664,7037,4060,3469,2604,4974,2889,5870,690,6598,2395,4107,3540,6522,2609,256,2811,4865,1520,4204,4614,203085,7085,5505,4406,5740,3470,2232,1628,6957,3827,2006,874,3257,2780,4163,4577,1017,2887
18,1808,4328,225,404,219,1195,1238,4770,3363,2782,216,1492,4340,2082,1862,7561,3775,1560,2946,850,2026,942,3124,833,1660,311,1114,2763,4229,2595,2181,2444,442,2264,8916,2955,1000,2688,322,877,234,902,526,99602,3322,723,89,1712,2449,1426,2250,3218,1985,2469,100,753,235,435,123,1426,1387
19,376,1816,0,397,117,883,31,664,2028,282,539,1261,1096,1269,39,390,2149,945,1728,645,2591,1,1150,132,320,0,814,2,1968,1357,445,254,309,695,5741,795,0,1714,477,0,1571,1307,101,110855,718,510,0,0,518,36,1905,1421,1434,283,1035,1093,437,0,0,694,391
20,538,1057,5230,1,3484,6040,353,868,4174,8386,7497,4407,862,6560,108,89,4113,3193,361,0,9541,552,5041,2,4,2550,4222,6863,13048,684,4777,0,0,2048,75794,10156,8836,7574,6245,165,0,0,1,177520,10241,1799,3826,6174,0,268,3799,8490,0,1001,6363,0,3768,5,317,0,3014
21,906,4150,945,713,459,1992,2134,4785,3407,1621,1875,2452,4372,1867,998,879,3735,1118,3821,229,3001,1312,3009,660,535,655,1056,1240,2002,2644,907,2354,1352,2806,3381,2620,851,1000,613,433,224,858,1162,87898,3038,1942,718,1841,1516,492,1556,1160,2086,1783,1506,1545,767,1366,787,1444,1195
22,465,0,230,3,852,731,0,1397,965,315,45,85,1272,418,784,1,180,1353,205,506,713,318,852,6,751,33,0,173,695,0,0,0,0,782,3727,810,1075,1356,34,404,621,0,101,19498,0,47,0,286,18,1109,758,0,29,18,856,464,434,3,292,2,584
23,2964,7186,1373,2718,4126,3885,3413,5856,2891,1130,2579,5107,4919,8179,2101,107,8961,808,13294,2646,5424,923,7834,3586,2517,707,378,6725,2669,4222,153,1354,3097,3798,7030,1798,644,3684,2322,1145,3001,1588,1772,428521,4766,1590,1031,1426,41,0,2724,1427,2261,3634,533,2993,3232,6271,21,1848,1793
24,151,1003,4119,1142,5,1607,129,36,1271,692,582,1552,1511,1702,170,0,1310,2807,2139,778,2203,2,473,10,1465,848,9,17,626,138,1284,982,0,0,12889,1827,1,1822,293,510,1214,0,1,58670,0,622,0,0,576,1,2946,383,1379,1075,3,222,353,219,194,260,705
25,17575,9885,5635,5069,4197,7721,4656,22194,8856,2343,3048,4825,19114,10700,3221,191,6496,2211,12790,3045,6395,2189,17765,2543,3959,1482,2553,7597,9761,3592,1171,6722,3312,6212,36264,11893,3847,9351,7369,3364,1557,4822,2416,677434,13142,12154,4466,7472,5111,1693,6753,3146,9210,1678,1529,3490,2203,4427,4195,2220,5597
26,2817,1,51,9560,2587,4954,230,2843,8510,1411,3013,9368,15032,11342,2469,4281,8130,11855,6870,10996,11213,64,4915,505,3551,1169,3653,4270,3444,8531,11082,4331,3947,0,42306,3094,7022,8748,2784,3364,13730,2180,5654,1323632,11657,5091,12969,29,2369,10109,15670,2289,14034,5673,2831,1723,8675,2124,12813,11,6673
27,1647,4302,0,40,56,2589,1174,1,2963,239,341,144,1724,1532,10,1500,821,1274,1936,1,3684,679,745,1,30,118,258,837,1351,2352,54,0,0,10,8808,1402,924,1851,917,1404,1078,51,736,266609,675,1,197,2434,2407,1446,1607,1176,519,118,0,886,2850,0,96,392,537
