,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
0,1659,6371,0,0,6202,0,0,0,0,0,17,8692,0,6027,0,0,1731,0,2631,50105,0,3203,7502,4097,20454,41000,21090,671,13036,39667,6036,4869,0,0,0,0,949,3689,3091,0,26,14978,71,1,0,0,103,6949,0,0,0,1649,0,0,0,5596,0,0,0,0,1335,0,0,0,31213,0,4789,0,0,5431,0,0,0,0,1515
1,9,0,0,0,0,1,0,0,0,0,426,531,0,1,557,1,0,0,0,12406,617,1835,2413,2400,6714,25255,1263,852,3953,11728,1135,1155,880,1,0,0,593,0,1,0,0,0,91,1,1,0,327,566,0,0,0,48,10,3,0,1778,0,0,1,5,0,1,0,379,24447,0,0,1,0,0,0,3,0,1,0
2,21389,0,22916,18103,9208,202,3281,333,37920,20044,0,18539,1640,25300,1597,14273,8982,19618,2566,19173,12,1967,0,1264,15020,41300,4583,0,10535,22687,3084,778,33030,228,10524,0,52669,6175,2585,999,8583,15738,3395,3129,7455,5111,528,1584,10191,20710,3953,46,75874,6400,8847,0,1948,1292,11595,35419,2103,140298,63830,420,22147,1777,28361,95,3,0,3124,49448,71,20406,11249
3,7,0,0,0,1,2,0,1,2,1,646,0,0,0,1325,0,0,0,0,10658,1250,3258,4726,3472,9551,19778,7634,80,2837,15421,0,2112,6,0,0,1,929,1,1,2,1,1832,0,3,1,0,627,715,0,0,1,5,2,0,0,1760,0,0,0,2,0,0,2,0,28000,0,0,0,0,1867,0,1,0,0,0
4,42,1124,23,7,1804,12,6,17,690,19,1328,1652,23,60,4,9,2,7,7,16952,638,2842,39,1268,16948,38977,5122,0,7711,22537,480,2462,20,5,5,7,667,8,1,5,1,3226,9,2,5,10,9,1327,8,9,6,85,40,12,2,0,7,7,5,151,4,28,17,5,36064,11,9,5,10,1073,4,59,7,10,5
5,5202,3268,21091,2037,8442,1241,2155,3,23773,15754,0,13830,2014,27404,2744,10657,13727,5761,14366,26500,1212,1841,4447,2142,8012,40998,15,0,7040,17274,2387,2355,9211,1615,11928,146,30456,4866,341,14124,9457,14347,4005,5266,7048,4120,2761,0,6520,7100,7914,75718,65155,8030,10937,0,6308,6845,7845,60271,1902,184917,19834,558,244686,2675,33956,1198,1,0,7272,16978,3827,7685,6840
6,22,2956,1,0,861,2,2,2,1,0,2294,737,0,1915,2424,0,0,1,1,19163,0,2533,0,2002,10262,21914,421,0,7475,7490,184,1826,6,0,0,1,7,578,122,1713,2,860,0,1,318,0,817,2942,0,1,1,6,0,0,0,577,0,505,0,1,1453,3,0,0,74297,421,1623,1893,0,0,0,2217,0,341,843
7,13,4,1,0,14,1,0,2,0,0,54,1,0,0,1,0,1,0,0,22696,846,3220,2595,1708,15044,24538,8902,21,4748,14960,1574,2452,4,1,1,0,7,2,1,0,0,0,1,2,3,1,0,1,0,0,0,2,1,0,0,167,0,1,0,2,1914,0,1,0,14853,0,82,0,0,0,0,3,1,0,1
8,1,20,0,0,1,0,0,2,2,0,1072,1184,0,3,0,0,0,0,0,20843,40,4065,1889,2439,16512,31893,2203,0,6615,23288,4798,1902,5,1,0,0,597,1,0,0,0,13,3,1,2,1537,0,2872,0,0,0,3,1,0,1,46,0,1437,0,1,0,0,0,121,46046,0,1,0,0,2300,0,0,0,1,575
9,3723,57,11927,1091,756,3226,206,1749,5915,1333,0,3507,1800,11827,331,3763,3268,1551,4837,1767,353,219,241,252,1092,3776,0,104,926,1843,50,127,3868,6126,2643,3458,9561,747,528,4410,3899,2877,2844,7202,3453,2221,290,0,3060,13505,5265,4673,18831,3627,1551,263,2179,2075,1693,38061,2466,25821,6112,2597,115320,2097,5425,2624,2505,0,3049,17535,323,12432,1053
10,2,5159,0,0,1235,0,0,0,0,0,8688,1791,0,272,4617,0,0,0,2849,10754,2061,2554,8023,2713,13974,29472,23,0,7140,35031,2147,5036,1,0,0,2,4435,1970,2159,0,47,3919,0,326,2,1,1588,92,1,0,0,546,5622,0,0,557,0,113,0,0,0,0,0,0,20594,0,0,0,0,0,0,0,0,0,1936
11,35981,0,36941,15737,1,16332,2955,7538,41418,10655,0,12698,19287,64350,3072,6030,7879,13018,13576,8164,300,1043,0,535,3112,7910,728,394,3540,6842,775,255,9128,17045,7825,8705,59166,2478,10234,14686,11317,6734,12066,11598,6980,16935,4988,0,13232,32101,27418,37351,53283,12562,20083,1,3449,3641,9228,303182,6116,18950,15706,12693,894459,9770,11141,11310,13626,0,17145,103997,6116,17528,6889
12,38068,0,22103,18760,26408,2550,12399,1776,77254,24904,2,13473,2718,19418,4600,21536,13714,10618,23635,21747,1,1473,1,954,11584,19919,1,123,6008,16064,693,3392,14141,3673,17802,55632,85920,3873,2529,24994,18720,14989,7265,6536,5942,5355,2605,0,8364,16257,18904,98516,31343,3339,11391,0,1232,10129,9089,106341,294,133636,50413,6541,326836,745,26580,14014,175,0,3704,46224,3828,21837,5402
13,47,0,0,0,5139,2,0,3,2,24,2709,14,1,2,2,0,0,0,0,15917,969,4537,1,5442,19643,40780,3781,0,13174,21070,3944,70,15,0,0,4,796,3,2,0,1,197,1,4,3,3,24,5740,90,0,0,10,0,0,0,65,0,0,0,1,1,0,0,3,46954,23,1,0,3,1434,0,0,0,0,0
14,2,0,0,1,1240,1,0,0,0,0,2508,156,0,0,137,0,0,0,0,6657,0,720,3,558,3632,11794,4542,468,550,5137,311,1018,75,0,0,1,1120,0,0,0,0,852,0,108,0,581,286,383,40,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,21594,0,0,0,0,819,0,0,0,1,1
15,19796,1626,26734,3101,8400,5985,659,5144,15543,5830,0,9934,2308,35663,1257,4550,4683,5339,2727,6505,2,315,875,933,2438,7097,983,0,1119,3395,2273,656,5074,2633,4718,1055,16512,2011,1047,10372,7398,8626,4662,2141,5406,3411,3548,0,4261,12112,6412,12540,35799,7895,7818,15,2540,4583,5391,123165,3361,66861,20413,2286,332998,4534,9195,3262,2569,0,6648,50544,5728,40246,2669
