,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
0,1707,558,274,1699,398,5161,683,13198,1822,1115,494,1437,308,975,3573,7213,1282,909,5729,1183,1860,1455,3075,400,1406,274,1168,1038,994,3211,401,2704,1482,998,1508,168,1076,651,3087,824,23,1440,1090,46384,3622,522,319,1,832,534,408,792,1598,0,2826,1245,1108,1050,1249,1253,618,209043,807,585,1175,343,591,4650,3328,895,841,3718,109,2507,1077,290
1,2,38,152,335,0,1697,42,15276,1284,74,3,523,0,488,1386,4932,1343,423,9426,17,5107,2794,11183,2445,8341,291,942,38,272,2835,1,495,3086,1362,825,88,34,0,122,87,373,14,265,30908,850,379,83,1148,265,555,715,913,83,0,3676,11,3065,502,1646,2110,914,518128,2693,612,774,244,336,5812,2698,0,406,2312,212,1649,815,0
2,1019,231,970,656,1748,6988,295,12974,1582,434,1325,838,854,2523,2744,5348,2164,433,4762,519,1184,738,1919,101,1507,218,586,348,1558,1364,1030,846,621,414,2901,1958,301,318,755,662,586,1778,477,17104,7306,770,339,797,606,871,1274,1535,1098,3,3674,1216,2268,753,1174,356,189,106329,507,255,859,364,678,2361,962,705,796,2131,435,1384,313,772
3,2414,1405,1048,1672,1933,16768,1127,48044,4044,2191,3389,1772,913,4085,8236,32534,11184,3018,15783,2401,1959,838,2004,506,2092,1654,2278,1734,5754,5454,2099,6918,4980,3747,8579,4254,927,809,2812,998,2518,3699,1173,9106,12370,1610,1778,2997,1629,9976,3636,3281,3789,78,5461,3201,5265,4851,1748,941,1285,178621,1290,1137,3420,1635,1481,7546,4990,1096,705,12465,2354,4958,2810,627
4,2948,751,2939,732,3148,25678,957,35769,4191,3160,1556,3424,1682,4473,6780,22433,11910,2028,16515,2257,3742,1255,4520,742,2862,814,2144,2010,7061,2797,628,5194,1951,1436,4935,3896,1318,969,2730,2029,2884,2204,632,9739,11366,977,310,5448,1083,6321,3917,4176,3695,0,6329,5978,4130,3726,1238,1932,1180,161421,2100,1252,971,2885,3586,7918,3697,1958,1442,20084,1143,3757,634,2282
5,47,106,12,1975,2125,18316,10,32761,6625,2229,5598,2734,1868,2665,3081,21170,23390,1411,13849,2,9776,4716,9512,3391,11770,1710,6,890,6759,6,6,10653,1278,9127,248,2850,494,32,913,894,3334,798,2316,726,5560,993,1607,5,929,9885,636,1756,908,1,2857,2225,4827,4139,421,5665,17,461455,4656,5098,1598,13,967,17062,791,801,3742,4163,457,5747,2098,3
6,1991,364,561,430,1034,8630,197,12525,2711,259,1627,1236,563,228,4719,6081,2126,1098,4378,303,1173,1060,2386,435,1344,627,1633,501,1741,1388,409,1204,542,634,5588,1127,730,217,3638,302,103,1228,635,31734,6673,486,241,702,569,388,219,1479,1802,2,3491,2641,1283,1012,201,967,150,90145,1120,410,1162,488,1608,5228,1343,582,703,2603,243,2052,459,757
7,264,6,57,94,111,1755,0,4150,168,15,139,48,240,341,531,1808,1058,53,1962,154,429,539,824,218,430,658,41,197,346,278,0,384,104,422,174,269,208,110,121,260,22,396,0,6,490,13,244,414,387,1121,289,707,155,0,292,497,272,175,147,1,37,1609,59,5,122,331,175,330,391,89,4,560,520,72,5,161
8,2498,1482,868,2320,1700,7834,1103,24850,4305,1882,2,2761,1699,1644,4822,12038,6627,1447,5971,115,1454,1331,3205,1476,2437,371,4206,1968,2135,1860,0,2266,1505,916,7211,2203,1409,1028,1995,187,1701,855,2513,21650,4591,15,679,1095,1145,839,2515,2528,820,4,3403,2249,1310,3625,520,515,317,23725,921,538,565,1388,1561,4456,4501,1105,1759,4334,754,2455,944,1026
9,1049,287,1212,1431,784,9626,92,13920,1923,748,1451,1242,1213,1119,5530,9781,3044,888,6710,123,789,977,2433,826,1414,2,83,924,1199,455,1314,5076,2103,1149,800,1671,1165,1391,428,808,497,1494,1208,139,2211,582,593,519,1172,1472,785,1820,1541,8,1120,1920,1436,1780,303,1901,221,113434,235,694,1224,682,509,8759,1558,296,906,5046,378,1853,1001,526
10,34,231,0,187,0,1097,140,4395,742,29,5,678,99,187,625,1318,200,215,1549,312,994,725,945,366,819,111,770,209,321,164,16,354,225,10,269,479,40,127,132,697,21,89,60,11926,731,104,124,91,343,38,430,283,3,2,1008,433,399,362,295,149,105,23178,188,87,196,169,235,1269,392,91,22,688,0,218,91,3
11,823,212,47,602,486,15010,985,22768,1632,248,2133,611,916,457,3128,6782,2018,1041,6329,371,3545,2791,5884,2013,2670,815,452,1928,1552,406,639,1276,597,1260,1190,1474,172,343,275,1090,123,1875,940,3,1178,1166,875,297,1956,3450,844,1121,795,1168,1793,2237,408,629,919,699,263,117407,29,1402,82,83,515,4455,1141,1172,317,5684,804,2056,524,698
