,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
0,6,0,231,1224,382,166,234,645,98,284,374,1216,3017,191,174,533,169,358,599,2570,320,252,0,0,785,922,797,1551,261,740,583,191,962,233,263,241,178,139,197,917,73,1058,329,388,193,49,297,2582,682,173,385,173,431,2,78,933,2020,278,1542,453,485,261,264,2418,373,325,33908,567,198,2363,539,189,696,382,546,1348,564,472,394,162,761,1471,663,117,355,884,334
1,47,840,25,903,390,393,4,187,36,267,94,128,3689,78,456,167,44,64,175,783,262,144,165,257,797,421,493,1744,118,743,209,37,394,52,193,1022,521,238,256,511,124,172,18,51,121,404,475,744,315,120,155,119,240,1,165,845,564,109,2238,518,194,93,102,1360,80,74,16575,79,91,317,130,57,181,8,11,347,75,117,170,366,464,822,43,64,182,135,338
2,1195,11,630,2550,123,610,659,36,1102,409,905,1276,7898,270,1391,2032,392,160,0,3394,940,1085,987,215,195,1627,946,2820,764,1470,1589,477,812,822,3185,3,1154,831,545,1882,774,941,0,393,400,346,803,3365,2042,5,219,72,683,811,1068,3801,5042,1572,10268,860,688,677,55,7432,1493,52,184361,3628,1227,3135,803,1076,712,2012,1328,1585,1723,2619,1041,538,2043,1194,308,1315,568,1002,320
3,679,628,4398,14056,3644,492,459,3897,2219,706,1629,597,13051,38,1746,5856,3638,1525,583,11156,2343,914,2865,1573,13096,2077,555,3700,635,1446,1866,1944,3957,1064,3558,6075,1038,1990,544,2775,2141,1774,531,2547,1220,1084,837,9402,1125,8900,1251,1389,1251,2938,982,4665,7423,1157,6701,1394,4117,1799,604,10956,2481,246,643123,2786,2820,13545,1428,3517,2981,2796,2017,8307,2215,1150,2234,871,1898,1337,2780,1291,1479,4121,1680
4,428,0,421,5193,2372,806,190,2041,580,1442,1214,632,9037,2242,980,3721,1461,1695,720,8981,921,774,944,0,1665,1590,744,1938,562,1740,1469,293,3870,871,2235,165,1044,1652,698,1093,527,1494,761,1335,533,754,920,5892,2018,2672,0,317,168,39,639,4034,5067,973,7899,1205,1444,1232,42,8307,518,257,106611,1175,1967,7182,741,2243,1746,637,1106,3625,917,1200,481,702,1379,3719,2213,450,1171,1484,3030
5,183,0,11,543,97,103,133,231,3,288,43,191,2234,2,158,429,96,0,195,631,235,47,84,0,882,479,513,1083,168,877,145,36,110,139,114,107,133,109,279,179,139,178,52,64,72,189,277,655,245,459,44,74,116,1,44,443,1012,67,1598,178,123,43,61,1039,13,161,18014,100,7,166,134,29,225,1,3,251,133,88,86,171,226,464,78,59,179,114,263
6,109,0,25,414,118,96,162,57,132,139,135,272,1626,28,221,373,32,80,21,525,136,65,129,22,103,355,314,628,80,425,241,102,141,49,138,0,141,151,254,101,39,140,1,94,74,157,158,591,238,34,8,43,14,2,119,565,798,240,1047,93,136,110,4,670,80,333,19243,151,69,157,68,9,124,48,51,439,208,129,57,130,429,548,24,336,90,158,275
7,93,0,220,1457,88,197,1,537,447,283,623,224,4603,195,314,791,679,834,17,2712,716,451,0,0,1192,660,619,1511,255,731,941,126,768,617,506,3757,351,1311,372,970,231,383,257,577,210,36,494,2237,464,1111,226,177,75,98,738,1364,856,394,1828,282,547,927,154,2771,127,273,48121,976,270,2390,342,1141,691,142,153,2446,288,261,142,471,1214,1277,470,377,32,1249,727
8,73,0,2111,7400,1609,143,2,2259,642,128,40,1267,4376,135,420,1980,1163,1728,307,6770,1125,574,926,3861,2952,3695,1266,5188,848,3301,1757,945,1221,345,3126,1391,387,2522,672,3473,910,1778,9224,2367,1491,373,2705,4786,1397,10629,2034,1327,456,1464,346,1110,3362,1694,3718,492,987,1595,0,7289,1816,0,542072,1495,1215,8447,3081,0,720,2287,1238,5673,2817,1574,1303,628,1748,3981,0,1627,266,4747,463
9,847,1533,3409,6239,2586,614,2594,2129,2912,512,1377,777,15456,1266,1886,2492,2011,606,2213,11129,1906,897,4819,2152,4481,2002,1399,1952,661,1127,4130,2282,1783,190,4388,8560,1019,3171,1347,2839,1129,4851,3671,2827,3187,766,2790,12036,1773,7158,1926,1372,1066,4644,1150,4343,8331,2872,9070,2359,1972,1874,3713,14513,2398,224,575357,7196,1723,15474,2294,827,1887,1440,3061,5580,6876,1609,1762,871,3341,6317,2645,1692,474,4911,2157
