,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
0,16010,2658,18815,2312,6229,2095,4891,743,3977,12126,6028,3100,7652,5070,21388,4821,4045,6916,4419,8816,3651,7086,937,4741,4915,2792,1789,3551,21142,3819,5651,2333,1905,524,1003,2147,2992,5765,5771,1488,3240,4786,3,2829,12846,8518,9865,3463,27022,6621,6002,2079,3246,2588,2123,4525,1528,90388,3153,1187,42732,12249,1294,196795,1468,3230,455,10726,2306,4869,2854,4041,2437,3882,1825,3520,29652,513,5621,13507,1874,2630
1,4,468,136,0,19578,0,0,0,0,0,0,0,682,0,1,302,60,166,0,9701,5113,13684,2352,8313,1620,0,0,609,5240,429,813,1584,1732,0,0,0,0,0,431,0,2037,0,0,0,0,330,558,899,5640,2712,0,0,0,0,0,1461,0,1806,1028,0,1,2442,465,220816,822,213,1066,207,714,0,0,0,0,0,221,0,0,2,0,0,0,0
2,8663,853,14252,1696,963,8717,2187,1360,1234,4855,5142,761,4552,7780,21172,1801,3889,1358,68,1846,808,4213,915,1310,1613,5160,235,2185,8841,1344,3643,6782,2863,6238,2038,2380,1517,3298,3581,3385,3045,3912,872,3744,5170,5771,8920,3285,15213,5659,3185,381,939,3564,1079,3767,2487,67140,2640,1986,11726,7289,483,643700,1655,3928,2307,9229,1097,1854,3732,2115,5899,5322,2260,1980,28291,2306,729,12789,4119,1846
3,8054,2395,6766,371,4451,1745,1290,439,1485,6638,1461,785,4406,1720,9955,2786,2576,1753,1802,2895,534,5509,1233,3089,1562,248,818,1252,7739,338,2541,3325,1415,146,611,788,867,1910,1626,1430,1456,784,421,1087,3234,5281,10177,751,19269,2078,2539,1149,1161,202,400,910,1965,28459,910,730,7463,7015,609,169569,161,1795,1078,4079,940,1667,111,1718,1861,1645,708,736,14716,623,2676,9687,927,1253
4,3610,1213,10410,2845,1402,3178,191,504,959,5476,3551,1421,2275,3178,12108,2645,682,2322,2882,3137,1896,4819,548,1718,3270,2396,2073,2386,8846,854,3544,2221,5223,338,2158,1137,2431,2433,1069,3361,845,1730,1419,1050,3388,3089,3070,1170,13219,2351,649,852,690,958,546,1132,1033,43117,319,225,6737,4655,2109,94701,1617,1912,2013,2691,1867,5075,2780,1127,632,3158,714,1827,19329,743,1454,7194,1083,955
5,8216,2695,16510,1698,10318,13457,5941,3890,4072,17387,4567,1464,5267,2270,14404,2059,3779,3540,172,6397,1772,13996,1201,4006,5617,11964,2458,2931,8512,1369,8022,5742,1478,3236,8,1364,2641,2293,2598,1399,2003,2939,1826,3002,16421,7809,21977,3332,19530,3054,3282,877,235,7151,1433,1388,4137,81921,3016,1943,24987,11062,2743,583821,5561,3211,1,9589,2228,9350,1386,1620,2348,8250,1295,1662,26508,1989,3704,24729,2011,2814
6,2190,1256,3486,308,581,720,660,951,503,3613,1584,480,1618,561,3528,786,552,814,308,391,290,771,407,512,895,405,305,652,2238,639,1014,1036,596,134,619,302,394,586,393,550,456,477,507,622,2290,1674,3041,300,3371,1451,1734,159,433,487,116,318,845,10120,261,546,8455,2153,494,70275,281,862,0,1915,609,490,41,564,279,1235,271,827,6949,284,1227,4801,212,473
7,13810,4318,22948,3563,2138,7029,2566,2326,2690,14498,7775,2141,4879,5499,28596,3137,3550,4156,4866,1233,422,2433,660,1218,4203,5093,2537,3541,16709,2672,6750,4539,4777,2263,4339,3090,3628,8599,6140,2377,4308,5225,1700,2281,11992,9873,6639,2379,23309,7399,5713,1734,1725,1865,1815,3504,2681,74379,2739,3349,24707,8806,2982,235660,3482,3510,1160,7514,4557,9911,2477,2175,2403,4311,1678,1728,44123,2576,4581,27832,4640,3535
8,3365,692,5561,404,8401,2431,955,598,1086,2324,3171,716,1819,1510,7733,934,2389,717,802,994,1186,1951,437,953,1886,1973,424,1077,1981,848,2125,5033,673,917,1399,1186,758,975,766,1681,1244,1249,588,723,2973,2061,8268,734,6175,1419,1860,389,723,481,266,991,1751,18219,1121,746,23597,5533,1696,120607,992,749,0,4091,1447,2048,574,516,387,2092,854,483,5435,1346,226,2311,599,1149
9,890,80,0,0,1,63,2,599,0,0,13,0,0,0,0,112,0,385,171,8960,2861,9795,1004,3630,1102,0,0,0,234,299,0,0,0,0,180,1,476,1062,2,0,540,66,0,0,0,0,5580,0,0,0,0,0,0,0,0,0,0,0,345,0,0,0,18,873663,1,6,15,0,601,0,0,0,16,1,1,0,0,0,236,32,0,307
