,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
0,4484,803,161,210,529,501,564,1120,0,0,288,5348,165,406,0,42,0,375,2788,0,372,67,194,1,194,5014,2669,4161,1256,4833,1036,5,676,211,1222,781,851,710,0,1092,568,6,640,971,248,88,472,268,241,0,1577,3496,1195,231,553,471,611,645,570,3085,3756,1967,7877,268,2098,4,666,0,15,3385,94026,1647,84,880,578,489,2,305,61,259,822,855,1103,534,171,0,285,1072,94,917,62,0,12,647,562,375
1,2665,104,0,134,983,41,16,793,340,80,846,5524,271,704,963,3,0,1124,2350,208,1852,817,0,0,1080,1450,811,726,742,1504,55,151,495,64,701,1951,505,183,0,341,1256,242,371,1074,200,894,1346,170,222,140,387,2063,473,2984,327,73,513,256,289,2415,994,234,5193,300,2681,0,728,218,443,3120,50665,127,86,542,242,3,399,6,311,127,554,313,41,409,238,0,450,1047,27,537,107,576,209,473,699,488
2,4050,3089,810,0,3099,1113,165,1547,2,600,6166,21962,919,4378,495,114,3072,2024,10720,442,5004,2182,628,0,6545,7291,5814,9734,4938,8539,7076,1286,4730,560,2587,2779,1006,2890,3655,878,4412,968,678,2361,543,3015,3798,6192,955,3084,2590,8336,3833,1018,1638,1633,679,714,1647,8220,10787,2970,6508,2799,3554,1149,1616,1175,2066,8397,125653,2452,599,4011,569,835,2839,1215,1402,5050,340,389,677,590,929,3182,700,5211,1624,10391,1202,2638,5397,2056,4237,5262
3,6304,171,756,205,1038,2400,345,534,3685,586,1958,3734,875,84,0,90,0,1246,1247,504,3,620,0,266,2661,1272,1044,2348,518,1949,2033,141,1040,311,827,14220,7404,849,217,393,3322,2919,1956,1345,342,760,1308,426,483,1322,1274,1412,1082,3094,1528,626,1634,650,325,3197,5597,1025,13080,669,9684,134,443,1791,2287,3832,129407,760,303,204,320,30,0,37,59,861,6,130,0,120,6,1799,0,2561,749,2202,362,189,147,898,89,0
4,12743,3635,2534,1406,7922,4441,2431,902,0,2551,5928,37071,3411,6258,0,2309,5181,2970,19127,2580,3665,1000,3415,1284,13495,4184,2677,5488,495,2966,2133,1723,3477,1360,3616,1199,1887,2679,4092,1988,7997,3089,1677,6459,783,2972,2594,3245,1256,1944,5484,11314,5159,1854,416,1628,2394,1228,2034,11997,17308,2469,15229,2862,7292,2447,2761,876,3719,9660,342753,7798,753,16649,999,3148,6809,1216,2578,4390,1940,1637,1942,1632,2429,5522,1919,8085,2193,17353,2492,2426,1966,1713,7910,3041
5,6849,3183,1256,46,374,0,1291,2870,3380,1530,3947,18558,3164,2172,4833,1372,797,473,8014,348,1925,1927,0,0,18481,7290,4559,6639,1726,5576,1751,980,1528,2730,1760,3865,1018,3569,274,438,7013,3766,649,3322,5984,1938,846,2507,2163,2108,2231,12754,2905,13723,6120,2002,1998,1505,33,2744,3144,790,12898,1470,5683,251,2451,1768,298,8920,243043,653,0,7080,2700,1070,1460,926,555,5249,2733,453,0,6,1788,1706,1233,6041,428,1766,875,1745,685,1373,5859,2769
6,4302,2138,424,2071,780,0,524,1256,0,476,440,9699,4,936,2392,1630,673,16,6752,1223,1923,1411,317,0,868,2900,3222,4627,538,1982,1207,1157,269,998,773,4,340,431,336,681,772,1515,112,541,0,930,668,903,238,153,831,6773,1745,2,0,688,391,0,1303,4002,6210,653,1859,317,792,1,1724,1391,81,7817,43613,2220,372,4320,1756,506,1061,3455,2717,2991,233,776,13,864,3,0,2980,1612,564,977,1859,497,762,334,337,307
7,8234,2763,589,1154,1842,399,570,801,2436,2820,3166,16811,1715,2700,6208,624,1178,1706,16729,1762,1937,2526,1170,1459,7229,2179,1432,2944,535,2023,2936,620,3052,3407,2411,5229,1166,2036,294,1688,6278,4196,2235,2815,2907,2376,1716,2343,2036,2372,1662,9749,3969,8818,2812,1542,1033,1169,1557,6872,8955,1887,15585,978,3197,3,2270,1769,1255,10864,206394,4140,877,2282,1469,753,2549,529,890,3927,4000,1975,935,867,1405,0,934,7158,880,5378,1901,1215,1544,1851,3844,720
8,5565,1316,422,444,501,0,1716,408,1402,183,330,5883,781,928,1648,292,1036,67,5447,26,686,708,1193,2322,11813,3236,2828,6045,1241,4589,2197,830,1332,698,1159,9700,351,2336,1017,319,1162,1111,1069,2585,77,1478,1854,1884,179,166,141,2860,837,1865,1399,252,0,0,448,749,1687,194,7193,575,6188,7615,86,590,1705,3735,151098,1411,738,2183,1236,1249,561,1421,947,1600,2168,743,722,1169,701,1,83,1397,1,2341,582,0,981,580,1628,638
9,9573,1245,456,535,1044,434,658,611,1554,728,577,8002,282,850,1002,100,542,2026,6349,98,1864,532,371,1033,4718,1198,929,2645,366,872,1491,430,305,1228,1488,11406,990,861,14,1525,7,126,827,1344,768,2556,431,792,640,288,577,2252,1191,6063,985,695,403,202,192,1688,5243,586,5010,252,2158,219,1529,1145,643,6430,107635,807,689,4798,917,109,617,490,372,2366,1494,1012,794,581,497,100,817,1153,318,2343,1125,251,947,838,1138,508
10,1555,1278,975,819,1137,1336,1322,424,0,1648,1000,18613,40,2505,0,2227,2438,229,8670,866,2143,1346,5247,0,585,5204,3151,7049,1340,5011,2112,1372,658,560,3037,2,793,2162,2886,632,3044,0,1750,1965,0,1188,393,1314,197,1445,785,12816,1865,266,1,348,0,358,2350,1811,10085,2437,3756,654,1278,0,699,821,2530,7455,72606,1909,0,6529,1611,1387,4226,1628,1960,2236,2102,197,3475,2887,1149,413,2302,2025,1562,7563,1250,2386,578,563,3207,309
