,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
0,49994,4482,4501,73307,13674,22327,29610,7194,4380,3940,45358,10083,25127,14730,63605,10124,17478,20655,8232,9852,4969,10850,5258,5022,10080,10247,21585,6319,16975,65302,9593,26674,33511,13515,12167,11108,2549,15434,14390,8114,5251,19144,13484,7251,8828,71575,8095,75234,2384,58379,13638,17115,11164,1432,8039,8931,182356,9334,8573,12658,29795,9318,1087744,11209,9781,31342,8787,2777,3611,16406,5986,13979,4250,10571,4788,463843,5407,25438,110311,17090,8528
1,11984,466,2333,21004,5243,3841,5910,471,2647,5193,10457,2905,3389,3003,17933,1793,1726,3342,2451,2847,1463,1712,308,641,2403,5597,10211,935,4206,11658,725,6371,4381,4393,2029,4999,721,3319,2491,2924,600,2948,4692,1063,545,12156,5501,14416,1531,25809,4429,5232,2572,1968,4745,2850,79044,3012,53,17783,11224,1078,284971,1387,4324,7178,2337,4634,1515,2366,1678,5501,1300,1655,2574,26294,1361,2829,10252,3205,2038
2,43409,6014,3143,30223,4531,28446,12385,6399,4740,3452,5388,11454,16165,16619,34117,3659,8532,7524,5921,5930,3796,6637,934,4815,4051,8716,8599,1021,6874,23723,5005,12320,3829,7711,7596,15652,9275,4174,5437,4846,5722,7622,6622,4994,5472,19224,11181,23519,6315,22864,9858,4863,6847,3373,1547,2592,109243,3519,2372,44470,11984,2466,289806,4393,10758,23561,4392,4070,2378,11359,5787,7699,3993,1147,3117,45861,2663,4982,31711,11989,7605
3,11567,1916,1374,11379,520,29,3206,897,1833,2578,1101,14453,8804,10787,33298,2624,2701,2033,2446,2813,1131,3425,569,363,1720,2811,6441,1594,1889,13130,1886,932,472,2774,3003,5077,3233,3915,4149,4162,1,2261,4721,4330,5478,15610,18123,40325,1482,31835,9612,8981,4150,3142,3473,4634,127795,3156,1060,22610,7398,2843,336649,847,1148,8345,2825,501,2984,3629,3035,6124,1933,1621,3643,20712,3973,1903,8720,2246,3515
4,1801,132,192,3726,2095,42,626,401,370,664,2195,855,329,1215,3642,462,586,1289,1649,347,399,644,71,171,254,666,1235,347,1087,5506,494,978,886,816,259,907,261,717,854,628,0,738,752,446,133,2151,644,2808,261,4277,1497,1209,396,34,573,329,16415,270,561,60,1545,819,81254,329,610,1113,845,322,332,459,380,547,459,245,875,10384,51,1217,2772,299,489
5,352,0,329,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,4924,3463,5709,644,859,4595,332,0,0,0,1,0,0,298,0,0,65,83,0,1,25,0,706,1,0,0,0,0,227,1,0,0,0,0,0,0,0,0,0,0,2,0,0,86211,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1268,1,1,0,0,7414,0,0,3,0,0,1,0,0,0,0,0,0,2,33775,20748,33267,0,3128,25544,7,0,0,0,8147,1146,0,1163,4110,0,14,0,1,0,0,0,2,2,0,0,2436,0,3,0,23309,968,0,0,0,0,0,258,1,0,0,0,0,96123,0,239,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
7,7558,0,307,0,0,0,0,300,488,264,0,0,0,0,679,0,0,0,0,4984,3730,9915,1098,1356,2552,7209,0,0,0,1502,756,0,0,0,0,0,0,318,1648,1247,0,2109,0,0,0,0,0,6506,0,276,0,0,0,0,0,0,0,0,0,0,0,0,306823,49,0,0,295,0,0,0,0,0,371,0,0,1,0,354,0,0,1
8,2932,0,0,0,0,6035,0,0,2997,116,0,0,1296,0,0,0,0,0,0,6064,3323,11355,0,2536,6639,6,0,0,0,1115,727,0,1726,608,0,0,1,460,455,16,0,0,737,0,0,0,0,0,0,1021,178,0,0,0,3311,0,2,530,0,3,0,1,47557,0,0,0,0,0,0,0,0,1,0,0,0,1,0,655,0,0,0
9,8274,0,0,0,0,2,0,10,1614,405,0,1,0,0,465,0,0,0,0,5733,4000,5189,196,634,5592,6595,0,1,0,919,720,1,1,0,0,0,0,338,1234,720,0,1199,0,0,0,0,0,6363,0,0,17,0,0,0,0,0,44,0,0,0,1,0,150106,265,0,0,249,0,0,0,0,148,0,0,0,0,0,42,1,0,181
