,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
0,378,2304,2439,459,337,473,349,164,692,1364,4860,312,787,463,446,1014,729,2164,694,1015,317,11,598,2497,436,57,26,235,751,157,587,1969,187,227,234,164,1315,271,306,5624,1695,1057,894,289,2019,730,589,1199,83,481,262,178,844,2155,3088,745,656,472,1334,416,5857,6129,753,2476,461,471,361,2229,850,1624,85,4125,202,63313,330,3313,207,515,866,184,73,1305,210,288,48,455,307,651,315,277,1301,546,1419,199,943,398,845,808
1,477,1972,1249,764,822,1,596,2,730,716,2663,235,1135,128,220,426,2143,6368,243,167,245,123,788,5245,2845,695,738,1870,4037,854,2986,1102,330,323,2,218,1482,238,98,2614,279,182,19,875,1138,295,765,1078,950,300,359,488,513,566,2347,662,2151,949,1,554,1278,4572,448,4785,441,317,210,1369,867,368,280,4011,1014,67367,579,728,0,712,1571,84,12,1046,419,443,100,339,27,0,279,618,874,0,1005,421,625,531,94,677
2,208,3227,2419,55,0,2,2076,9,12,1284,2947,263,999,0,287,0,318,840,14,294,330,453,383,720,2884,551,702,4010,4957,1298,3873,2329,782,754,0,10,1224,390,159,4891,816,2316,98,214,1612,1,1068,1590,122,130,782,260,116,719,1098,1264,568,1504,901,589,1288,3224,344,4848,310,490,470,1131,0,0,90,683,274,46570,208,518,0,841,565,0,0,332,293,40,0,12,1182,629,374,832,358,0,1585,1,671,1225,0,811
3,336,2024,969,383,0,0,399,573,681,661,3472,373,313,616,427,188,144,2947,396,1026,158,116,18,2854,2014,244,318,1313,2299,605,1350,1220,545,168,166,264,330,149,103,3130,153,540,466,670,824,172,359,629,76,634,476,945,812,179,1524,840,1337,517,191,89,2786,3262,438,3638,930,804,572,807,291,255,0,3598,1094,36599,344,628,127,961,897,40,21,1565,626,728,79,155,182,944,133,511,1051,455,365,1166,515,514,181,498
4,0,6713,1147,1588,509,3000,346,1075,834,863,19579,24,4267,8941,1619,1902,1257,5837,1550,3247,1644,5112,1044,4360,5327,1242,881,4805,7920,1812,3657,741,1290,3280,1119,0,2281,2752,1592,7350,1014,3599,1239,1522,4289,1141,1693,3863,0,1394,3091,5154,923,2216,8841,2020,7496,3548,1191,2543,6192,10688,347,12978,2252,1342,986,1858,2516,4109,335,12385,1764,116488,731,3340,2331,982,4653,993,608,3563,1460,1450,164,1383,1135,102,47,1445,5523,2843,12919,2684,1434,1333,6034,2612
5,339,3799,1819,2767,832,542,2550,68,1499,1560,16007,358,2717,921,1178,842,911,5881,1099,3420,764,2681,642,4916,3230,518,384,1590,3128,686,1674,2330,2209,2525,731,374,1376,2332,1358,2593,844,1464,454,932,3644,1225,1416,893,77,1313,1054,1073,696,455,4849,1466,740,1771,962,1270,3376,7943,717,7847,673,995,610,3152,1015,1055,2,5879,1083,84100,1058,2152,420,1425,2255,206,87,2838,1674,902,1021,1259,725,706,458,163,1170,1307,2552,2056,1482,1504,573,757
6,549,3506,1334,985,435,152,575,746,465,1558,16931,685,2171,1005,585,1937,1297,8833,583,1312,600,1965,0,2552,1455,351,290,1404,1782,480,2368,1784,782,1546,655,502,2196,1783,1531,2442,592,2032,362,966,2226,428,1418,1179,590,853,1056,1717,393,1359,4030,1530,825,476,2014,738,3628,9101,699,5505,1020,984,425,1012,1766,942,76,8854,2589,104390,1108,3548,433,1517,1251,604,426,2802,1026,963,1336,1011,914,622,574,1036,2582,305,3363,1506,267,948,2141,1496
7,471,4935,1080,664,159,289,687,1300,1146,851,9823,155,2140,516,1744,1169,1599,2337,937,2910,74,1670,0,155,2066,291,245,1129,3537,586,1469,1486,148,210,1829,349,3403,796,622,348,846,1201,1891,802,2812,194,521,1495,0,2004,1291,586,152,1573,3202,909,291,6,416,567,5192,13848,3183,1869,389,791,316,469,697,1614,1094,6562,1056,38036,1770,8356,1555,1016,3922,453,1058,3034,533,160,175,713,413,477,1013,315,1229,549,2477,629,1312,604,2862,1876
8,298,2886,1006,947,0,2045,0,384,1249,1187,10458,797,1300,2483,254,695,646,6810,766,1586,1547,145,258,1432,1853,258,322,1108,2018,444,2363,2571,766,406,311,463,832,593,338,2158,586,2252,397,1069,2727,1288,1294,1147,858,938,201,656,1093,202,13698,2477,2261,1205,329,594,4098,3704,550,3888,862,598,623,1625,1564,1315,372,6823,1481,98910,1617,1885,1059,675,228,679,293,3058,1286,456,628,623,610,701,144,659,4577,157,1844,358,463,936,168,611
9,360,651,823,852,495,366,0,480,589,801,16011,0,1810,1118,188,162,810,6999,405,1454,1251,253,0,1420,2706,361,324,1515,3922,446,2635,874,829,1213,121,116,2436,1074,421,0,400,678,794,1158,951,331,720,413,758,233,385,776,742,414,6042,1589,625,98,486,836,3283,3728,264,2160,692,994,161,354,963,180,0,4753,707,56784,836,1069,3,681,81,303,573,2675,837,456,82,235,176,523,1,1566,2442,141,2128,509,780,532,688,1438
