,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,1645,155,515,103,404,142,252,147,411,670,1080,205,76,137,1068,108,120,122,350,153,171,171,659,59,59,28,316,36,142,118,265,3389,504,403,146,643,170,172,3827,98,68,82,311,353,158,202,4986,506,172,119,253,145,155,183,1,206,130,61,377,76
1,3408,1293,2096,724,1598,643,1212,1352,2772,3184,8202,362,175,1971,3185,638,534,295,1526,639,1765,1025,1884,490,209,154,1245,282,1272,1516,1311,24273,1515,1316,1856,1590,661,457,0,1164,500,863,1957,2884,1084,1288,15489,1790,797,790,642,2473,603,313,4752,604,930,326,1059,1319
2,2264,368,896,739,1101,690,842,119,420,2017,1394,481,27,501,1236,477,493,406,1151,434,780,693,851,417,212,46,853,635,1667,328,383,8249,1028,1163,414,523,751,226,8525,162,411,244,940,704,167,9,19388,1000,650,367,297,704,1259,546,0,329,385,0,403,475
3,8269,2831,3385,1838,3314,1168,757,1378,7219,8648,11753,1442,0,2166,7495,2094,2254,1658,3043,2801,4725,2172,5163,1587,2026,275,3500,2464,5082,5479,2615,20477,3123,3169,3380,2782,2673,1009,8965,4095,995,929,4496,1291,801,342,21452,4582,1560,2183,931,4100,1630,184,4725,1416,1801,931,2278,3161
4,18972,4518,0,277,0,48,5,1706,1988,2757,2530,0,2365,314,417,1007,2102,2307,5616,2830,7547,525,3081,0,6043,10214,0,1873,3470,6216,686,15949,335,0,0,0,0,14,0,684,1621,267,0,255,236,0,415561,3191,110,368,593,0,0,0,0,3453,14419,7577,4246,1153
5,3052,599,1041,649,783,740,1842,219,730,2624,2577,816,212,933,2509,423,375,215,429,489,554,399,1117,942,77,28,982,541,843,653,804,13732,850,1165,1022,879,436,1600,6528,726,265,440,1572,1326,1098,1174,46078,1389,457,513,269,1559,295,314,57,330,127,192,604,586
6,3235,744,2074,372,1026,894,2914,750,1835,3189,4675,796,255,1346,4517,749,295,292,667,341,881,544,2222,1122,159,90,1515,744,1083,1003,911,22203,996,2089,1318,5171,770,1586,0,1258,507,586,2122,2546,970,2130,15086,1495,516,1144,894,1848,731,887,1544,407,361,176,1113,703
7,1404,381,606,424,720,259,579,122,77,1364,1170,609,0,289,276,319,857,557,809,1084,406,368,341,158,53,45,960,192,417,260,406,13894,918,740,153,1172,382,587,6632,115,214,94,595,451,122,16,3537,733,256,212,295,481,321,417,0,104,193,43,311,387
8,1872,1096,2338,2108,1916,1111,1642,1054,1767,4629,12333,1000,0,2694,2642,929,1104,866,1250,927,2171,1421,1899,876,429,174,1455,800,1612,1950,1400,8859,2086,3784,1625,6260,800,751,0,546,756,1051,3024,2363,1033,719,14302,2408,1391,1890,1424,3051,240,3378,1317,1159,821,505,1612,2609
9,1580,894,1630,1830,1387,1190,1959,2053,1720,5276,21435,704,180,3238,3858,1109,1521,2084,3299,3234,1441,503,1824,1262,463,476,1577,533,1349,1466,3741,7910,2732,892,796,12622,0,1251,0,1016,1788,1992,2511,1450,599,1091,11263,1793,2233,1951,1735,2992,1322,711,8728,1650,425,602,1900,1585
