,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
0,13185,820,24957,3805,4596,10749,2525,6441,3943,1134,17252,9091,4393,4641,5707,1365,37275,3971,7120,6746,6146,8220,472,4117,9618,987,1464,4901,4095,12388,4093,2972,21989,753,3452,16347,14715,7081,6894,3011,3191,9258,4975,1398,6126,6430,3346,1934,17737,9416,16004,1379,41177,6024,3931,9369,3175,1943,5598,3657,123473,4041,2205,51797,12089,5709,569,195141,3459,2010,2429,19299,4867,15224,2788,5278,2805,8982,1669,4943,1341,1576,45697,4729,8643,34602,5277,4565
1,12473,3271,5564,2855,2,486,801,2556,1998,1746,4750,40370,6720,5659,2535,4060,22893,6640,1728,4118,10004,1343,203,2154,2232,796,544,2636,1622,1553,2225,2995,28648,4491,1500,1478,0,2464,641,17861,1634,2833,1492,0,3325,2570,2264,1598,4065,18880,22697,343,17391,8675,16265,1240,5256,1507,1758,5342,43720,322,479,11818,8409,6523,1933,74551,356,1650,1,8640,1157,24,921,4339,1868,2596,397,4935,192,1571,5980,1062,681,4778,186,7723
2,19887,3083,24814,7619,1,5227,2443,3545,2334,3148,26991,11195,1362,11234,5697,3701,35491,11925,3201,5047,10337,6798,889,3510,10548,2667,1099,8487,9667,4828,3737,6845,40794,3271,2095,13508,1974,10578,4097,4175,8963,12005,11982,2372,10241,12336,5218,1660,21342,14494,10316,5347,53330,5758,9017,3588,3024,1877,4663,3319,105503,4716,4483,6544,27698,2466,1954,392430,8324,7191,0,18544,4652,0,45,9286,4064,5044,1561,6330,3003,6555,80956,1027,2183,17917,5083,8198
3,2678,0,1,0,2,0,933,2801,0,2,0,3323,0,0,0,0,2570,0,0,596,0,8610,487,3814,14342,2447,6118,4449,3457,1,371,1208,7738,445,1512,0,0,106,2,0,1694,1,1393,0,4,0,0,0,0,0,4,0,15099,1988,0,2199,0,0,976,420,1580,38,0,0,0,517,957,84977,0,0,1,0,102,1,1,0,0,11,0,0,0,1469,0,0,6247,27,0,40
4,4028,1187,5631,1079,24,1256,232,733,1131,369,2929,2761,878,1691,2742,635,8424,1129,789,1087,893,475,118,336,914,252,57,748,945,972,430,1245,4421,294,936,376,747,740,1696,1193,1226,1416,856,63,426,1044,843,1775,3352,5814,9467,434,6336,2270,2784,1191,1004,112,533,1560,35684,782,195,5000,2160,550,266,83883,762,1722,0,3344,679,539,320,975,546,1807,631,381,780,545,9303,582,1706,5874,769,727
5,24,16,0,0,88,0,3,12,0,3,0,8,16,0,0,0,0,0,1149,2290,0,60479,11215,35542,91319,676,17400,63328,5831,0,0,0,22311,12,11,0,0,0,13,2,2,6,17,4,18,7,0,0,0,0,40,0,39417,711,0,0,0,5,0,0,1,4,0,0,8304,0,0,35509,1,0,2572,0,1,3,0,2,0,0,7,0,0,13,0,0,0,0,0,2
6,1670,326,1853,458,543,460,168,179,383,23,1757,641,37,674,595,199,3039,407,518,313,734,798,101,331,1091,58,344,638,622,411,46,451,3694,128,263,998,124,243,402,33,299,236,301,316,537,339,159,374,1151,1016,3343,627,2870,777,310,80,298,301,538,271,8154,160,327,718,1129,494,51,41753,376,606,191,857,328,202,30,277,269,725,218,128,0,200,3897,196,488,971,486,157
7,6311,0,1490,7249,6912,593,728,1292,1200,1634,9749,8495,4079,5820,2292,5439,6235,6411,2246,6437,9695,11912,812,5622,6944,0,752,3748,2360,1789,1009,1759,39789,6665,420,1797,4115,3697,4,14315,3642,6064,336,992,2066,70,0,1,266,5685,37570,106,15448,4053,5869,523,2766,490,2889,940,12218,0,59,60012,31212,98,0,55403,1,497,1,8814,1314,3,2,4085,4287,217,70,3087,79,2634,7967,1126,620,1539,1,4251
8,4268,411,0,0,1,0,86,687,0,465,253,0,376,0,0,0,0,0,0,0,0,2109,547,2024,3936,495,425,4691,3804,0,0,0,488,741,639,0,0,1,0,158,134,617,996,0,308,0,226,0,0,0,138,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,31514,0,1,0,0,0,0,0,240,0,0,128,0,0,5198,81,0,223,0,0,40
9,8321,874,12928,1351,4863,4348,1575,1638,1142,87,3809,2740,1484,3609,2520,628,13577,1669,2600,1456,2119,2632,164,1018,2322,228,622,1535,2773,5542,669,2372,8813,624,1295,4556,6002,4338,494,735,1343,2136,1943,3517,987,3009,1252,1225,5949,3073,4849,884,22228,1696,2890,514,1640,1332,2955,2511,44544,1928,856,18117,9876,2116,888,107169,2770,2947,0,6615,1519,1557,694,236,1011,1945,799,2394,848,628,24580,2754,1223,13200,2334,1663
10,5788,1850,6887,1754,2402,1973,307,670,1362,391,3472,1920,247,1330,2188,696,7101,1065,1627,1853,1859,2424,387,1445,2781,1406,807,2011,1701,3269,894,2318,10943,559,2194,3905,541,3020,681,338,1548,1543,1787,990,2497,2803,655,308,4593,6338,5224,890,19287,3276,1297,835,368,316,1924,1223,35733,843,1534,598,3054,845,731,70180,869,1839,1771,4571,1459,1529,991,963,655,1836,618,1000,705,814,18986,364,1893,4886,1218,1555
11,3284,367,765,639,1018,167,237,214,225,250,628,577,420,760,231,201,1206,613,278,774,237,444,35,247,765,41,259,327,340,107,167,556,3473,295,197,388,297,723,94,321,212,96,166,174,318,291,103,217,960,768,1350,311,3607,664,1069,169,361,306,461,464,2116,98,240,1676,1403,192,126,20826,26,326,47,1452,466,13,70,500,431,346,72,168,249,347,1905,70,1193,4090,94,425
12,2360,530,1160,2092,1,132,334,183,242,349,779,766,0,53,319,398,1018,397,287,1713,774,1097,127,696,1580,241,218,568,356,76,197,402,7165,86,460,222,154,927,123,246,214,843,143,0,556,163,196,0,629,995,7197,208,3971,1428,1069,68,0,228,365,124,4199,151,196,0,817,167,138,43013,85,76,303,335,169,47,11,599,680,304,141,3,128,656,3642,118,337,662,18,432
13,6650,1251,4540,321,78,1218,1131,1140,1590,424,3274,6666,1527,4736,2271,997,10450,2121,929,1182,968,931,131,713,1996,105,691,736,1991,835,420,1509,9616,653,1338,986,280,1193,1062,1409,5795,3425,1605,943,1686,3205,1078,1723,3664,9318,30992,1172,8556,6283,2652,1504,1102,1025,1413,1422,18187,781,410,12190,5488,905,827,173637,544,1085,0,3676,1275,659,139,810,2026,3016,729,1165,455,1293,7669,904,826,6468,518,1461
14,20986,3359,10773,2235,10167,11430,279,2752,3957,699,11064,4371,3225,8566,8318,552,30548,8128,6080,6012,6245,5018,709,2642,10246,1453,2241,3749,8322,17913,3165,3753,29612,2542,3022,5862,4616,5764,2105,5590,6311,6103,6363,3901,5367,3147,899,684,6086,8230,21339,1587,37165,10835,3730,800,2427,1938,6390,2573,90276,2074,6652,11597,14656,2944,958,306869,5065,4057,1142,14511,3404,9392,1589,2351,4985,6069,2508,1091,1543,3002,46893,2244,1567,13572,1863,5579
15,14,0,0,0,1666,1,0,4,0,586,0,2,0,981,0,0,0,0,0,0,0,21086,3656,11175,20402,309,7675,12296,738,0,0,0,2542,0,3,0,47,0,10,0,944,1151,74,0,5,3,0,0,0,0,1,0,6000,398,0,0,0,0,1305,0,3,1,2,0,0,0,0,8052,1,0,1,0,2,0,0,1,0,0,0,0,0,3,0,0,5,0,0,1
16,12,231,0,0,2626,1,0,262,0,37,0,1,0,367,0,4,0,0,0,34,1,2436,495,2194,2967,485,744,2595,31,0,0,0,71,4,782,0,186,0,3,49,26,1,1,0,0,0,0,0,0,0,11,0,670,0,0,0,0,0,13,0,0,19,0,0,225,0,0,5969,0,0,588,0,0,1,0,0,82,0,172,0,0,2,0,0,1,0,0,0
17,3552,324,5047,2531,1515,1014,664,864,610,136,5926,2025,2,594,1008,226,4837,717,290,1062,1968,1165,207,451,1060,136,220,614,1392,567,464,1415,7576,445,734,1308,597,2332,1675,192,217,2209,588,194,1536,1249,680,241,4602,1628,2896,143,6352,2351,1413,516,0,1475,1428,264,21951,527,1237,284,3143,970,534,76455,474,883,3878,597,965,1360,447,688,589,887,547,1023,1193,538,26863,22,1026,4081,572,701
18,3852,1238,548,1631,952,470,348,271,431,119,2933,889,458,517,628,790,1342,619,446,1523,536,1127,275,919,1881,220,326,898,1071,66,301,697,9573,433,579,454,129,1379,302,428,593,364,222,415,1054,338,252,315,877,922,3924,613,4717,1953,403,174,441,144,689,343,3412,24,194,2980,1305,243,642,55275,154,115,259,1868,565,55,10,553,451,547,85,329,193,893,2995,116,946,2003,90,809
19,2431,109,2279,1414,110,658,437,601,857,218,2344,941,391,431,1127,323,5505,847,682,1028,1480,658,141,495,1050,221,212,815,1008,523,252,1038,5190,417,80,1334,358,499,536,204,359,751,349,500,831,677,252,709,1997,1607,4974,315,6306,1008,1104,888,175,1,581,635,15029,317,335,0,822,354,15,75936,283,759,480,1393,468,239,151,474,473,433,279,374,819,654,9352,186,1152,2902,306,492
20,2387,496,3354,631,674,1931,516,484,669,281,653,2946,1168,1911,2717,614,9111,1435,1427,867,936,738,101,421,720,75,258,613,1102,1040,467,783,4756,229,482,833,392,938,473,967,1262,1408,941,617,1127,1538,578,745,2054,6106,14791,586,4848,1667,1698,618,1415,480,393,983,29165,689,362,6829,2674,1135,429,111636,1091,1282,208,2970,978,215,477,935,881,1374,391,763,1086,370,4849,806,112,3860,560,752
21,2785,582,3166,1090,2141,958,617,234,257,186,1839,498,483,384,913,307,2937,830,1166,1235,1088,525,166,445,1555,251,72,996,480,265,501,863,5401,357,566,1718,714,473,621,446,724,278,907,316,1211,649,518,774,2277,1739,4863,351,4745,947,801,687,556,711,495,1305,12893,293,249,1649,2004,510,198,90985,586,815,0,2210,861,760,99,271,687,841,418,373,549,442,8187,440,1477,4260,205,662
22,809,2,1265,0,1750,0,0,3,5,3274,0,33,0,10,0,0,0,0,0,0,13,10323,1432,11747,18168,0,0,5446,10,0,0,0,1988,6,2,0,5,3214,13,1,539,8,9,0,55,3,0,0,0,0,218,0,0,1124,0,0,0,0,673,0,2,5,0,0,0,2,5,13597,1,0,19,0,0,1,0,6,0,0,1,0,0,18,9,0,0,0,0,0
23,19232,1258,23677,1265,0,10604,880,2564,7029,3467,4735,32910,4270,4656,27697,3373,74876,3667,2243,5703,5890,2898,473,1329,2916,24,659,1433,2283,7974,1915,4131,17131,2093,3086,2372,362,2190,32808,1877,4560,6794,6208,675,3551,11755,6448,13899,60859,45261,71850,3661,56605,35962,17829,10893,7823,2954,6474,8951,205666,3926,567,944,5304,6544,5812,656536,7928,1888,115,7844,2843,2233,5393,4999,1198,11981,3316,10352,6422,1909,16383,10089,5115,17004,1904,6301
24,4112,877,2246,370,0,279,89,294,490,219,827,2762,505,880,873,294,5516,560,534,407,336,261,15,105,279,55,68,188,359,168,177,707,2301,248,652,236,2,200,829,704,356,457,312,167,471,725,466,339,3201,4911,3221,229,3706,1531,2095,602,818,256,457,1108,6101,209,106,1860,1061,248,148,49222,78,499,0,1660,219,19,31,420,247,873,126,399,296,285,2118,249,175,1481,514,553
25,21634,3192,6688,0,1,3305,155,4774,1638,2024,0,18655,7556,3198,8263,286,46915,792,221,1990,35923,1370,126,981,2378,191,460,1230,8258,935,0,0,659,2468,3429,1731,21,512,624,374,600,3572,2567,0,2323,5972,1347,3083,7404,0,15270,2310,67910,0,1482,2941,0,174,2227,2511,68628,2304,1041,342,556,5971,801,270253,1071,3555,0,629,2664,2144,2699,327,0,2724,1119,4223,923,685,907,368,31748,38487,951,1398
26,9064,0,1,0,1,0,0,1709,0,1296,0,1,3,595,0,1,1,1,0,0,2009,10053,821,6844,13588,1753,2726,7540,5752,0,0,655,1357,14079,655,0,51,103,0,221,504,828,6368,0,0,0,1,0,2,2,11586,1191,1,0,1,1,1,0,0,0,5,1110,0,3,0,0,0,129808,0,0,0,1,1,1,1,1,4771,0,425,0,0,4648,2,0,37392,723,0,1571
27,43004,4849,43193,21991,0,20254,4455,3759,3541,4607,17535,9679,1182,6718,13177,5838,49515,4664,4681,12441,11680,3854,484,2028,6244,47,1707,4534,8225,19133,6648,13310,58243,5016,7972,15149,13137,18697,10270,1469,6968,11195,13068,0,12907,19166,10414,1007,27055,8837,23883,1402,78576,21441,11612,8355,0,6632,12782,5464,266820,5297,14207,0,7222,11221,1061,465468,5623,13234,14036,13603,5950,8159,16240,8547,4242,7174,2039,4540,11051,2455,167215,2882,15355,42324,8986,5777
28,2606,296,2948,727,1176,1039,230,340,470,242,1865,1070,357,1518,774,500,3548,807,929,1050,919,553,58,452,1182,316,349,596,1044,1009,190,370,3875,278,184,668,1360,902,1082,310,372,611,271,411,461,1036,336,467,2244,1421,2141,576,3451,560,696,517,439,155,474,274,15379,715,408,6985,2144,631,204,56035,537,1018,0,1413,513,87,193,270,214,829,375,211,412,275,5093,310,439,3973,460,422
29,3,692,2,0,8,1,0,1126,0,1047,0,0,0,4,0,0,0,0,0,0,1,8016,2275,10863,12722,0,2386,10214,6,0,0,0,485,17,227,0,41,0,3,0,41,1,16,484,1,0,0,0,0,0,0,0,602,0,0,0,0,0,0,0,0,0,0,0,0,263,0,24054,0,2,1,0,1,0,0,0,8,18,0,0,0,275,0,0,11,0,0,0
30,4066,21,3063,367,441,888,198,389,383,317,952,706,491,407,1721,352,5465,446,654,1311,909,734,165,704,827,240,455,902,637,713,554,779,2807,513,92,1359,210,1010,293,176,380,130,295,50,688,1038,301,274,1576,2193,4699,342,7351,1141,480,281,419,112,950,684,18362,36,353,711,1549,559,122,39508,315,436,505,1490,672,419,377,332,303,1114,267,403,538,331,4609,647,1032,3655,619,473
31,14082,1339,35659,9851,1,6544,1544,1871,2088,752,15897,5438,535,5572,14501,2691,30771,5865,3118,5148,4941,4580,434,2261,6822,3186,446,5968,6023,10604,5004,5003,34235,2180,2745,6178,5668,6698,5961,2660,3469,8940,4249,3133,8762,13331,4413,3148,8282,8373,8659,2072,40300,6691,6918,2062,2389,2097,4915,2836,156033,2837,3571,18,4982,4463,2378,178548,3328,10388,5229,6531,7751,4956,9226,3266,3146,6402,3912,1246,4062,1648,57623,3280,3601,22650,4404,3470
32,3902,201,2967,605,825,1289,292,133,207,89,2483,934,77,535,966,135,4606,572,847,788,601,518,94,587,1090,8,290,494,1099,1231,549,899,3485,121,388,829,881,1283,548,168,418,1126,547,410,1009,1032,156,367,1144,1364,3692,526,2952,1217,589,323,287,262,491,563,16821,407,198,0,1276,651,289,41164,629,1045,555,853,545,322,352,451,311,522,614,515,496,452,6216,382,694,3574,472,665
33,4991,353,3828,1140,1609,2183,1156,842,646,279,3810,1512,548,1066,1870,299,9956,841,689,1726,2442,1415,160,1132,2552,0,294,948,2619,1311,774,1827,7864,463,290,1556,611,1840,2218,527,1775,2283,1353,470,1652,1588,1251,236,6139,4463,2345,1045,11751,1660,1626,479,442,534,1416,327,34062,1122,344,647,1699,1413,1026,46925,1282,717,1461,1470,1772,2903,1118,693,652,1793,102,1168,1632,246,13761,203,1257,1308,584,641
34,3417,164,4625,1427,34,1145,142,568,319,206,1800,836,161,661,1551,563,4700,580,713,1536,2163,743,80,430,982,2,106,560,780,1180,410,1103,5515,126,646,921,639,1018,999,132,286,1391,220,0,1025,765,280,229,2145,725,3363,384,5147,1401,1361,373,56,597,317,362,19809,520,617,0,686,1133,27,51389,395,874,740,1378,587,1076,995,909,656,558,363,137,594,496,12727,156,805,2571,238,623
35,5739,636,8388,245,0,2162,326,1382,3858,719,1536,14474,3144,1342,6983,927,37761,872,919,1049,1518,450,59,215,537,62,37,567,1314,1920,1317,931,2004,646,1076,1064,72,744,9269,1011,2019,2552,2749,0,1580,5658,3951,3938,33324,15293,16879,492,14627,13227,9612,2468,3669,652,1166,2912,71570,1759,619,384,2020,725,1178,142548,960,1042,0,2357,2010,633,1493,2174,276,2941,550,4648,1817,597,1551,1962,6701,19108,916,3500
36,1916,419,3039,702,207,1302,515,121,28,117,1177,640,420,1096,645,241,3930,664,761,352,1202,590,199,559,803,21,250,765,713,404,32,421,3174,378,266,979,350,107,472,601,461,747,539,74,695,610,388,151,1192,995,3657,401,4914,1394,798,709,800,176,322,642,14855,148,16,989,1300,669,243,63823,640,751,0,1347,797,278,368,222,324,480,419,314,532,224,3933,497,404,1621,63,440
37,10106,1269,6401,6810,13236,55,462,228,1042,1735,17177,9591,2992,1269,987,1,12344,14625,944,4603,11511,3482,2179,2836,8476,1,3,7633,11750,1234,3232,4952,42239,562,3032,5703,1390,2877,434,8658,3158,2591,3567,551,4308,4643,433,414,4624,8318,18072,695,13451,1366,5570,1898,5738,0,4077,4753,13743,172,315,31208,24512,1184,2582,40323,1166,494,1,5192,1943,10,2,2564,3430,1845,826,3552,1052,2553,15011,625,4813,1490,7,2077
38,4010,2199,13772,7505,3361,2968,6337,6154,3316,2556,19702,15762,8303,5412,4599,3273,39324,8313,5454,5825,127,24858,1713,5943,30738,73,7699,15101,17002,5945,1377,1730,30437,525,1548,9862,8264,4828,3279,5745,8804,6459,5690,7107,6474,10874,2924,1285,7962,14672,17013,1112,14998,6871,5879,761,1128,568,3183,5444,175357,3694,600,32311,18388,664,3977,258610,4564,986,1407,9741,4366,0,4,5318,4304,2347,1087,5258,1548,4223,35444,1253,3700,12089,87,13948
39,4,0,0,0,6914,0,0,9519,0,16854,0,0,0,2070,0,0,0,0,0,0,1,81070,7097,29838,118783,12931,12001,115254,6495,0,0,0,4151,2,6,0,1482,0,3,1241,1,1,1,0,1,0,0,0,0,0,8,0,6792,0,0,0,0,0,0,0,1,1775,0,0,0,0,0,166790,0,0,7625,0,0,1,0,0,0,0,0,0,0,1099,0,0,8714,0,0,0
