,mouse.sex
20,F
40,M
71,F
77,M
88,M
102,M
109,M
117,F
151,M
154,M
162,M
166,M
200,M
206,F
221,M
234,F
246,F
259,F
270,F
289,M
297,F
314,M
323,M
326,F
331,M
370,M
390,F
397,M
419,M
450,F
462,F
473,F
488,F
500,F
514,F
541,F
545,M
554,M
556,M
568,M
589,M
597,M
622,M
637,M
652,F
663,M
665,M
691,F
702,F
734,F
742,F
751,F
766,F
773,M
779,F
802,M
810,M
817,M
819,M
831,M
854,M
909,F
921,F
933,F
981,F
1002,M
1016,M
1055,M
1056,M
1063,M
1082,M
1089,M
1116,F
1127,F
1141,F
1228,M
1231,M
1247,M
1261,M
1264,M
1295,M
1313,M
1318,M
1327,M
1371,M
1379,F
1446,M
1461,M
1467,M
1487,M
1508,M
1520,M
1527,M
1544,F
1632,M
1645,M
1647,F
1654,M
1689,M
1703,M
1720,F
1727,M
1737,M
1771,F
1775,M
1838,F
1852,M
1887,M
1929,M
1936,M
1944,M
1958,F
1999,F
2004,M
2020,M
2024,F
2049,M
2052,M
2058,M
2078,M
2099,M
2111,M
2126,M
2155,F
2190,F
2199,F
2228,F
2254,M
2266,M
2280,M
2290,M
2326,M
2348,M
2387,M
2427,M
2471,M
2489,M
2494,M
2497,M
2514,M
2530,M
2537,M
2541,M
2545,M
2548,M
2604,M
2659,M
2668,M
2690,M
2700,M
2708,M
2722,M
2741,M
2856,M
2865,M
2874,M
2886,M
2895,M
2904,M
2911,M
2914,M
2936,M
2945,M
2952,M
2956,M
2967,M
3063,M
3068,M
3077,M
3085,M
3096,M
3105,M
3114,M
3121,M
3125,M
3140,M
3147,M
3173,M
3211,M
3235,M
3241,M
3262,M
3289,M
3321,M
3329,M
3339,M
3352,M
3370,M
