,mouse.sex
51,M
144,M
187,M
304,M
316,M
343,M
391,F
409,M
570,M
587,M
603,F
684,M
762,M
781,M
823,F
838,F
840,M
874,M
879,F
948,M
1004,M
1032,M
1033,M
1050,M
1064,M
1106,M
1135,M
1171,M
1221,M
1239,M
1271,M
1305,M
1306,M
1340,M
1367,F
1417,M
1455,M
1457,M
1471,F
1477,M
1484,F
1509,M
1515,F
1545,F
1549,M
1591,M
1606,M
1622,M
1633,M
1679,M
1680,M
1692,M
1704,M
1729,M
1741,F
1742,F
1756,F
1810,M
1854,M
1871,M
1872,M
1892,M
1900,M
1911,M
2040,M
2134,M
2141,M
2202,M
2243,M
2304,M
2310,M
2313,M
2321,M
2386,M
2460,M
2469,M
2506,M
2550,M
2570,M
2592,M
2646,F
2660,M
2679,M
2710,M
2723,M
2724,M
2757,M
2766,M
2838,M
2846,M
2877,M
2920,M
2999,M
3009,M
3021,M
3134,M
3300,M
3316,M
3377,F
3387,F
