,mouse.sex
8,F
13,M
21,F
27,M
42,M
48,F
78,M
89,M
103,M
108,M
135,F
167,M
181,F
189,M
203,M
226,M
241,M
265,M
279,M
432,M
456,M
493,M
506,M
515,F
524,M
535,M
588,M
609,M
611,M
648,M
669,F
674,M
685,M
693,M
694,M
736,M
784,M
789,F
794,M
843,M
893,M
901,M
903,M
934,F
959,M
988,M
1015,M
1090,M
1099,M
1132,M
1133,M
1137,M
1169,M
1196,M
1202,M
1248,M
1275,M
1286,M
1319,M
1352,M
1353,M
1425,M
1465,F
1480,M
1502,F
1512,M
1519,M
1526,M
1595,F
1605,M
1610,F
1615,M
1649,F
1732,F
1761,M
1782,M
1817,F
1823,F
1874,M
1876,M
1881,F
1915,M
1930,M
1963,M
1986,M
1994,M
2006,M
2011,F
2059,M
2087,M
2161,M
2167,M
2191,M
2220,M
2229,F
2242,M
2247,M
2256,M
2268,M
2291,M
2295,M
2312,M
2362,M
2404,M
2447,M
2474,M
2482,M
2490,M
2491,M
2509,M
2515,M
2531,M
2549,M
2582,M
2584,M
2590,M
2620,M
2628,M
2661,M
2721,M
2748,F
2772,M
2773,M
2779,M
2789,M
2809,M
2828,M
2829,M
2841,F
2851,F
2885,M
2888,M
2896,M
2921,M
2925,F
2930,M
2935,M
2946,M
2962,F
2978,M
2991,M
2996,F
3027,M
3040,M
3066,M
3111,M
3146,M
3172,M
3183,M
3189,M
3190,M
3222,F
3253,M
3254,M
3257,M
3290,M
3302,M
3308,M
3334,F
3340,M
3353,M
3359,M
3373,M
