,mouse.sex
9,F
10,F
30,M
58,M
79,M
83,F
104,F
111,M
158,M
164,M
196,F
207,F
217,F
247,F
261,F
272,F
298,F
307,M
348,M
367,M
392,F
402,M
426,M
433,M
441,M
464,F
474,F
489,F
561,F
572,M
582,M
594,F
598,M
601,M
624,M
661,F
703,F
713,F
758,F
761,M
797,M
804,M
805,M
812,M
839,M
848,F
852,M
880,F
883,M
910,F
923,F
943,F
952,F
971,F
983,F
1011,F
1062,M
1071,M
1086,M
1092,M
1122,M
1129,F
1153,F
1210,M
1234,F
1242,M
1244,F
1268,F
1297,M
1300,F
1304,M
1347,F
1357,F
1381,F
1463,M
1503,F
1506,M
1529,M
1531,F
1559,F
1568,F
1579,F
1596,F
1631,M
1656,M
1665,M
1696,M
1818,M
1842,M
1863,M
1888,M
1902,M
1943,M
1949,F
2009,M
2014,M
2055,M
2061,M
2069,M
2085,M
2093,M
2120,F
2154,M
2177,M
2251,M
2314,M
2451,M
2496,M
2499,M
2508,M
2533,M
2572,M
2647,F
2688,M
2701,M
2714,M
2716,F
2755,M
2768,M
2781,M
2803,F
2854,M
2876,M
2899,M
2943,M
2958,M
2959,M
3038,M
3060,M
3083,M
3104,M
3117,M
3130,M
3149,M
3215,F
3267,M
3301,M
3330,M
3335,F
3338,M
3372,M
3392,M
