,mouse.sex
2,M
5,M
19,M
32,M
39,M
47,M
56,M
63,M
66,M
69,M
85,M
106,M
110,M
116,M
121,M
126,M
134,M
141,M
159,F
160,F
169,M
178,M
182,F
191,M
194,M
202,M
216,M
222,M
225,M
227,M
240,M
242,M
245,M
253,M
264,M
267,M
271,F
277,M
284,F
318,M
324,M
330,M
337,M
341,M
347,M
352,M
356,M
357,F
365,M
377,M
381,F
384,M
405,F
411,M
414,M
421,M
422,M
427,F
437,F
449,M
451,F
453,M
463,F
465,M
472,M
482,M
494,M
497,M
498,M
510,M
520,M
526,M
538,M
540,M
544,M
546,M
558,M
560,M
565,M
575,M
579,M
583,F
593,M
613,M
619,M
625,M
629,M
634,M
638,M
642,M
646,M
653,F
656,M
660,M
664,M
666,M
673,M
682,M
688,M
696,M
697,M
701,M
706,M
708,M
709,M
712,M
715,M
719,M
720,M
730,M
739,M
741,M
743,F
745,M
750,M
753,M
754,M
757,M
764,M
770,M
771,M
776,M
782,M
787,M
801,M
808,M
814,M
820,M
821,M
842,M
846,M
847,F
851,M
856,M
859,M
866,M
869,M
875,M
876,M
877,M
882,M
885,M
895,M
898,M
902,M
907,M
917,M
920,M
922,F
929,M
938,M
949,M
951,M
953,M
958,M
964,M
980,M
997,M
998,M
1005,M
1014,M
1025,M
1044,M
1046,F
1054,M
1057,M
1065,M
1067,M
1073,M
1075,M
1076,F
1079,M
1084,M
1087,F
1088,M
1094,M
1097,M
1104,M
1110,M
1111,M
1115,M
1117,F
1118,M
1121,M
1136,M
1138,M
1140,M
1144,M
1152,M
1155,M
1158,M
1164,M
1166,M
1168,M
1176,M
1188,M
1199,M
1209,M
1215,M
1217,F
1219,M
1225,M
1227,M
1229,M
1243,M
1246,M
1249,M
1254,M
1262,M
1272,M
1287,M
1294,M
1303,M
1308,M
1310,M
1315,M
1322,F
1337,M
1341,M
1360,M
1362,M
1363,M
1365,M
1368,F
1370,M
1373,M
1374,M
1380,F
1385,M
1394,M
1396,M
1405,M
1406,M
1411,M
1420,M
1426,M
1431,M
1435,M
1442,F
1444,M
1451,M
1456,M
1459,M
1460,M
1479,M
1488,M
1489,M
1491,M
1493,M
1495,M
1511,M
1514,M
1522,M
1539,M
1540,M
1551,M
1556,M
1562,M
1565,M
1567,F
1570,M
1573,M
1574,M
1578,F
1583,M
1585,M
1589,M
1599,M
1602,M
1604,M
1607,M
1609,M
1613,M
1617,M
1619,M
1620,F
1623,M
1624,M
1627,M
1646,M
1648,F
1659,M
1671,M
1681,M
1693,M
1698,M
1709,M
1712,M
1718,M
1731,F
1738,M
1740,M
1748,M
1755,M
1758,M
1765,M
1770,M
1773,M
1776,M
1780,F
1783,M
1788,M
1791,M
1792,F
1794,M
1795,M
1805,F
1822,M
1834,M
1836,M
1839,F
1845,M
1850,M
1856,M
1859,M
1860,F
1862,M
1868,M
1875,M
1880,F
1884,M
1890,M
1893,M
1896,M
1898,M
1904,F
1905,M
1917,M
1918,M
1926,M
1931,M
1933,M
1940,M
1942,M
1947,M
1953,M
1957,M
1959,M
1965,M
1968,M
1969,M
1975,F
1976,M
1982,F
1984,M
1990,F
1991,M
1998,M
2001,M
2005,M
2018,M
2022,M
2028,M
2032,M
2039,M
2045,M
2051,M
2065,M
2070,M
2073,F
2075,M
2089,M
2095,F
2097,M
2102,M
2108,M
2115,F
2117,M
2119,M
2123,M
2128,M
2133,M
2138,M
2146,M
2148,F
2158,M
2168,M
2172,M
2179,F
2183,M
2188,M
2193,M
2198,M
2203,M
2204,M
2209,M
2214,M
2218,M
2224,M
2225,M
2227,M
2238,F
2253,M
2261,M
2264,M
2269,M
2274,M
2275,F
2281,M
2282,M
2285,F
2294,M
2301,M
2306,M
2311,M
2320,M
2328,M
2329,M
2330,F
2333,M
2335,M
2337,M
2340,M
2341,M
2346,M
2350,M
2354,M
2363,M
2370,M
2375,M
2380,M
2382,M
2388,M
2393,M
2394,M
2399,M
2405,M
2409,M
2417,M
2420,F
2425,M
2430,M
2442,M
2445,M
2454,M
2457,M
2473,M
2475,M
2483,M
2486,M
2495,M
2513,M
2516,M
2519,M
2522,M
2525,M
2529,M
2535,F
2543,M
2551,M
2553,F
2559,M
2564,M
2569,M
2579,F
2581,M
2585,M
2587,M
2588,F
2591,M
2606,M
2607,M
2609,M
2611,M
2618,M
2623,M
2626,M
2631,M
2638,M
2640,M
2649,M
2655,F
2671,M
2672,M
2687,M
2697,F
2698,M
2729,F
2730,M
2732,M
2743,M
2744,M
2754,M
2764,M
2770,M
2776,F
2777,M
2786,F
2794,M
2808,M
2812,M
2820,M
2822,M
2827,M
2830,M
2831,M
2836,M
2839,M
2848,M
2873,M
2878,M
2887,M
2906,F
2909,M
2913,M
2916,M
2923,M
2926,F
2933,F
2942,M
2948,M
2949,M
2953,M
2964,M
2976,M
2984,F
2993,M
2997,M
3000,M
3005,F
3006,M
3010,M
3014,F
3017,M
3025,M
3039,F
3042,M
3044,M
3049,M
3051,M
3057,M
3061,F
3067,M
3070,M
3094,M
3103,M
3109,F
3118,M
3120,M
3124,F
3126,M
3137,M
3160,M
3162,M
3165,F
3168,M
3171,M
3175,M
3181,M
3188,M
3192,M
3193,M
3197,F
3212,M
3219,M
3223,F
3225,M
3243,M
3244,M
3256,M
3261,F
3263,M
3270,F
3275,M
3282,M
3287,M
3293,M
3295,M
3306,M
3309,M
3310,M
3313,F
3327,M
3337,M
3344,M
3350,F
3378,M
3382,M
3394,M
