,mouse.sex
6,M
16,M
23,F
33,M
37,F
49,F
57,M
60,F
80,M
92,M
114,M
118,F
130,M
132,M
137,F
148,F
161,F
179,M
192,M
204,M
213,M
218,F
243,M
248,F
268,M
274,F
276,M
285,F
293,M
299,F
308,M
311,F
321,F
328,F
346,F
368,F
386,M
394,F
403,M
415,F
446,M
459,M
470,M
484,M
491,F
499,M
511,M
527,M
533,F
543,M
547,M
551,M
563,F
578,F
584,F
591,M
595,F
602,M
614,M
627,M
659,M
662,F
672,M
689,M
698,M
710,M
740,M
749,M
756,M
767,F
768,F
769,M
790,F
796,M
798,F
806,F
827,F
833,M
858,M
881,F
889,F
905,M
930,M
935,F
944,F
950,M
963,M
976,M
984,F
995,F
999,M
1020,M
1023,F
1037,F
1047,F
1058,M
1074,M
1078,F
1095,F
1112,M
1123,M
1125,M
1150,M
1161,F
1181,M
1187,M
1193,M
1194,F
1197,M
1203,M
1206,F
1218,F
1235,F
1269,F
1288,M
1292,M
1293,F
1333,M
1349,F
1354,M
1364,M
1375,M
1387,M
1397,M
1412,F
1414,M
1421,M
1424,M
1434,F
1440,M
1443,F
1452,M
1453,F
1485,F
1499,M
1510,M
1516,F
1541,M
1563,M
1575,M
1586,M
1587,F
1593,M
1597,F
1608,M
1611,F
1629,F
1635,M
1639,F
1650,F
1662,F
1672,M
1675,M
1711,F
1715,M
1739,M
1753,M
1777,M
1789,M
1790,M
1793,F
1797,F
1806,F
1807,F
1813,M
1830,F
1835,M
1840,F
1841,F
1849,F
1867,F
1897,F
1935,F
1954,M
1966,M
1987,M
1995,M
2000,F
2007,M
2033,M
2062,M
2118,M
2129,M
2152,M
2163,M
2173,M
2184,M
2194,M
2205,M
2208,M
2215,M
2221,M
2233,M
2239,M
2248,M
2259,M
2272,M
2286,F
2322,M
2336,M
2339,M
2353,M
2366,M
2376,M
2383,M
2389,M
2397,M
2406,M
2431,M
2435,M
2438,M
2450,M
2498,M
2500,M
2511,M
2523,M
2552,M
2573,M
2594,M
2605,M
2612,M
2624,M
2632,M
2637,M
2695,M
2727,M
2733,M
2761,M
2769,M
2782,M
2791,M
2817,M
2823,M
2832,M
2835,M
2840,M
2843,M
2849,M
2870,M
2932,M
2960,M
2994,M
3002,M
3022,M
3037,M
3041,M
3045,M
3052,M
3053,M
3064,M
3065,M
3069,M
3088,M
3102,M
3154,M
3163,M
3186,M
3203,M
3213,M
3217,M
3260,M
3311,M
3314,F
3324,M
3332,M
3347,M
3362,M
3374,M
3379,M
3383,M
3391,M
3393,M
3398,M
