,mouse.sex
17,M
18,M
45,M
46,M
53,M
72,F
73,F
84,F
93,M
98,F
105,F
112,M
113,M
120,M
127,F
131,M
138,F
149,F
168,M
201,M
210,M
214,M
229,M
233,M
236,F
250,M
252,M
255,M
258,M
266,M
278,M
282,M
294,M
302,M
317,M
334,M
338,F
344,M
353,M
354,M
371,M
376,M
379,M
387,M
388,M
413,M
423,M
428,F
429,M
434,M
442,M
457,M
471,M
479,M
485,M
503,F
508,M
512,M
518,F
529,M
539,M
549,F
557,M
566,M
571,M
577,F
599,M
618,F
643,M
650,M
654,F
695,M
716,M
718,M
747,M
775,M
777,M
786,M
792,M
807,M
815,M
816,F
822,M
825,F
826,F
841,M
857,M
868,M
870,F
872,M
886,M
887,M
892,M
896,M
897,M
906,M
913,M
918,M
954,M
957,M
960,M
966,M
970,M
977,M
978,M
985,F
992,M
993,M
1000,M
1006,M
1007,M
1009,M
1019,M
1029,M
1030,M
1036,F
1040,M
1042,M
1045,M
1052,M
1066,M
1068,F
1077,F
1081,M
1091,M
1096,F
1100,M
1101,M
1102,M
1119,M
1124,M
1139,M
1143,M
1151,M
1157,M
1160,F
1172,M
1174,M
1182,M
1185,M
1191,M
1204,M
1208,M
1216,M
1223,M
1233,M
1241,M
1245,F
1250,M
1251,M
1256,M
1259,F
1260,F
1265,M
1267,M
1270,F
1285,M
1290,M
1299,M
1314,M
1316,M
1320,M
1343,M
1344,M
1346,M
1355,M
1356,M
1361,M
1376,M
1389,M
1390,F
1391,F
1398,M
1399,M
1402,M
1408,M
1418,M
1423,M
1430,M
1433,M
1437,M
1458,M
1462,M
1464,M
1466,F
1469,M
1470,M
1474,F
1483,M
1497,M
1513,M
1518,M
1521,M
1523,M
1528,M
1533,M
1550,M
1555,M
1557,M
1566,M
1569,M
1571,M
1577,M
1580,F
1598,M
1628,M
1641,M
1642,M
1657,M
1660,M
1668,M
1669,M
1670,M
1673,F
1674,M
1691,M
1700,F
1707,M
1708,M
1716,M
1719,M
1722,F
1733,F
1736,M
1759,M
1763,M
1779,M
1784,M
1787,M
1798,F
1800,M
1803,M
1816,M
1820,M
1821,M
1825,F
1829,F
1844,M
1847,M
1857,M
1866,F
1873,M
1877,M
1883,F
1889,M
1894,M
1895,M
1907,M
1913,F
1916,M
1938,M
1939,M
1941,F
1946,M
1951,M
1956,M
1960,M
1971,M
1978,M
1980,M
1988,M
1989,M
2002,M
2010,M
2015,M
2017,F
2021,M
2027,F
2031,M
2034,M
2042,M
2043,M
2047,F
2054,M
2072,M
2074,F
2082,M
2090,M
2091,M
2096,F
2104,M
2106,M
2107,F
2114,M
2122,M
2130,M
2131,M
2137,M
2157,F
2164,M
2165,F
2170,M
2174,M
2178,M
2180,M
2185,M
2187,M
2195,M
2196,M
2201,M
2206,M
2210,M
2216,M
2217,M
2223,M
2226,M
2246,M
2249,M
2271,M
2277,M
2293,M
2296,M
2305,M
2342,M
2345,F
2349,M
2373,M
2390,M
2407,M
2408,M
2411,F
2415,M
2418,M
2429,M
2432,M
2439,M
2446,M
2461,M
2466,M
2476,M
2479,F
2480,F
2485,M
2501,M
2503,F
2518,F
2526,M
2528,F
2534,M
2536,F
2538,M
2544,M
2562,M
2574,M
2575,M
2580,F
2595,M
2596,M
2610,M
2613,M
2630,M
2633,M
2634,M
2636,F
2641,M
2643,M
2645,M
2648,F
2652,M
2657,M
2684,M
2706,F
2712,M
2717,F
2728,M
2734,M
2737,M
2746,M
2749,F
2752,M
2753,M
2774,M
2784,M
2795,M
2804,M
2811,M
2815,M
2824,M
2825,M
2842,M
2850,M
2852,F
2858,M
2869,M
2893,M
2897,M
2901,F
2907,F
2912,M
2919,M
2922,M
2931,M
2938,M
2940,M
2947,M
2950,M
2951,M
2961,M
2965,M
2969,M
2970,M
2971,M
2972,M
2981,M
2983,M
2987,M
2995,M
3004,M
3007,M
3012,M
3030,M
3031,M
3034,M
3047,M
3055,F
3072,M
3073,F
3078,M
3081,M
3082,M
3098,M
3108,M
3129,M
3132,M
3141,M
3142,F
3145,M
3151,M
3152,M
3155,M
3156,M
3158,M
3164,M
3166,F
3170,F
3182,M
3185,M
3198,F
3208,F
3224,F
3229,M
3231,M
3237,M
3245,M
3248,M
3258,M
3285,F
3286,M
3291,M
3296,M
3331,M
3333,M
3342,M
3349,M
3357,M
3363,M
3365,M
3375,M
3384,M
3388,F
3399,M
