,mouse.sex
3,M
11,F
38,F
50,F
61,F
74,F
128,F
143,M
173,F
184,F
193,M
197,F
208,F
219,F
237,F
249,F
262,F
275,F
286,F
300,F
322,F
329,F
382,F
395,F
399,M
440,F
452,F
477,F
492,F
496,M
504,F
534,F
550,F
564,F
585,F
645,F
681,F
714,F
726,F
780,F
799,F
803,M
860,F
899,F
912,F
926,M
962,F
973,F
986,F
996,F
1013,F
1024,F
1069,F
1142,F
1154,F
1162,F
1167,F
1177,F
1200,M
1207,F
1226,M
1236,F
1240,M
1252,F
1325,F
1336,F
1350,F
1358,F
1369,F
1403,F
1413,F
1429,F
1438,M
1454,F
1494,F
1532,F
1547,M
1560,F
1581,F
1588,F
1600,M
1640,F
1734,F
1928,M
2013,M
2077,M
2151,M
2159,M
2222,M
2241,M
2265,M
2284,M
2364,M
2437,M
2459,M
2566,M
2674,M
2689,M
2788,M
2845,M
2910,M
2929,M
2944,M
2988,M
2998,M
3050,M
3076,M
3139,M
3153,M
3227,M
3269,M
3345,M
