,mouse.sex
7,M
26,M
34,M
41,M
54,M
68,M
81,M
95,M
99,F
139,F
215,M
230,M
269,M
288,M
305,M
315,M
339,F
364,M
401,M
406,F
416,F
486,M
528,M
569,M
581,M
600,M
628,M
640,M
658,M
670,F
678,M
683,M
699,M
723,M
732,M
774,M
793,M
835,M
849,F
890,F
940,M
1017,M
1021,M
1147,M
1183,M
1222,M
1255,M
1257,M
1279,M
1289,M
1301,F
1383,F
1400,M
1409,M
1445,M
1448,M
1486,F
1538,M
1561,M
1618,M
1655,M
1678,M
1684,M
1723,F
1730,M
1901,M
1909,M
1932,M
1955,M
1967,M
1970,M
1992,M
1996,M
2044,M
2053,M
2081,M
2175,M
2186,M
2211,M
2255,M
2267,M
2273,M
2297,M
2352,M
2385,M
2391,M
2449,M
2452,M
2557,M
2614,M
2642,M
2663,M
2669,M
2715,M
2801,M
2819,M
2980,M
3099,M
3178,M
3221,M
3242,M
3255,M
3305,M
3348,M
3364,M
3381,M
