,mouse.sex
28,M
59,F
62,F
90,M
115,M
119,F
133,M
136,F
150,F
155,M
165,M
171,M
176,M
188,M
190,M
209,F
220,F
223,M
224,M
231,M
244,M
256,M
273,F
290,M
295,M
301,F
312,F
332,M
336,M
340,F
345,M
351,M
355,M
362,M
366,M
374,M
389,M
393,F
396,F
407,F
418,M
425,M
431,M
443,M
454,M
460,M
480,M
495,M
519,F
522,M
537,M
555,M
567,M
574,M
586,M
592,M
606,F
612,M
615,M
616,M
621,M
623,M
626,M
700,M
705,F
711,M
717,M
728,M
733,M
737,M
746,M
760,F
765,M
778,M
791,F
800,F
811,M
832,M
836,M
845,M
853,M
861,F
862,M
911,F
916,M
924,F
928,M
947,M
955,M
956,M
965,M
967,M
972,F
990,M
1003,M
1041,M
1059,M
1070,F
1098,M
1108,M
1120,M
1134,M
1146,M
1156,M
1170,M
1178,M
1201,M
1224,M
1230,M
1266,M
1276,M
1281,F
1283,M
1284,M
1296,M
1307,M
1311,F
1326,F
1331,M
1334,M
1345,M
1348,F
1351,M
1372,M
1377,M
1384,F
1388,M
1393,F
1395,M
1404,F
1416,M
1419,M
1427,M
1450,M
1468,M
1472,F
1475,F
1496,M
1507,M
1535,M
1542,M
1548,M
1576,M
1590,M
1592,M
1594,M
1601,M
1614,M
1616,M
1625,M
1644,M
1658,M
1663,F
1667,M
1690,M
1695,M
1697,M
1702,M
1713,M
1714,M
1726,M
1743,F
1744,F
1746,M
1751,M
1754,M
1762,M
1764,M
1769,M
1778,M
1785,M
1796,M
1809,M
1811,M
1814,M
1833,M
1846,M
1855,M
1858,M
1864,M
1886,M
1891,M
1921,M
1925,F
1952,M
1972,M
1985,M
1993,M
1997,M
2003,M
2019,M
2036,M
2048,F
2060,M
2068,M
2084,F
2088,M
2092,M
2101,M
2105,M
2110,M
2112,M
2113,M
2121,F
2125,M
2127,M
2135,M
2144,M
2150,M
2160,M
2166,F
2181,M
2182,M
2192,M
2197,M
2207,M
2234,M
2235,M
2236,M
2237,M
2250,M
2260,M
2279,M
2287,F
2289,M
2292,M
2300,F
2302,M
2309,F
2315,M
2316,M
2325,M
2327,M
2331,F
2334,M
2367,M
2372,M
2374,M
2378,M
2392,M
2395,M
2402,M
2403,M
2413,M
2414,M
2419,M
2421,F
2428,M
2433,M
2440,M
2441,M
2453,M
2458,M
2465,M
2468,F
2484,M
2488,M
2492,M
2505,M
2510,M
2524,M
2532,M
2542,M
2556,M
2560,F
2563,M
2571,M
2583,M
2586,M
2602,M
2603,M
2617,F
2639,M
2653,M
2654,M
2664,M
2667,M
2670,M
2676,F
2680,M
2683,M
2685,M
2686,F
2696,M
2702,M
2703,M
2707,F
2709,M
2713,M
2725,M
2731,M
2735,M
2740,M
2742,M
2745,M
2750,F
2756,M
2758,M
2763,F
2780,M
2793,F
2796,M
2797,M
2807,M
2814,M
2821,M
2826,M
2833,M
2855,M
2860,M
2864,M
2871,M
2875,M
2879,M
2882,F
2890,M
2891,M
2894,M
2898,M
2915,M
2917,F
2927,F
2939,M
2955,M
2973,M
2977,M
2982,M
2985,F
3008,M
3018,M
3026,M
3032,M
3035,M
3054,M
3056,F
3058,M
3089,M
3092,F
3107,M
3116,M
3161,M
3174,M
3184,M
3191,M
3199,F
3201,M
3204,M
3205,M
3209,F
3214,M
3230,M
3234,M
3236,M
3246,M
3247,M
3249,F
3259,M
3266,M
3273,M
3280,M
3283,M
3292,M
3312,M
3315,F
3319,M
3325,M
3358,M
3367,F
3371,M
3390,M
3395,M
